N	2gram	Bakhtin_sl_1	VelikijI
1	и не	16	20
2	и в	41	16
3	так как	3	9
4	еще не	4	8
5	в истории	3	8
6	что они	2	7
7	и потому	4	7
8	а не	15	7
9	не есть	2	6
10	хотя и	2	5
11	как бы	12	5
12	но и	16	5
13	все это	5	5
14	того что	3	5
15	что все	2	4
16	в нем	30	4
17	как и	4	4
18	в котором	2	4
19	так и	11	4
20	потому что	2	4
21	в этом	12	4
22	в ней	4	4
23	и все	4	4
24	в его	13	4
25	с его	4	3
26	в этих	2	3
27	в них	6	3
28	они в	2	3
29	в том	3	3
30	не в	7	3
31	к тому	3	3
32	во всех	17	3
33	никогда не	3	3
34	оно не	6	3
35	в своей	7	3
36	бы и	3	3
37	тому что	2	3
38	не было	3	3
39	лишь в	4	3
40	хотя бы	3	3
41	и для	4	3
42	должно быть	2	3
43	от этого	2	3
44	все эти	9	3
45	но в	8	3
46	не могут	3	2
47	его и	3	2
48	это не	6	2
49	в духе	2	2
50	прежде всего	8	2
51	для нас	2	2
52	том что	2	2
53	мы и	2	2
54	одна из	2	2
55	но не	2	2
56	конечно не	3	2
57	для него	3	2
58	для них	2	2
59	и сам	3	2
60	и во	3	2
61	не только	16	2
62	один из	4	2
63	не с	2	2
64	и т	28	2
65	на том	2	2
66	понимает и	2	2
67	т д	5	2
68	а с	2	2
69	мы не	2	2
70	уже не	2	2
71	а в	6	2
72	с ним	7	2
73	можно было	2	2
74	и то	2	2
75	между тем	2	2
76	могут быть	19	2
77	только в	6	2
78	во всяком	7	2
79	а между	2	2
