N	2gram	Losev_Prob_1	formyVre
1	и в	32	50
2	то есть	33	33
3	в этом	19	25
4	в нем	13	24
5	и его	3	16
6	в литературе	4	16
7	прежде всего	10	15
8	и не	31	14
9	как мы	7	14
10	вовсе не	35	13
11	как раз	13	13
12	в его	6	13
13	по существу	2	12
14	так и	12	12
15	может быть	14	11
16	таким образом	6	11
17	мы уже	5	11
18	то же	10	11
19	и как	6	10
20	но в	14	10
21	в конце	6	9
22	в том	9	9
23	все эти	8	9
24	в других	5	9
25	в то	6	9
26	не только	17	9
27	с его	2	9
28	ничего не	10	9
29	в самом	6	8
30	и т	11	8
31	но и	9	8
32	и на	8	8
33	как и	3	8
34	того же	3	8
35	ни в	7	8
36	не было	4	7
37	и во	3	7
38	для себя	3	7
39	это не	6	6
40	в дальнейшем	4	6
41	например в	2	6
42	в их	4	6
43	не может	8	6
44	так же	9	6
45	в результате	2	6
46	так как	11	6
47	с этим	3	6
48	и все	7	6
49	в жизни	3	6
50	и того	2	6
51	связи с	5	6
52	во всех	7	6
53	то что	42	6
54	в ее	3	6
55	как в	4	6
56	что в	12	5
57	одного и	2	5
58	не в	4	5
59	и до	2	5
60	в связи	4	5
61	только и	3	5
62	точки зрения	3	5
63	всех этих	7	5
64	но все	3	5
65	если бы	4	5
66	отнюдь не	10	5
67	но не	9	5
68	еще не	9	5
69	он не	3	5
70	того чтобы	9	5
71	для того	8	5
72	могут быть	2	5
73	в своем	5	4
74	мы и	4	4
75	кроме того	2	4
76	и следовательно	3	4
77	в котором	5	4
78	на этой	2	4
79	все это	7	4
80	не имеет	2	4
81	этого романа	2	4
82	потому что	16	4
83	и с	2	4
84	именно как	4	4
85	нет ничего	10	4
86	в них	7	4
87	или как	3	4
88	том что	12	4
89	и для	4	4
90	и то	6	4
91	только в	7	4
92	и это	9	4
93	здесь не	7	4
94	не могут	2	3
95	в этих	3	3
96	в отношении	3	3
97	к тому	3	3
98	да и	3	3
99	с тем	5	3
100	при этом	6	3
101	не имеют	5	3
102	хотя и	6	3
103	в виду	6	3
104	здесь нет	2	3
105	и уже	3	3
106	один из	4	3
107	со всеми	2	3
108	именно в	4	3
109	в одно	4	3
110	а в	4	3
111	вообще не	2	3
112	их в	4	3
113	сказать что	13	3
114	одно из	2	3
115	его в	6	3
116	поэтому и	2	3
117	для них	2	3
118	есть не	6	3
119	же в	4	3
120	в качестве	2	3
121	в сущности	2	3
122	мы говорили	4	3
123	по преимуществу	2	3
124	и потому	2	3
125	вместе с	2	3
126	сих пор	3	3
127	только на	4	3
128	во всей	3	3
129	а не	15	3
130	что не	3	3
131	мы не	2	3
132	мы видим	2	3
133	в таком	9	3
134	или в	4	3
135	с другими	2	3
136	и внутреннее	2	3
137	нас в	2	3
138	во всяком	7	3
139	и ее	8	3
140	в себе	15	3
141	входит в	4	3
142	до сих	3	3
143	уже в	3	2
144	совсем не	4	2
145	мы будем	2	2
146	же как	2	2
147	никогда не	7	2
148	друг другу	2	2
149	с другой	3	2
150	само собой	2	2
151	не обязательно	3	2
152	что все	3	2
153	или иной	5	2
154	а только	5	2
155	для нас	5	2
156	его от	3	2
157	есть в	5	2
158	смысле слова	7	2
159	момент в	2	2
160	для него	2	2
161	но для	3	2
162	не о	2	2
163	есть только	8	2
164	уже на	2	2
165	внутренняя жизнь	2	2
166	еще и	5	2
167	не для	2	2
168	мы находим	2	2
169	в буквальном	3	2
170	в самой	3	2
171	того что	7	2
172	и даже	11	2
173	в которых	3	2
174	или не	3	2
175	также и	11	2
176	же и	3	2
177	но он	3	2
178	той или	5	2
179	и еще	3	2
180	и является	7	2
181	в истории	4	2
182	необходимо чтобы	3	2
183	что мы	13	2
184	мы должны	5	2
185	как он	4	2
186	здесь только	2	2
187	сколько угодно	3	2
188	буквальном смысле	3	2
189	с ним	3	2
190	не является	5	2
191	он должен	2	2
192	часто и	2	2
193	не как	2	2
194	во всякой	2	2
195	раз и	9	2
196	ясно что	3	2
197	по себе	15	2
198	об этом	10	2
199	в чем	3	2
200	есть именно	5	2
201	здесь в	3	2
202	с этими	2	2
203	и может	2	2
204	было бы	8	2
205	в это	2	2
206	не являются	5	2
207	на один	2	2
208	а также	4	2
209	нет и	2	2
210	оно не	3	2
211	но она	3	2
212	в своей	8	2
213	как бы	14	2
214	все другие	2	2
215	быть и	3	2
216	ее в	2	2
217	оказывается что	2	2
218	совершенно не	6	2
219	разного рода	6	2
220	если мы	11	2
221	уже не	3	2
222	с точки	3	2
223	хотя бы	3	2
224	в которой	2	2
225	в данном	9	2
226	тем что	7	2
227	на себя	2	2
228	в каком	3	2
229	и вообще	4	2
230	далеко не	5	2
231	как оно	3	2
232	дело в	3	2
