N	2gram	Tiupa_Disk_1	Marksizm
1	может быть	17	28
2	и в	16	19
3	как бы	5	19
4	и не	11	19
5	не может	9	18
6	в процессе	5	18
7	точки зрения	3	17
8	то же	7	16
9	и его	2	16
10	языка и	2	15
11	как мы	2	15
12	в этом	15	15
13	таким образом	3	14
14	лишь в	4	14
15	в сущности	2	14
16	так сказать	2	14
17	не только	28	13
18	связи с	4	13
19	речевого общения	12	12
20	высказывания и	2	11
21	в нем	9	11
22	не в	7	10
23	в пределах	2	10
24	но и	14	10
25	том что	19	10
26	так и	8	10
27	и т.п	12	10
28	для него	4	9
29	при этом	13	9
30	в основе	7	9
31	как и	16	9
32	а не	22	9
33	слова в	2	8
34	отнюдь не	8	8
35	же время	4	8
36	не является	4	8
37	по отношению	9	8
38	в то	3	8
39	с его	4	8
40	отношению к	9	8
41	только в	7	8
42	никогда не	2	7
43	высказывания в	6	7
44	в том	23	7
45	но в	8	7
46	прежде всего	11	7
47	внутренней речи	2	7
48	к тому	5	6
49	и как	6	6
50	в свою	3	6
51	в самом	3	6
52	же самое	2	6
53	и все	2	6
54	между тем	4	6
55	более того	2	6
56	во всех	5	6
57	хотя бы	3	6
58	свою очередь	3	5
59	или иной	5	5
60	в форме	2	5
61	в их	5	5
62	и на	5	5
63	к другому	2	5
64	к этому	2	5
65	и того	3	5
66	того же	3	5
67	в его	7	5
68	все же	3	5
69	целого высказывания	3	5
70	в данном	5	5
71	это не	3	4
72	одного и	2	4
73	той или	3	4
74	по мере	2	4
75	то что	5	4
76	и тем	2	4
77	того что	3	4
78	сказать что	3	4
79	что он	4	4
80	в данной	3	4
81	для себя	4	4
82	речевой акт	2	4
83	и ее	2	4
84	в себе	7	4
85	и т.д	4	4
86	перед нами	3	3
87	в какой	2	3
88	столь же	3	3
89	с другой	10	3
90	для понимания	2	3
91	в этой	2	3
92	одной стороны	9	3
93	за пределы	2	3
94	в котором	5	3
95	а в	5	3
96	с этим	3	3
97	с одной	9	3
98	в другом	2	3
99	не было	7	3
100	в истории	4	3
101	о том	8	3
102	общения в	2	3
103	не как	4	3
104	по себе	3	3
105	в различных	2	3
106	в ее	3	3
107	в качестве	34	3
108	еще не	14	3
109	одной из	4	3
110	что и	3	3
111	не есть	2	3
112	в своей	5	3
113	мысли и	2	3
114	в отличие	5	3
115	во всяком	2	3
116	могут быть	4	3
117	отличие от	5	3
118	уже в	2	2
119	что в	4	2
120	в одной	3	2
121	в тех	2	2
122	тому же	5	2
123	более или	2	2
124	о чем	2	2
125	общения и	2	2
126	значительной степени	2	2
127	одним из	2	2
128	в своем	6	2
129	в особенности	4	2
130	отношения к	2	2
131	именно в	3	2
132	они не	2	2
133	и даже	3	2
134	опирается на	2	2
135	высказывания не	2	2
136	не следует	2	2
137	по крайней	2	2
138	к его	2	2
139	но как	2	2
140	в начале	2	2
141	того или	2	2
142	то есть	20	2
143	но они	2	2
144	однако и	2	2
145	определяется не	2	2
146	стороны и	2	2
147	не с	3	2
148	различие между	2	2
149	но не	11	2
150	здесь в	2	2
151	бы это	2	2
152	и о	4	2
153	и потому	3	2
154	крайней мере	2	2
155	себя в	2	2
156	или менее	2	2
157	приводит к	2	2
158	а с	5	2
159	сводится к	5	2
160	в значительной	2	2
161	что не	4	2
162	должны быть	3	2
163	и он	2	2
164	говорящего и	2	2
165	или в	2	2
166	свидетельствует о	2	2
167	тем что	3	2
168	на протяжении	2	2
169	далеко не	10	2
170	это было	2	2
