N	3gram	Vygotskiy__7	VeschiIm
1	не может быть	4	18
2	на то что	4	6
3	в том что	13	6
4	в свою очередь	2	5
5	одно и то	3	5
6	тем не менее	3	5
7	содержит в себе	3	5
8	и то же	3	5
9	с точки зрения	21	4
10	и то что	3	4
11	в собственном смысле	3	3
12	в самом деле	4	3
13	то и другое	3	3
14	из того что	2	3
15	вместе с тем	4	3
16	к тому что	6	2
17	в первом случае	3	2
18	но то что	2	2
19	нужно было бы	2	2
20	этой точки зрения	4	2
21	можно сказать что	3	2
22	в данном случае	5	2
23	с этой точки	4	2
24	мы находим в	2	2
25	заключается в том	4	2
