N	2gram	Bakhtin_Pr_2	Poddanst
1	не только	11	17
2	и в	43	14
3	и не	29	12
4	в отношении	3	10
5	в этом	13	10
6	то же	8	9
7	в том	6	9
8	но в	10	9
9	хотя бы	2	8
10	в пределах	16	8
11	же время	5	7
12	в то	7	7
13	только в	4	7
14	но и	14	6
15	было бы	5	6
16	с другой	4	5
17	не в	11	5
18	в которых	2	5
19	и пр	2	5
20	отношении к	2	5
21	и о	2	5
22	может быть	23	5
23	в котором	6	4
24	то что	7	4
25	что в	4	4
26	если бы	3	4
27	в своем	4	4
28	не может	18	4
29	по себе	11	4
30	и к	3	4
31	а в	5	4
32	том что	2	4
33	как бы	22	4
34	в нем	12	3
35	и т	13	3
36	и без	2	3
37	это не	3	3
38	т е	26	3
39	прежде всего	10	3
40	с точки	8	3
41	мы не	4	3
42	и как	2	3
43	с ними	2	3
44	между тем	3	3
45	но не	5	3
46	могут быть	3	3
47	точки зрения	13	3
48	в себе	5	3
49	тот же	3	3
50	хотя и	5	3
51	я и	2	3
52	не менее	3	2
53	во всех	4	2
54	но к	2	2
55	в них	4	2
56	все это	5	2
57	как раз	4	2
58	отношения к	2	2
59	с этим	2	2
60	в жизни	3	2
61	именно как	2	2
62	еще более	2	2
63	стороны и	3	2
64	а не	7	2
65	бы ни	2	2
66	того что	2	2
67	слова но	2	2
68	точек зрения	4	2
69	должно быть	4	2
70	для нас	2	2
71	есть в	3	2
72	одна из	2	2
73	теперь в	3	2
74	в виде	3	2
75	не нужно	2	2
76	из них	2	2
77	например в	2	2
78	и это	4	2
79	никак не	5	2
80	да и	5	2
81	в эту	3	2
82	в его	10	2
83	и с	5	2
