N	2gram	Losev_Prob_5	Myslijsy
1	потому что	13	49
2	для нас	10	31
3	то есть	21	30
4	и в	30	24
5	может быть	7	23
6	то что	18	20
7	и не	12	19
8	а не	5	18
9	в том	12	18
10	что в	5	16
11	по себе	2	15
12	не только	18	15
13	того же	4	14
14	при этом	4	13
15	было бы	4	13
16	не в	7	13
17	но не	7	12
18	не может	5	12
19	то же	2	12
20	мы можем	5	12
21	что и	6	11
22	вместе с	7	11
23	мы не	2	11
24	только в	9	11
25	таким образом	13	11
26	в себе	4	10
27	так что	11	10
28	как в	2	10
29	так как	6	10
30	тогда когда	4	10
31	точно так	3	9
32	вовсе не	8	9
33	в нем	6	9
34	как бы	6	9
35	но и	13	9
36	то и	2	9
37	а в	6	8
38	том что	17	8
39	и на	6	8
40	в этом	17	8
41	не могут	2	7
42	прежде всего	6	7
43	во всяком	2	7
44	всяком случае	2	7
45	или же	2	7
46	как и	7	7
47	того что	3	7
48	тем что	2	7
49	в чем	2	7
50	того как	5	7
51	связи с	7	6
52	с другой	6	6
53	в одном	3	6
54	и как	6	6
55	в свою	2	6
56	по поводу	2	6
57	тем не	5	6
58	есть только	3	6
59	между тем	2	6
60	в то	4	6
61	и только	2	6
62	уже в	2	5
63	не менее	5	5
64	по крайней	4	5
65	с ним	3	5
66	крайней мере	4	5
67	же в	3	5
68	что они	3	5
69	тот же	3	5
70	что не	2	5
71	на то	2	5
72	о том	12	5
73	и их	5	5
74	так и	7	5
75	в них	2	5
76	бы не	3	5
77	для того	3	5
78	из них	2	5
79	только для	2	5
80	все же	9	5
81	в которой	5	5
82	никогда не	7	4
83	что он	7	4
84	уже не	6	4
85	и другое	3	4
86	до сих	2	4
87	еще не	3	4
88	в самом	5	4
89	время как	3	4
90	в котором	2	4
91	сих пор	2	4
92	с одной	3	4
93	если не	4	4
94	и что	6	4
95	в таком	2	4
96	они не	2	4
97	то время	3	4
98	с тем	5	4
99	в других	3	4
100	но в	9	4
101	но даже	4	3
102	это не	2	3
103	и все	9	3
104	человека и	4	3
105	хотя и	8	3
106	от них	2	3
107	все что	2	3
108	но тем	2	3
109	одной стороны	3	3
110	вслед за	2	3
111	в самой	3	3
112	в ней	3	3
113	его в	6	3
114	и тем	3	3
115	на него	2	3
116	только тогда	3	3
117	и тогда	2	3
118	что его	3	3
119	и притом	5	3
120	и у	5	3
121	тем же	3	3
122	не так	4	3
123	и для	6	3
124	его не	2	3
125	и то	5	3
126	и вообще	9	3
127	далеко не	4	3
128	таком случае	2	2
129	этом смысле	3	2
130	и его	6	2
131	что у	5	2
132	в какой	2	2
133	но он	5	2
134	хотя бы	2	2
135	к этому	2	2
136	значение и	2	2
137	мы выше	2	2
138	после того	3	2
139	у нас	7	2
140	но все	4	2
141	такого же	3	2
142	в сравнении	3	2
143	все эти	2	2
144	есть в	2	2
145	совсем не	3	2
146	так же	5	2
147	у него	11	2
148	в нашей	2	2
149	а скорее	2	2
150	его на	2	2
151	в его	12	2
152	как именно	4	2
153	не все	2	2
154	один из	2	2
155	указывает на	3	2
156	другой стороны	6	2
157	внимание на	3	2
158	вообще и	2	2
159	в связи	7	2
160	а с	4	2
161	точке зрения	2	2
162	нечто новое	2	2
163	и они	2	2
164	мы находим	7	2
165	но только	3	2
166	самом деле	2	2
167	того чтобы	2	2
168	сравнении с	3	2
169	или в	4	2
170	по отношению	2	2
171	нас в	4	2
172	тем как	2	2
173	сказать что	9	2
174	что только	2	2
175	быть только	3	2
176	даже и	4	2
177	не то	2	2
178	в другом	3	2
179	о котором	3	2
180	факт что	2	2
