N	2gram	Vygotskiy__5	Sotsiolo
1	все это	2	7
2	в том	18	5
3	в этом	25	5
4	не в	6	3
5	в его	11	3
6	и в	16	3
7	не только	16	3
8	по отношению	12	2
9	еще не	4	2
10	было бы	10	2
11	как будто	2	2
12	только в	10	2
13	по существу	3	2
14	это и	3	2
15	таким образом	19	2
16	том что	15	2
17	то же	8	2
18	отношению к	12	2
19	то что	26	2
20	тем более	4	2
21	может быть	9	2
22	за пределы	4	2
23	в результате	4	2
24	в частности	3	2
25	и что	12	2
26	но и	6	2
27	очевидно что	2	2
28	в смысле	3	2
29	к которому	4	2
30	как бы	5	2
31	должна быть	5	2
32	что в	16	2
