N	2gram	Potebnia_M_3	Analitik
1	может быть	28	29
2	в том	32	27
3	не может	6	22
4	и не	15	21
5	и в	30	18
6	а не	15	17
7	но и	19	17
8	не только	21	15
9	тогда как	2	14
10	не в	15	14
11	как и	10	13
12	в его	4	13
13	в этом	10	13
14	том что	18	12
15	при этом	3	12
16	в себе	16	11
17	то есть	34	11
18	но не	7	10
19	то же	23	9
20	а в	12	9
21	в то	10	9
22	есть не	7	8
23	не есть	17	8
24	к тому	7	7
25	том чтобы	2	7
26	этого слова	11	7
27	тем самым	7	7
28	прежде всего	3	6
29	же время	5	6
30	в самом	8	6
31	далеко не	4	6
32	то что	18	6
33	в своей	2	6
34	по отношению	5	6
35	точки зрения	2	6
36	только в	21	6
37	я и	3	6
38	художественного произведения	5	5
39	и как	5	5
40	в этой	2	5
41	что в	17	5
42	как бы	3	5
43	отношению к	5	5
44	в целом	3	5
45	художественное произведение	6	5
46	в их	2	5
47	и его	4	5
48	между тем	9	5
49	и на	3	5
50	о том	2	5
51	в произведении	3	5
52	того что	18	4
53	могут быть	3	4
54	себя и	4	4
55	столь же	4	4
56	с другой	7	4
57	не всегда	2	4
58	по себе	16	4
59	ни в	2	4
60	для того	4	4
61	в области	2	4
62	все же	2	4
63	вместе с	12	4
64	так и	11	4
65	собственно говоря	2	4
66	именно в	3	4
67	из того	2	4
68	уже не	6	4
69	с другими	5	4
70	не следует	5	4
71	с ним	6	4
72	место в	3	3
73	не могут	5	3
74	и есть	3	3
75	и все	3	3
76	в собственном	2	3
77	в нем	9	3
78	что он	6	3
79	и т	5	3
80	в силу	3	3
81	произведении искусства	4	3
82	еще не	5	3
83	одной стороны	3	3
84	что не	8	3
85	никто не	3	3
86	он не	4	3
87	в котором	4	3
88	даже в	2	3
89	что и	13	3
90	вопрос об	2	3
91	не будет	3	3
92	таким образом	14	3
93	а с	2	3
94	с одной	7	3
95	того чтобы	3	3
96	к нему	3	3
97	что как	2	3
98	в таком	3	3
99	тому как	5	3
100	подобно тому	2	3
101	т п	2	3
102	могла бы	2	3
103	что мы	8	3
104	произведения искусства	2	3
105	бы быть	2	3
106	быть не	2	3
107	если бы	12	3
108	таком случае	2	3
109	быть может	3	2
110	и то	8	2
111	только не	2	2
112	на все	2	2
113	в какой	2	2
114	первом случае	2	2
115	не столько	2	2
116	из этих	9	2
117	тогда когда	9	2
118	была бы	4	2
119	вовсе не	7	2
120	его к	2	2
121	что именно	4	2
122	а как	2	2
123	бы ни	3	2
124	можно сказать	3	2
125	в искусстве	3	2
126	в начале	3	2
127	и потому	4	2
128	должно быть	5	2
129	отношение к	2	2
130	для него	9	2
131	было бы	9	2
132	мысль о	5	2
133	несмотря на	2	2
134	на его	2	2
135	и та	2	2
136	душевной жизни	6	2
137	за пределы	2	2
138	говоря о	4	2
139	и о	2	2
140	в ряду	3	2
141	в свое	2	2
142	язык есть	2	2
143	не все	4	2
144	один из	4	2
145	не к	4	2
146	из них	6	2
147	не говоря	3	2
148	и до	2	2
149	со стороны	3	2
150	что же	2	2
151	и тогда	3	2
152	другой стороны	4	2
153	бы не	4	2
154	той же	2	2
155	этом отношении	2	2
156	самом деле	2	2
157	и по	4	2
158	как мы	7	2
159	то он	2	2
160	тем более	4	2
161	из виду	2	2
162	в субъекте	2	2
163	для себя	3	2
164	а напротив	2	2
165	в первом	3	2
166	так как	13	2
167	думать что	5	2
168	потому что	46	2
169	в которой	3	2
170	в сознании	15	2
171	и с	2	2
172	в новом	2	2
