N	2gram	Vygotskiy__3	DiskursI
1	в себе	2	19
2	при этом	5	17
3	состоит в	3	16
4	в качестве	12	16
5	и в	25	16
6	может быть	13	16
7	как и	15	16
8	в этом	14	16
9	и не	10	15
10	в частности	4	12
11	в отличие	6	12
12	отличие от	6	12
13	в мире	2	11
14	представляет собой	6	11
15	но и	4	11
16	том что	20	10
17	не только	6	10
18	такого рода	2	9
19	так и	5	9
20	не может	6	9
21	в том	23	8
22	а также	2	8
23	как в	9	8
24	не менее	6	7
25	прежде всего	4	7
26	в нем	2	7
27	ни в	9	7
28	но не	6	7
29	с его	2	6
30	отнюдь не	4	6
31	еще не	4	6
32	все же	6	6
33	в своей	2	6
34	то же	2	6
35	тем самым	2	6
36	в своих	2	6
37	по своей	7	6
38	а с	3	5
39	что в	17	5
40	в своем	4	5
41	с другой	6	5
42	для него	5	5
43	то что	15	5
44	и на	6	5
45	в то	4	5
46	в одном	2	4
47	одного из	2	4
48	к этому	3	4
49	одной стороны	5	4
50	как бы	10	4
51	отношению к	2	4
52	по отношению	3	4
53	этом отношении	3	4
54	с одной	5	4
55	потому что	6	4
56	в основе	16	4
57	точки зрения	6	4
58	в этой	5	4
59	и то	2	4
60	о том	5	4
61	не является	8	4
62	перед нами	10	3
63	и может	2	3
64	могут быть	5	3
65	в этих	2	3
66	в них	2	3
67	столь же	7	3
68	не столько	4	3
69	из этих	4	3
70	и все	4	3
71	или иной	3	3
72	уже не	2	3
73	и того	4	3
74	и как	5	3
75	не в	6	3
76	он не	4	3
77	той или	2	3
78	в его	15	3
79	еще в	2	3
80	в котором	3	3
81	к жизни	2	3
82	из них	4	3
83	приводит к	4	3
84	иначе говоря	2	3
85	все эти	7	3
86	внутренней речи	19	3
87	как на	2	3
88	и его	2	3
89	но это	5	3
90	одного и	4	3
91	только в	10	3
92	его в	3	3
93	место в	2	2
94	же как	6	2
95	другого в	2	2
96	никогда не	4	2
97	и одновременно	2	2
98	и другого	2	2
99	в целом	13	2
100	как уже	6	2
101	или иного	2	2
102	на первый	2	2
103	что он	6	2
104	всякий раз	2	2
105	является не	2	2
106	того же	6	2
107	с их	2	2
108	отношения между	5	2
109	что и	10	2
110	с ее	5	2
111	с той	2	2
112	слова не	2	2
113	вместе с	14	2
114	с ней	3	2
115	заключает в	2	2
116	того и	2	2
117	входит в	5	2
118	именно в	5	2
119	в себя	3	2
120	все это	6	2
121	другой стороны	3	2
122	речи в	4	2
123	и для	2	2
124	должно быть	2	2
125	а в	4	2
126	той же	4	2
127	что как	2	2
128	тому как	2	2
129	совпадает с	6	2
130	в результате	3	2
131	их в	3	2
132	и это	4	2
133	в области	7	2
134	говорит об	2	2
135	мы имеем	4	2
136	между тем	3	2
