N	2gram	Bakhtin_Fr_4	DiskursI
1	в себе	3	19
2	при этом	3	17
3	в качестве	3	16
4	и в	29	16
5	может быть	2	16
6	как и	12	16
7	в этом	11	16
8	и не	16	15
9	в частности	3	12
10	и т.п	12	12
11	то есть	21	12
12	но и	9	11
13	но в	12	11
14	том что	3	10
15	не только	10	10
16	своего рода	6	10
17	со стороны	2	10
18	так и	11	9
19	не может	2	9
20	в том	7	8
21	а также	2	8
22	как в	2	8
23	прежде всего	8	7
24	в нем	5	7
25	ни в	2	7
26	но не	2	7
27	с его	4	6
28	себя в	2	6
29	еще не	4	6
30	все же	3	6
31	в своей	5	6
32	то же	10	6
33	в своих	2	6
34	по своей	3	6
35	в своем	3	5
36	с другой	4	5
37	нового времени	2	5
38	же время	8	5
39	то что	4	5
40	и на	11	5
41	в то	10	5
42	к этому	2	4
43	одной стороны	2	4
44	как бы	8	4
45	с одной	2	4
46	роль в	3	4
47	в основе	2	4
48	точки зрения	4	4
49	в этой	13	4
50	и то	2	4
51	о том	2	4
52	мира и	4	4
53	перед нами	4	3
54	жизни в	2	3
55	в этих	2	3
56	в них	7	3
57	это не	5	3
58	не столько	2	3
59	и все	13	3
60	в пределе	3	3
61	было в	2	3
62	уже не	2	3
63	и как	3	3
64	соответствии с	2	3
65	здесь в	6	3
66	он не	3	3
67	в его	8	3
68	в котором	2	3
69	из них	6	3
70	жизни и	4	3
71	но она	2	3
72	все эти	9	3
73	и наконец	2	3
74	также и	4	3
75	как на	2	3
76	и его	8	3
77	но это	4	3
78	как будто	2	3
79	только в	2	3
80	его в	9	3
81	место в	2	2
82	никогда не	2	2
83	и одновременно	4	2
84	в большинстве	6	2
85	это в	2	2
86	с таким	2	2
87	на первый	2	2
88	в той	2	2
89	что он	4	2
90	такой же	3	2
91	есть в	2	2
92	времени и	2	2
93	перед лицом	2	2
94	того же	5	2
95	о чем	2	2
96	этой традиции	3	2
97	в ней	3	2
98	далеко не	5	2
99	с ее	3	2
100	с точки	2	2
101	не на	2	2
102	именно в	2	2
103	на языке	3	2
104	по преимуществу	3	2
105	в себя	2	2
106	там же	3	2
107	все это	4	2
108	другой стороны	3	2
109	и для	2	2
110	той же	3	2
111	тому как	3	2
112	в результате	4	2
113	их в	2	2
114	и с	9	2
115	подобно тому	3	2
116	и это	2	2
117	дело в	2	2
118	здесь не	3	2
119	но здесь	2	2
