N	2gram	Losev_Prob_3	UchenyiS
1	и в	44	14
2	а не	18	10
3	не только	14	10
4	и не	35	8
5	прежде всего	3	8
6	то что	23	7
7	в этом	17	7
8	не может	7	7
9	в искусстве	4	6
10	может быть	28	6
11	в художественном	3	5
12	хотя бы	3	5
13	художественное произведение	8	5
14	все это	5	5
15	и только	6	5
16	то же	13	5
17	но и	10	4
18	в этой	3	4
19	в их	2	4
20	с другой	7	4
21	что такое	3	4
22	только к	2	3
23	но в	12	3
24	как и	10	3
25	и то	14	3
26	все же	6	3
27	в своей	5	3
28	в частности	2	3
29	бы то	4	3
30	для этого	6	3
31	то ни	6	3
32	другой стороны	5	3
33	для него	3	3
34	это не	9	3
35	в то	9	3
36	было бы	8	3
37	ни было	3	3
38	у нас	10	3
39	тех или	5	2
40	том что	12	2
41	но не	3	2
42	в том	21	2
43	является в	2	2
44	по существу	2	2
45	художественного произведения	14	2
46	мы не	7	2
47	не есть	35	2
48	крайней мере	5	2
49	не в	13	2
50	всех этих	2	2
51	и для	2	2
52	но это	8	2
53	мы и	2	2
54	не столько	2	2
55	о чем	2	2
56	если бы	3	2
57	литературы и	2	2
58	нас в	4	2
59	это уже	3	2
60	только в	19	2
61	и с	9	2
62	но даже	4	2
63	тем что	4	2
64	сих пор	2	2
65	при таком	2	2
66	могут быть	2	2
67	даже и	16	2
68	что он	9	2
69	все они	2	2
70	и у	2	2
71	в себе	8	2
72	как раз	8	2
73	до сих	2	2
74	формы и	3	2
75	что мы	8	2
76	же самое	9	2
77	в конце	5	2
78	могли бы	4	2
79	этого термина	2	2
80	что все	2	2
81	если не	3	2
82	ни от	4	2
83	в самом	3	2
84	сколько угодно	4	2
85	или иных	4	2
86	нам представляется	2	2
87	по себе	25	2
88	в буквальном	2	2
89	ничего не	3	2
90	самом деле	3	2
91	а как	2	2
92	по крайней	5	2
93	и является	4	2
94	что и	9	2
95	в его	9	2
96	на первый	4	2
97	конце концов	3	2
98	таким образом	9	2
99	же не	2	2
100	это было	2	2
101	художественном произведении	3	2
