N	2gram	Berdyaev_V_1	Formalny
1	и в	16	24
2	в его	4	23
3	прежде всего	2	22
4	и не	20	20
5	так и	4	18
6	в этом	4	15
7	в нем	4	14
8	и т	2	12
9	как и	4	11
10	должно быть	3	11
11	в своей	3	11
12	в ней	4	10
13	а не	7	10
14	и потому	7	9
15	все это	5	9
16	то что	9	8
17	т д	2	8
18	лишь в	3	8
19	не в	3	8
20	должна быть	3	7
21	не только	2	7
22	жизни и	3	7
23	но и	5	7
24	и все	4	6
25	в том	3	6
26	еще не	8	6
27	как бы	5	6
28	а в	2	6
29	все эти	3	6
30	хотя бы	3	5
31	во всех	3	5
32	того что	5	5
33	но в	3	5
34	с его	3	4
35	никогда не	3	4
36	в мире	5	4
37	конечно не	2	4
38	оно не	3	4
39	что в	3	4
40	во всяком	2	4
41	в истории	8	4
42	но не	2	3
43	в них	3	3
44	в жизни	3	3
45	что он	4	3
46	к тому	3	3
47	для него	2	3
48	но это	3	3
49	один из	2	3
50	всего в	2	3
51	не было	3	3
52	мы не	2	3
53	с тем	2	2
54	его и	2	2
55	это не	2	2
56	что было	2	2
57	ни в	3	2
58	уже не	2	2
59	одна из	2	2
60	только в	2	2
61	нет и	2	2
62	не с	2	2
63	что и	3	2
64	не есть	6	2
65	значения и	2	2
66	и что	3	2
67	не так	2	2
68	его не	2	2
69	между тем	2	2
70	от этого	3	2
71	и это	2	2
72	с ним	2	2
73	мира в	2	2
