N	2gram	Losev_Prob_1	VerxiiNi
1	и в	32	26
2	таким образом	6	22
3	с тем	5	18
4	вместе с	2	15
5	в этом	19	15
6	точки зрения	3	13
7	как бы	14	12
8	в том	9	11
9	может быть	14	10
10	не только	17	10
11	и с	2	10
12	из этих	2	10
13	связи с	5	9
14	что в	12	9
15	но и	9	9
16	в области	2	9
17	так как	11	9
18	с другой	3	8
19	но не	9	8
20	и не	31	8
21	том что	12	7
22	но все	3	7
23	из них	3	7
24	к нему	3	7
25	то что	42	7
26	потому что	16	7
27	но в	14	7
28	в конце	6	6
29	к тому	3	6
30	и потому	2	6
31	того же	3	6
32	несмотря на	3	6
33	всяком случае	3	6
34	так и	12	6
35	все это	7	6
36	в отношении	3	6
37	все эти	8	6
38	с точки	3	6
39	во всяком	7	6
40	в себе	15	6
41	мы должны	5	6
42	о том	11	6
43	крайней мере	2	5
44	до сих	3	5
45	в его	6	5
46	никогда не	7	5
47	сих пор	3	5
48	или менее	3	5
49	так же	9	5
50	а не	15	5
51	того чтобы	9	5
52	для того	8	5
53	не имеет	2	5
54	и для	4	5
55	более или	3	5
56	по крайней	2	5
57	учение о	3	4
58	в этих	3	4
59	что все	3	4
60	что он	7	4
61	в нем	13	4
62	в самом	6	4
63	в котором	5	4
64	не может	8	4
65	и только	4	4
66	а в	4	4
67	то же	10	4
68	что оно	3	4
69	и что	9	4
70	на этот	3	4
71	с другими	2	4
72	в которых	3	4
73	в виде	15	4
74	он не	3	4
75	в то	6	4
76	только в	7	4
77	то есть	33	4
78	в этой	10	4
79	далеко не	5	4
80	не менее	19	3
81	же как	2	3
82	что это	3	3
83	если бы	4	3
84	так или	2	3
85	хотя бы	3	3
86	точно так	4	3
87	ясно что	3	3
88	уже с	2	3
89	можно сказать	5	3
90	для него	2	3
91	так что	6	3
92	и как	6	3
93	и при	2	3
94	в своем	5	3
95	в качестве	2	3
96	случае не	3	3
97	и если	6	3
98	большей частью	2	3
99	и о	8	3
100	тем не	18	3
101	оказывается что	2	3
102	в связи	4	3
103	при этом	6	3
104	уже не	3	3
105	того что	7	3
106	и даже	11	3
107	в которой	2	3
108	то с	9	3
109	в таком	9	3
110	или иначе	2	3
111	в результате	2	3
112	конце концов	4	3
113	в других	5	3
114	есть как	2	2
115	уже в	3	2
116	не могут	2	2
117	с его	2	2
118	он в	2	2
119	только не	3	2
120	именно в	4	2
121	одно из	2	2
122	в них	7	2
123	но когда	2	2
124	только для	3	2
125	и особенно	2	2
126	не как	2	2
127	прежде всего	10	2
128	на то	8	2
129	или иной	5	2
130	уже давно	2	2
131	а также	4	2
132	к его	2	2
133	и здесь	6	2
134	его от	3	2
135	сознании и	4	2
136	по существу	2	2
137	по своему	9	2
138	что мы	13	2
139	с целью	4	2
140	еще не	9	2
141	со всеми	2	2
142	общего с	8	2
143	той или	5	2
144	но если	2	2
145	и является	7	2
146	один из	4	2
147	то или	2	2
148	во всех	7	2
149	быть и	3	2
150	только что	2	2
151	для этого	3	2
152	для этих	2	2
153	особенно в	2	2
154	не было	4	2
155	если не	4	2
156	мы имеем	2	2
157	в самой	3	2
158	в одно	4	2
159	свидетельствует о	3	2
160	не должны	3	2
161	быть даже	2	2
162	и на	8	2
163	сказать что	13	2
164	больше чем	2	2
165	не в	4	2
166	мы можем	4	2
167	тем и	2	2
168	ничего общего	11	2
169	же самое	9	2
170	и все	7	2
171	и это	9	2
172	которые в	2	2
173	очень много	3	2
174	не потому	2	2
175	в эту	2	2
176	между тем	2	2
177	в виду	6	2
