N	2gram	Bakhtin_Fr_7	EvropaiC
1	таким образом	19	32
2	в том	11	31
3	и в	41	24
4	том что	4	20
5	все эти	13	19
6	не может	3	18
7	то что	8	17
8	может быть	4	15
9	точки зрения	5	13
10	в своем	9	12
11	в этом	15	12
12	все это	10	11
13	с этим	2	11
14	отношению к	2	10
15	как бы	7	10
16	по отношению	2	10
17	все что	4	10
18	во всех	3	10
19	так и	10	10
20	при этом	3	9
21	в результате	2	9
22	как и	14	9
23	того же	3	9
24	что в	9	9
25	не в	9	8
26	так же	5	8
27	и все	14	8
28	с точки	3	8
29	к тому	2	7
30	но и	9	7
31	и не	7	7
32	о котором	2	7
33	о том	6	7
34	что он	3	7
35	по существу	8	7
36	или менее	2	7
37	на самом	2	7
38	более или	2	7
39	все они	6	6
40	в этой	13	6
41	несмотря на	3	6
42	того что	2	6
43	и на	4	6
44	так как	3	6
45	с ним	2	6
46	еще не	2	6
47	что и	5	6
48	в мире	3	6
49	у них	2	6
50	только в	6	6
51	вместе с	5	6
52	именно в	2	5
53	что это	4	5
54	и от	8	5
55	что все	2	5
56	у него	6	5
57	и их	3	5
58	и с	4	5
59	потому что	5	5
60	его в	3	5
61	но в	8	5
62	ничем не	3	5
63	к этому	5	5
64	и к	5	5
65	из всех	2	5
66	в то	10	5
67	по своему	2	5
68	в его	12	5
69	не только	5	5
70	и для	5	5
71	но все	4	5
72	в себе	11	5
73	далеко не	2	5
74	в которой	2	5
75	никогда не	2	4
76	та же	4	4
77	в конце	8	4
78	хотя и	4	4
79	отношение к	2	4
80	из них	3	4
81	в их	3	4
82	должно быть	4	4
83	и то	2	4
84	в состоянии	2	4
85	в одну	4	4
86	мы уже	12	4
87	он не	4	4
88	конце концов	4	4
89	не есть	2	4
90	оказывается что	3	4
91	то же	13	4
92	в течение	2	4
93	из которых	2	4
94	и у	5	4
95	и т.д	2	4
96	в области	2	4
97	в этих	2	3
98	не подлежит	3	3
99	в нем	7	3
100	на этой	4	3
101	целый ряд	4	3
102	в разных	2	3
103	и других	2	3
104	и наконец	4	3
105	и по	3	3
106	а в	5	3
107	это не	6	3
108	и потому	3	3
109	бы в	2	3
110	но по	2	3
111	прежде всего	11	3
112	таким же	3	3
113	тот же	2	3
114	и может	2	3
115	на земле	4	3
116	жизнь и	2	3
117	в данном	2	3
118	в связи	2	3
119	и это	5	3
120	свою очередь	3	2
121	что у	3	2
122	как мы	11	2
123	для него	6	2
124	такой же	3	2
125	на этом	5	2
126	развития человечества	2	2
127	же время	9	2
128	в свою	3	2
129	к нему	5	2
130	почти ничего	2	2
131	в ней	5	2
132	в виду	4	2
133	с ее	3	2
134	мы видели	5	2
135	при виде	4	2
136	другими словами	2	2
137	на том	2	2
138	и до	6	2
139	образом и	2	2
140	ни было	2	2
141	для этой	3	2
142	и те	3	2
143	с ними	3	2
144	в которых	2	2
145	и так	2	2
146	не было	3	2
147	все то	3	2
148	также и	2	2
149	во всяком	2	2
150	то есть	20	2
151	том и	2	2
152	в них	7	2
153	же что	2	2
154	должен быть	2	2
155	вовсе не	7	2
156	одна из	4	2
157	было бы	4	2
158	жизни и	3	2
159	никто не	10	2
160	в сущности	4	2
161	весьма часто	2	2
162	в процессе	2	2
163	из одного	4	2
164	в себя	2	2
165	тем самым	3	2
166	и ее	2	2
167	ту же	2	2
168	не знает	3	2
169	есть в	6	2
170	все его	3	2
