N	3gram	Vinokur_Ku_1	Psycholo
1	в том что	15	17
2	для того чтобы	15	13
3	в самом деле	7	11
4	с точки зрения	9	10
5	заключается в том	2	10
6	не может быть	3	8
7	и т п	18	8
8	на то что	2	6
9	в этом отношении	5	5
10	до сих пор	4	5
11	на самом деле	2	5
12	только в том	3	4
13	и в самом	2	4
14	о том что	5	4
15	можно было бы	3	4
16	тем не менее	4	4
17	в том чтобы	8	3
18	том что он	4	3
19	только потому что	6	2
20	этой точки зрения	2	2
21	в свою очередь	3	2
22	то же время	2	2
23	к тому что	2	2
24	состоит в том	3	2
25	во всяком случае	5	2
26	в то же	2	2
27	и т д	14	2
28	не в том	4	2
29	в том и	2	2
30	того или иного	3	2
31	с другой стороны	6	2
