N	2gram	Tiupa_Lite_2	DiskursI
1	в себе	6	19
2	при этом	6	17
3	состоит в	9	16
4	в качестве	5	16
5	и в	19	16
6	может быть	17	16
7	как и	10	16
8	в этом	9	16
9	и не	11	15
10	а не	20	14
11	в частности	4	12
12	и т.п	10	12
13	то есть	5	12
14	в мире	9	11
15	представляет собой	2	11
16	но и	10	11
17	тогда как	9	11
18	но в	2	11
19	том что	7	10
20	не только	8	10
21	своего рода	13	10
22	со стороны	3	10
23	такого рода	9	9
24	так и	7	9
25	не может	9	9
26	в том	10	8
27	а также	2	8
28	в рамках	4	7
29	не менее	6	7
30	художественного письма	2	7
31	прежде всего	4	7
32	в нем	3	7
33	но не	5	7
34	при всей	2	7
35	в данном	3	7
36	отнюдь не	4	6
37	себя в	6	6
38	еще не	2	6
39	все же	2	6
40	данном случае	3	6
41	то же	12	6
42	тем самым	3	6
43	в своих	2	6
44	в противоположность	2	5
45	что в	4	5
46	с другой	8	5
47	в противовес	3	5
48	же время	9	5
49	для него	4	5
50	героя в	2	5
51	то что	7	5
52	и на	6	5
53	коммуникативного события	2	5
54	в то	9	5
55	я в	7	5
56	лирического героя	4	5
57	в одном	2	4
58	разумеется не	2	4
59	одной стороны	6	4
60	как бы	2	4
61	отношению к	3	4
62	по отношению	4	4
63	этом отношении	3	4
64	с одной	7	4
65	человека в	4	4
66	картина мира	2	4
67	потому что	2	4
68	в основе	2	4
69	одно из	2	4
70	точки зрения	4	4
71	в этой	3	4
72	и то	3	4
73	о том	2	4
74	не является	2	4
75	я и	4	4
76	жизни в	4	3
77	могут быть	2	3
78	восходит к	2	3
79	в них	2	3
80	столь же	5	3
81	не столько	3	3
82	уже не	2	3
83	и как	3	3
84	не в	4	3
85	соответствии с	2	3
86	он не	5	3
87	в его	4	3
88	в русской	4	3
89	еще в	4	3
90	к жизни	2	3
91	из них	2	3
92	жизни и	4	3
93	жизни а	2	3
94	коммуникативное событие	3	3
95	присутствия в	2	3
96	лирический герой	10	3
97	не было	2	3
98	и наконец	2	3
99	как на	3	3
100	и его	3	3
101	но это	3	3
102	следует признать	3	3
103	всей своей	3	3
104	в другом	3	3
105	не знает	2	3
106	с читателем	2	3
107	одном из	2	3
108	мира в	2	3
109	причастности к	4	2
110	же как	2	2
111	лирическое я	4	2
112	другого в	3	2
113	никогда не	3	2
114	и одновременно	2	2
115	в целом	2	2
116	личности в	3	2
117	как уже	2	2
118	этом случае	2	2
119	идет о	3	2
120	что он	3	2
121	по формуле	2	2
122	а к	2	2
123	такой же	3	2
124	того же	4	2
125	одно и	2	2
126	свое время	2	2
127	в ней	4	2
128	своего другого	3	2
129	в свое	2	2
130	для себя	2	2
131	не с	3	2
132	что и	2	2
133	с ее	2	2
134	с точки	3	2
135	но уже	2	2
136	не к	2	2
137	вместе с	5	2
138	русской литературе	2	2
139	по преимуществу	2	2
140	в себя	3	2
141	к своему	2	2
142	не более	2	2
143	взаимодействующих сознаний	2	2
144	в принципе	5	2
145	другой стороны	4	2
146	жизни как	2	2
147	и для	3	2
148	а в	3	2
149	той же	2	2
150	тому как	2	2
151	являет собой	2	2
152	в результате	2	2
153	и с	3	2
154	подобно тому	2	2
155	в области	4	2
