N	2gram	Nazirov_Vr_1	formyVre
1	и в	8	50
2	в романе	6	32
3	в этом	8	25
4	в нем	6	24
5	человека в	3	17
6	и его	3	16
7	и не	5	14
8	как раз	2	13
9	в его	3	13
10	может быть	4	11
11	таким образом	2	11
12	то же	5	11
13	и как	3	10
14	но в	6	10
15	в конце	3	9
16	в том	3	9
17	же время	5	9
18	в то	5	9
19	не только	9	9
20	с его	3	9
21	но и	7	8
22	как и	6	8
23	не было	5	7
24	и во	3	7
25	все же	6	6
26	это не	4	6
27	не может	2	6
28	так же	4	6
29	у него	5	6
30	и все	7	6
31	связи с	3	6
32	то что	7	6
33	что в	7	5
34	в связи	3	5
35	точки зрения	2	5
36	отнюдь не	2	5
37	еще не	2	5
38	наряду с	3	5
39	он не	3	5
40	и у	3	5
41	в роман	2	4
42	время и	2	4
43	в своем	3	4
44	в котором	6	4
45	все это	4	4
46	и с	6	4
47	в ней	4	4
48	к себе	2	4
49	в них	2	4
50	раз в	3	4
51	и т.п	2	4
52	в той	2	4
53	том что	3	4
54	и то	2	4
55	и это	2	4
56	при этом	4	3
57	в виду	4	3
58	и уже	3	3
59	отношения к	2	3
60	а в	2	3
61	их в	2	3
62	в начале	6	3
63	его в	3	3
64	к этому	3	3
65	же в	2	3
66	вместе с	2	3
67	и ее	2	3
68	в себе	2	3
69	место в	2	2
70	уже в	4	2
71	же как	2	2
72	никогда не	2	2
73	его и	2	2
74	для нас	4	2
75	в свою	2	2
76	для него	2	2
77	отношение к	2	2
78	на основе	2	2
79	и даже	6	2
80	рядом с	2	2
81	к ним	2	2
82	но он	3	2
83	в истории	4	2
84	с ним	4	2
85	во многом	4	2
86	об этом	5	2
87	в чем	3	2
88	одна из	2	2
89	и стал	2	2
90	в это	2	2
91	том же	2	2
92	а также	2	2
93	в этот	3	2
94	в честь	2	2
95	в своей	2	2
96	как бы	4	2
97	уже не	2	2
98	с точки	2	2
99	тем что	3	2
100	его на	2	2
101	далеко не	3	2
