N	2gram	Voloshinov_1	EvropaiC
1	таким образом	12	32
2	в том	6	31
3	и в	12	24
4	том что	5	20
5	все эти	3	19
6	не может	16	18
7	то что	5	17
8	может быть	14	15
9	все же	4	15
10	точки зрения	14	13
11	в своем	2	12
12	до сих	3	12
13	сих пор	3	12
14	самом деле	3	12
15	в этом	4	12
16	все это	3	11
17	между тем	3	11
18	отношению к	11	10
19	как бы	13	10
20	по отношению	11	10
21	так и	4	10
22	при этом	6	9
23	как и	5	9
24	что в	2	9
25	не в	4	8
26	в самом	4	8
27	так же	3	8
28	если бы	9	8
29	и все	2	8
30	ясно что	3	8
31	с точки	2	8
32	не менее	3	7
33	но и	3	7
34	и не	10	7
35	и что	2	7
36	о том	3	7
37	в психике	2	7
38	на самом	4	7
39	из этого	3	7
40	должна быть	5	6
41	все они	2	6
42	с другой	4	6
43	того что	3	6
44	как на	2	6
45	и на	4	6
46	так как	9	6
47	с ним	3	6
48	еще не	3	6
49	что и	2	6
50	мы можем	2	6
51	только в	6	6
52	вместе с	2	6
53	на все	2	5
54	тому же	2	5
55	другой стороны	2	5
56	как к	3	5
57	и с	3	5
58	его в	4	5
59	но в	5	5
60	к этому	2	5
61	и к	4	5
62	в то	2	5
63	в его	2	5
64	не только	4	5
65	быть и	3	5
66	и для	3	5
67	но все	2	5
68	в себе	3	5
69	никогда не	5	4
70	в такой	3	4
71	и проч	3	4
72	тем не	3	4
73	отношение к	4	4
74	не так	2	4
75	и то	2	4
76	между собой	2	4
77	социальной жизни	2	4
78	он не	2	4
79	не есть	2	4
80	то же	5	4
81	хотя бы	5	4
82	с одной	2	3
83	в нашем	11	3
84	в этих	2	3
85	ее и	3	3
86	для нас	7	3
87	в настоящее	2	3
88	в нем	6	3
89	данном случае	2	3
90	от того	4	3
91	то ни	3	3
92	и наконец	3	3
93	и по	3	3
94	это не	2	3
95	настоящее время	2	3
96	что мы	5	3
97	и потому	2	3
98	прежде всего	8	3
99	в жизни	5	3
100	конечно не	3	3
101	слагается из	2	3
102	ко всем	2	3
103	в данном	2	3
104	и вообще	3	3
105	независимо от	2	2
106	себя и	2	2
107	точку зрения	2	2
108	с этой	2	2
109	для него	3	2
110	такой же	2	2
111	одной стороны	2	2
112	к нему	4	2
113	к ним	2	2
114	но для	3	2
115	в ней	6	2
116	в виду	5	2
117	в котором	3	2
118	и уже	3	2
119	бы то	3	2
120	имеет место	2	2
121	те же	2	2
122	ни было	4	2
123	и те	2	2
124	и так	2	2
125	и более	3	2
126	отнюдь не	5	2
127	в них	3	2
128	он должен	3	2
129	тогда когда	2	2
130	этих двух	2	2
131	конечно в	2	2
132	а к	2	2
133	но не	2	2
134	она не	2	2
135	жизни и	4	2
136	общего с	2	2
137	тем как	2	2
138	как не	2	2
139	в процессе	6	2
140	на него	2	2
141	в себя	2	2
142	между ними	2	2
143	мы все	4	2
144	и ее	3	2
145	если же	2	2
146	из него	2	2
