N	2gram	Bakhtin_fo_1	OGranits
1	и в	50	13
2	и его	16	12
3	прежде всего	15	9
4	не может	6	8
5	и не	14	8
6	может быть	11	8
7	и их	8	7
8	и т.п	4	7
9	точки зрения	5	7
10	в его	13	7
11	таким образом	11	6
12	не только	9	6
13	то что	6	6
14	только в	4	6
15	мы должны	2	6
16	как бы	2	6
17	все же	6	5
18	с точки	2	5
19	и эта	2	5
20	хотя бы	2	5
21	в процессе	4	5
22	то же	11	4
23	не является	2	4
24	в своей	2	4
25	все это	4	4
26	еще и	2	4
27	на фоне	3	4
28	только и	5	4
29	лишь в	6	4
30	мы не	3	4
31	было бы	2	4
32	вполне понятно	4	4
33	но в	10	4
34	и уже	3	3
35	отношению к	5	3
36	что в	5	3
37	никогда не	2	3
38	но и	8	3
39	так и	12	3
40	понятно что	4	3
41	в их	6	3
42	по отношению	3	3
43	не как	2	3
44	и все	6	3
45	в одном	3	3
46	точку зрения	2	3
47	в ее	6	3
48	да и	3	3
49	как и	8	3
50	не в	5	3
51	в которой	2	3
52	и то	4	3
53	в пределах	5	3
54	одно и	3	3
55	в себе	3	3
56	с этим	6	3
57	и для	4	3
58	так как	6	3
59	но для	2	3
60	и др	9	2
61	для себя	7	2
62	уже в	2	2
63	а как	3	2
64	самого начала	2	2
65	в нем	24	2
66	ее в	2	2
67	он только	2	2
68	во всей	3	2
69	в целом	2	2
70	а не	3	2
71	в этот	2	2
72	в отношении	3	2
73	во времени	3	2
74	с другой	2	2
75	в них	4	2
76	в связи	5	2
77	входит в	3	2
78	а в	3	2
79	с одной	3	2
80	в течение	2	2
81	все эти	9	2
82	этой проблемы	2	2
83	вовсе не	13	2
84	те же	2	2
85	роль в	9	2
86	разумеется что	2	2
87	есть не	3	2
88	с самого	2	2
89	к тому	3	2
90	и к	2	2
91	как в	6	2
92	если бы	5	2
93	в чем	2	2
94	не имеет	4	2
95	громадную роль	2	2
96	в том	9	2
97	так же	6	2
98	том что	4	2
99	мы видим	3	2
100	с помощью	2	2
101	в данном	2	2
102	в этом	25	2
103	от этого	2	2
104	тем что	2	2
105	и следовательно	4	2
106	могут быть	5	2
107	при этом	3	2
108	смысле слова	2	2
109	и ее	3	2
110	соответствии с	2	2
111	для него	2	2
112	во всем	2	2
113	более того	3	2
114	одной стороны	2	2
115	и может	2	2
116	мы уже	11	2
117	его на	2	2
118	слова и	2	2
119	нет ничего	4	2
120	в самом	8	2
121	героя и	7	2
122	имеет место	3	2
123	там где	2	2
124	в ней	4	2
125	и является	2	2
126	а также	2	2
