N	2gram	Vygotskiy__3	Sovremen
1	не может	7	17
2	точки зрения	16	12
3	может быть	19	12
4	таким образом	12	11
5	мы не	5	9
6	не можем	4	7
7	в этом	13	7
8	и в	38	7
9	и не	10	6
10	как и	8	6
11	мы можем	7	6
12	ничего не	2	6
13	что же	2	5
14	все эти	4	5
15	и наконец	2	5
16	с точки	9	5
17	как бы	14	4
18	мы видели	6	4
19	если мы	6	4
20	в целом	4	4
21	вместе с	5	4
22	а в	7	4
23	не только	12	4
24	в том	25	4
25	их в	2	4
26	из них	6	4
27	так как	6	4
28	но мы	2	3
29	самого начала	6	3
30	все же	8	3
31	видели что	2	3
32	отнюдь не	2	3
33	он может	2	3
34	при таком	2	3
35	между собой	2	3
36	все это	3	3
37	в конце	2	3
38	то же	10	3
39	у всех	4	3
40	ясно что	6	3
41	в нем	4	3
42	а не	7	3
43	и к	3	3
44	из двух	3	3
45	для нас	8	3
46	у нас	2	3
47	когда мы	2	3
48	с самого	6	3
49	не в	12	3
50	в этой	13	3
51	одна из	4	3
52	он в	2	3
53	при этом	4	3
54	было бы	12	3
55	и мы	13	3
56	в одном	8	3
57	и все	10	3
58	в себе	4	3
59	что она	16	3
60	но в	3	3
61	так сказать	5	2
62	совершенно не	5	2
63	не могут	2	2
64	каждого из	3	2
65	не знаем	2	2
66	что это	10	2
67	в виде	2	2
68	у него	4	2
69	можно назвать	2	2
70	на их	2	2
71	то и	3	2
72	и во	2	2
73	из этих	3	2
74	из одного	3	2
75	что все	3	2
76	с одной	6	2
77	который как	2	2
78	как мы	7	2
79	уже не	2	2
80	в свою	4	2
81	самом деле	21	2
82	и что	18	2
83	из которых	4	2
84	к чему	6	2
85	и даже	4	2
86	и по	2	2
87	она может	3	2
88	той же	2	2
89	конечно в	3	2
90	мы видим	12	2
91	в таком	3	2
92	такой же	2	2
93	во всяком	2	2
94	свою очередь	2	2
95	он приводит	3	2
96	на этом	5	2
97	с этим	8	2
98	что в	20	2
99	тот же	3	2
100	со всеми	2	2
101	же самое	10	2
102	в один	3	2
103	по мнению	2	2
104	в самом	25	2
105	в которой	5	2
106	в его	5	2
107	в которую	2	2
108	всяком случае	2	2
109	все те	2	2
