N	2gram	Vinokur_Ku_3	Hudozhes
1	в качестве	2	19
2	состоит в	2	16
3	и не	10	16
4	в том	22	15
5	и в	23	15
6	не только	17	15
7	в частности	2	13
8	может быть	14	13
9	при этом	6	12
10	а в	5	12
11	но не	3	11
12	в этом	16	11
13	я в	3	11
14	как бы	5	10
15	отношению к	2	10
16	но и	3	10
17	так и	6	10
18	по отношению	3	10
19	то же	6	10
20	а не	11	10
21	в его	11	9
22	точки зрения	23	9
23	в рамках	5	8
24	своего рода	2	8
25	с другой	7	7
26	или иной	7	7
27	в отличие	2	7
28	в то	3	7
29	отличие от	2	7
30	но в	2	7
31	я и	3	7
32	что в	13	6
33	в ее	4	6
34	том что	11	6
35	не в	5	6
36	отношение к	3	6
37	не может	6	6
38	могут быть	6	5
39	можно сказать	2	5
40	а также	4	5
41	ни в	3	5
42	только в	6	5
43	тем самым	4	5
44	в самом	13	5
45	того что	11	5
46	той или	5	5
47	то что	4	5
48	или менее	2	5
49	другой стороны	3	5
50	в их	6	5
51	уже не	8	5
52	более или	2	5
53	в этих	2	4
54	не столько	4	4
55	прежде всего	9	4
56	к тому	3	4
57	и как	2	4
58	еще не	9	4
59	хотя и	5	4
60	он не	3	4
61	и тем	6	4
62	в своей	4	4
63	как к	2	4
64	в слове	4	4
65	сказать что	7	4
66	между тем	4	4
67	мы имеем	2	4
68	говорить о	6	4
69	не знает	2	4
70	как это	7	4
71	не менее	12	3
72	если бы	8	3
73	однако в	2	3
74	в отношении	3	3
75	это не	3	3
76	одного и	2	3
77	или иного	3	3
78	что он	6	3
79	и к	3	3
80	к его	2	3
81	тем не	9	3
82	и того	2	3
83	в пределах	2	3
84	по своему	2	3
85	того же	4	3
86	или иным	2	3
87	о чем	2	3
88	мог бы	2	3
89	иначе говоря	2	3
90	того или	3	3
91	как раз	4	3
92	далеко не	5	3
93	в целом	4	3
94	так в	2	3
95	таким образом	9	3
96	как и	5	3
97	в той	4	3
98	лишь в	8	3
99	и что	7	3
100	с точки	16	3
101	в таком	4	3
102	не случайно	4	3
103	потому что	12	3
104	в данном	7	3
105	в структуре	3	3
106	его в	2	3
107	в области	14	3
108	в виду	8	3
109	слова в	4	2
110	на этом	2	2
111	том числе	2	2
112	я не	5	2
113	сама по	2	2
114	речь идет	3	2
115	но на	3	2
116	и более	3	2
117	таком случае	2	2
118	в нашем	7	2
119	тому что	4	2
120	в своем	4	2
121	может оказаться	2	2
122	не как	2	2
123	в одном	2	2
124	вовсе не	5	2
125	по себе	6	2
126	совершенно иной	2	2
127	только о	2	2
128	тем более	5	2
129	одной стороны	4	2
130	за пределы	2	2
131	и о	4	2
132	чем это	2	2
133	не все	2	2
134	к такой	2	2
135	по преимуществу	3	2
136	дело не	2	2
137	как в	4	2
138	а именно	3	2
139	слова как	2	2
140	здесь не	2	2
141	при котором	2	2
142	а с	3	2
143	с одной	4	2
144	именно в	3	2
145	все эти	7	2
146	это и	3	2
147	того чтобы	11	2
148	для того	12	2
149	следует подчеркнуть	2	2
150	к другому	2	2
151	так же	2	2
152	с другими	2	2
153	тот или	2	2
154	в силу	6	2
155	языка в	6	2
156	но как	3	2
157	о том	6	2
158	в чем	5	2
159	бы не	3	2
160	и способности	2	2
161	для меня	2	2
