N	2gram	Bakhtin_sl_2	Morfolog
1	может быть	37	52
2	и т	35	49
3	т д	2	47
4	таким образом	8	20
5	не может	20	17
6	в этих	7	16
7	могут быть	7	15
8	с этим	2	14
9	этих случаях	2	14
10	и в	39	13
11	в этом	16	13
12	действующих лиц	2	13
13	и др	4	12
14	так как	4	12
15	перед нами	3	11
16	связи с	3	11
17	прежде всего	8	9
18	не всегда	2	9
19	этом случае	6	9
20	так и	15	9
21	в связи	2	9
22	то же	4	9
23	и не	22	9
24	а не	14	9
25	с другой	5	8
26	что и	3	8
27	в результате	2	8
28	все же	6	7
29	это не	5	6
30	не могут	5	6
31	и здесь	2	6
32	в том	5	6
33	но не	6	6
34	а также	3	6
35	в форме	2	6
36	а в	4	6
37	не менее	4	5
38	и другие	2	5
39	мы увидим	2	5
40	во всех	12	5
41	далеко не	2	5
42	как бы	7	5
43	не все	2	5
44	один из	5	5
45	то что	2	5
46	или в	2	5
47	мы не	2	5
48	и затем	2	4
49	что в	3	4
50	и как	3	4
51	на котором	2	4
52	вовсе не	10	4
53	героя в	3	4
54	отношению к	4	4
55	на его	2	4
56	не только	24	4
57	в некоторых	3	4
58	как в	13	4
59	как мы	7	4
60	по отношению	4	4
61	как и	6	4
62	там где	6	4
63	хотя и	2	4
64	точки зрения	8	4
65	с точки	3	4
66	на этом	3	4
67	также и	2	4
68	его в	4	4
69	оно может	2	4
70	независимо от	2	3
71	и вне	2	3
72	в нашем	2	3
73	том что	5	3
74	но все	5	3
75	но это	3	3
76	на нем	2	3
77	кроме того	2	3
78	в пределах	13	3
79	того чтобы	2	3
80	формы передачи	4	3
81	в сущности	6	3
82	он не	2	3
83	и другим	2	3
84	ни в	4	3
85	но и	21	3
86	на него	2	3
87	входит в	4	3
88	к нему	3	3
89	и для	5	3
90	в то	4	3
91	героя и	5	3
92	но в	6	3
93	ни к	2	2
94	если она	3	2
95	и более	2	2
96	в виде	2	2
97	однако в	2	2
98	его и	2	2
99	хотя бы	3	2
100	как уже	2	2
101	что он	2	2
102	в различных	2	2
103	в собственном	3	2
104	и к	6	2
105	к различным	2	2
106	не с	3	2
107	в нее	2	2
108	и при	2	2
109	только в	5	2
110	от него	5	2
111	в большинстве	6	2
112	для него	7	2
113	одной стороны	5	2
114	мы уже	2	2
115	или на	2	2
116	себя и	4	2
117	оно не	8	2
118	эти формы	4	2
119	себя в	8	2
120	быть и	3	2
121	собственном смысле	3	2
122	или менее	2	2
123	может не	2	2
124	как например	2	2
125	с одной	5	2
126	за ней	2	2
127	все эти	6	2
128	для того	2	2
129	передачи и	10	2
130	уже не	5	2
131	и иных	4	2
132	и его	33	2
133	в другом	2	2
134	не знает	2	2
135	о том	2	2
136	здесь не	4	2
137	но здесь	4	2
138	большинстве случаев	5	2
139	одна из	4	2
140	сказать что	3	2
141	как это	3	2
142	более или	2	2
