N	3gram	Vinokur_Ku_1	Myshleni
1	в том что	15	21
2	с точки зрения	9	18
3	для того чтобы	15	10
4	заключается в том	2	7
5	в зависимости от	5	6
6	на то что	2	6
7	в связи с	3	6
8	во всяком случае	5	6
9	не может быть	3	6
10	можно было бы	3	5
11	по отношению к	8	5
12	в самом деле	7	4
13	о том что	5	4
14	а с другой	3	4
15	в том чтобы	8	4
16	в этом отношении	5	3
17	состоит в том	3	3
18	мы увидим что	2	2
19	того что в	2	2
20	более или менее	3	2
21	хотя бы и	2	2
22	и в самом	2	2
23	не потому что	3	2
24	в этом смысле	3	2
25	на самом деле	2	2
26	речь идет о	2	2
