N	2gram	Bakhtin_fo_1	VeschiIm
1	не может	6	33
2	не только	9	31
3	может быть	11	29
4	и не	14	28
5	и в	50	26
6	то что	6	24
7	и т	8	21
8	а не	3	20
9	есть только	2	17
10	и следовательно	4	15
11	только в	4	14
12	того что	2	13
13	по себе	2	13
14	было бы	2	12
15	но и	8	12
16	сказать что	3	12
17	есть не	3	12
18	все же	6	12
19	и то	4	12
20	и ее	3	12
21	таким образом	11	11
22	то же	11	10
23	уже не	2	10
24	в ней	4	10
25	как бы	2	10
26	потому что	4	10
27	что мы	2	10
28	в том	9	9
29	в самом	8	9
30	и с	4	9
31	прежде всего	15	9
32	что не	3	9
33	еще и	2	9
34	себя и	3	8
35	с ее	6	8
36	в себе	3	8
37	и это	4	8
38	ничего не	9	8
39	совершенно не	2	7
40	также и	2	7
41	в то	9	7
42	его в	3	7
43	так как	6	7
44	том что	4	7
45	и их	8	7
46	как раз	13	7
47	с другими	3	7
48	в этом	25	7
49	и как	10	6
50	что в	5	6
51	для него	2	6
52	жизни и	8	6
53	ни с	2	6
54	в результате	6	6
55	точки зрения	5	6
56	но в	10	6
57	ясно что	2	6
58	необходимо чтобы	2	6
59	одно и	3	6
60	если мы	2	6
61	с ним	2	6
62	быть только	3	6
63	в отношении	3	5
64	вообще не	3	5
65	это не	6	5
66	не в	5	5
67	еще не	5	5
68	и до	5	5
69	только и	5	5
70	а в	3	5
71	или не	2	5
72	с тем	3	5
73	если бы	5	5
74	отнюдь не	5	5
75	в свою	2	5
76	в ее	6	5
77	одна из	2	5
78	но не	5	5
79	того же	8	5
80	в сущности	3	5
81	для себя	7	5
82	и для	4	5
83	на себя	2	5
84	в чем	2	5
85	в своем	4	4
86	с другой	2	4
87	же время	9	4
88	в их	6	4
89	и даже	2	4
90	с этим	6	4
91	и все	6	4
92	как и	8	4
93	во всех	6	4
94	его на	2	4
95	и потому	3	4
96	на почве	2	4
97	нет и	2	4
98	оно не	2	4
99	что и	3	4
100	быть и	2	4
101	даже не	2	4
102	между ними	3	4
103	с точки	2	4
104	мы не	3	4
105	в данном	2	4
106	тем что	2	4
107	никогда не	2	3
108	вопрос о	2	3
109	к тому	3	3
110	момент в	2	3
111	в нем	24	3
112	отношение к	2	3
113	все это	4	3
114	отношения к	3	3
115	можно только	2	3
116	мы находим	2	3
117	их в	3	3
118	к себе	4	3
119	тогда когда	2	3
120	или как	4	3
121	к другому	2	3
122	в одном	3	3
123	в жизни	6	3
124	один из	3	3
125	мы видим	3	3
126	есть именно	2	3
127	по самому	2	3
128	к ней	2	3
129	этот тип	2	3
130	в своей	2	3
131	вместе с	3	3
132	так и	12	3
133	да и	3	3
134	только на	3	3
135	в той	4	3
136	того чтобы	5	3
137	хотя бы	2	3
138	с самим	5	3
139	и вообще	2	3
140	как оно	2	3
141	в основе	5	3
142	мы будем	2	2
143	в частности	6	2
144	его и	2	2
145	человека и	11	2
146	была бы	2	2
147	а только	2	2
148	ни в	8	2
149	в самой	2	2
150	но все	5	2
151	и нет	2	2
152	кроме того	4	2
153	мы уже	11	2
154	в виду	3	2
155	и уже	3	2
156	но она	2	2
157	мы говорили	3	2
158	в разных	5	2
159	только я	2	2
160	чем не	3	2
161	во втором	2	2
162	так же	6	2
163	жизнь и	4	2
164	конечно и	4	2
165	в более	2	2
166	самим собою	3	2
167	как она	2	2
168	то есть	33	2
169	ни к	3	2
170	поэтому и	3	2
171	но они	3	2
172	от этого	2	2
173	жизни в	8	2
174	и во	7	2
175	на этой	4	2
176	в качестве	3	2
177	первый тип	6	2
178	и может	2	2
179	себе и	3	2
180	наряду с	5	2
181	но оно	2	2
182	об этом	2	2
183	он не	5	2
184	только к	3	2
185	нем нет	2	2
186	как в	6	2
187	еще более	3	2
188	как мы	14	2
189	для того	5	2
190	своей собственной	3	2
191	и его	16	2
192	той же	2	2
193	во всяком	3	2
194	выражение в	2	2
195	ту же	2	2
196	дело в	2	2
197	в особенности	9	2
