N	2gram	Nazirov_Tr_1	Analitik
1	в этом	9	18
2	в частности	2	16
3	и в	18	16
4	не только	8	16
5	так и	5	15
6	как и	5	14
7	в том	2	12
8	своего рода	3	12
9	но и	4	12
10	и не	7	12
11	том что	4	12
12	как бы	7	10
13	при этом	3	10
14	и даже	4	9
15	в этой	4	9
16	ничего не	2	9
17	то есть	3	9
18	в данном	2	8
19	отнюдь не	3	8
20	в целом	4	8
21	не случайно	2	8
22	к тому	2	7
23	в себе	4	7
24	то что	4	7
25	о том	2	7
26	в самом	2	6
27	в мире	3	6
28	и на	7	6
29	может быть	7	6
30	как это	3	6
31	но в	6	6
32	говорит о	2	5
33	данном случае	2	5
34	в своем	3	4
35	столь же	2	4
36	в конце	3	4
37	в поле	3	4
38	у него	6	4
39	о его	2	4
40	в ходе	2	4
41	уже не	2	4
42	не в	2	4
43	тем самым	3	4
44	для него	3	4
45	времени в	2	4
46	как в	3	4
47	все это	4	4
48	не может	5	4
49	и его	6	4
50	то же	5	4
51	не так	2	4
52	не был	2	3
53	никогда не	2	3
54	прежде всего	4	3
55	не мог	2	3
56	так что	2	3
57	по поводу	2	3
58	и сам	3	3
59	несмотря на	5	3
60	и за	2	3
61	что и	2	3
62	и то	2	3
63	тем что	2	3
64	как будто	3	3
65	и все	4	3
66	а как	2	2
67	в одном	2	2
68	что все	2	2
69	и я	2	2
70	из своих	2	2
71	он был	2	2
72	отличие от	2	2
73	же время	6	2
74	что в	4	2
75	что с	3	2
76	еще не	4	2
77	о чем	3	2
78	о жизни	2	2
79	еще в	2	2
80	один из	3	2
81	с ее	3	2
82	как говорит	2	2
83	в отличие	2	2
84	что она	2	2
85	жизнью и	2	2
86	но эта	2	2
87	и он	3	2
88	не имеет	2	2
89	так же	4	2
90	в таком	2	2
91	и до	2	2
92	личности и	2	2
93	он не	2	2
94	он и	2	2
95	в то	5	2
96	в его	3	2
97	его в	2	2
98	с ним	3	2
