N	2gram	Propp_Morf_1	Formalny
1	т е	21	34
2	и в	13	24
3	прежде всего	9	22
4	и не	12	20
5	так и	6	18
6	и пр	37	17
7	не может	14	16
8	точки зрения	2	16
9	в этом	14	15
10	может быть	52	14
11	с точки	2	13
12	таким образом	21	13
13	и т	41	12
14	не менее	5	11
15	как и	3	11
16	вовсе не	4	10
17	и ее	3	10
18	в настоящее	3	10
19	и их	2	10
20	то же	7	10
21	а не	11	10
22	настоящее время	3	10
23	в то	3	9
24	то что	8	8
25	как в	3	8
26	т д	39	8
27	не в	3	8
28	не только	4	7
29	но и	4	7
30	на самом	4	7
31	и здесь	5	6
32	было бы	3	6
33	как таковой	2	6
34	в том	6	6
35	в этой	2	6
36	более или	2	6
37	самом деле	4	6
38	в пределах	3	6
39	она не	2	6
40	еще не	3	6
41	как бы	3	6
42	в целом	3	6
43	или менее	2	6
44	входит в	2	6
45	а в	7	6
46	все эти	2	6
47	как это	3	6
48	хотя бы	4	5
49	у нас	2	5
50	и др	10	5
51	во всех	4	5
52	со стороны	3	5
53	как мы	6	5
54	того что	3	5
55	с другой	8	5
56	но в	2	5
57	мы увидим	8	4
58	с его	2	4
59	независимо от	3	4
60	главным образом	4	4
61	в частности	2	4
62	и к	4	4
63	учение о	3	4
64	если бы	2	4
65	всяком случае	2	4
66	оно не	2	4
67	отношению к	4	4
68	быть и	2	4
69	так же	3	4
70	по отношению	4	4
71	в связи	9	4
72	что в	8	4
73	друг друга	3	4
74	в которой	3	4
75	во всяком	2	4
76	но не	4	3
77	связи с	10	3
78	то ни	3	3
79	он должен	2	3
80	бы то	3	3
81	ясно что	5	3
82	что он	4	3
83	к тому	4	3
84	это и	2	3
85	и как	5	3
86	но это	6	3
87	в большинстве	3	3
88	так например	3	3
89	не по	2	3
90	но для	2	3
91	он не	3	3
92	один из	5	3
93	все же	7	3
94	же в	2	3
95	в россии	2	3
96	или же	6	3
97	мы не	8	3
98	его в	2	3
99	целый ряд	3	3
100	нашей работы	2	3
101	здесь не	2	3
102	прежде чем	3	2
103	с тем	2	2
104	в нашем	3	2
105	его и	2	2
106	это не	6	2
107	с этим	11	2
108	вопрос о	7	2
109	же они	2	2
110	ни было	2	2
111	уже не	2	2
112	по существу	12	2
113	но все	3	2
114	перейти к	2	2
115	в различных	2	2
116	совершается в	2	2
117	одна из	4	2
118	если мы	5	2
119	только в	2	2
120	но есть	3	2
121	не от	2	2
122	как таковое	2	2
123	от того	3	2
124	не с	2	2
125	что и	7	2
126	на него	3	2
127	не на	2	2
128	пр и	2	2
129	и что	2	2
130	приводит к	2	2
131	для этой	3	2
132	как их	2	2
133	в результате	7	2
134	между тем	5	2
135	или на	3	2
136	на его	4	2
137	могла бы	4	2
138	ничего не	4	2
139	если же	5	2
140	тех же	4	2
141	большинстве случаев	3	2
142	что такое	3	2
