N	2gram	Tiupa_Vved_1	Komedia
1	и в	13	22
2	и не	12	21
3	том что	7	13
4	в том	10	12
5	таким образом	4	12
6	со стороны	5	11
7	потому что	5	10
8	в самом	2	9
9	если бы	7	8
10	в своем	5	8
11	в его	4	8
12	что и	2	8
13	в этом	21	8
14	о том	5	8
15	о чем	2	7
16	об этом	4	7
17	при этом	26	7
18	в свою	4	7
19	то же	5	7
20	едва ли	3	7
21	а в	6	7
22	к этому	2	6
23	тому же	4	6
24	свою очередь	4	6
25	еще не	7	6
26	к тому	6	6
27	может быть	18	6
28	как раз	2	6
29	самом деле	3	6
30	и его	5	6
31	в то	4	6
32	не менее	4	5
33	что в	3	5
34	же время	3	5
35	прежде всего	7	5
36	хотя и	7	5
37	не только	20	5
38	в своей	5	5
39	отношение к	2	5
40	по отношению	7	5
41	он не	3	5
42	тем что	2	5
43	с ним	3	5
44	но в	6	5
45	отнюдь не	7	4
46	однако в	4	4
47	между собой	2	4
48	с другой	5	4
49	все же	6	4
50	не в	6	4
51	до конца	3	4
52	в ней	4	4
53	то что	6	4
54	но и	19	4
55	на него	2	4
56	а не	15	4
57	и для	3	4
58	в себе	5	4
59	бы в	3	4
60	так и	8	4
61	не является	3	4
62	и с	2	4
63	в частности	13	3
64	никогда не	4	3
65	в них	2	3
66	в какой	4	3
67	одного из	3	3
68	в нем	5	3
69	далеко не	4	3
70	и к	2	3
71	тем не	3	3
72	как и	11	3
73	в начале	3	3
74	по своему	2	3
75	который в	2	3
76	все что	3	3
77	одной стороны	5	3
78	было бы	4	3
79	к ним	2	3
80	как бы	4	3
81	один из	3	3
82	отношению к	7	3
83	в целом	3	3
84	судя по	2	3
85	приводит к	2	3
86	дело с	2	3
87	не может	7	3
88	с одной	5	3
89	все равно	2	3
90	не имеет	2	3
91	их в	2	3
92	мы можем	2	3
93	не о	2	3
94	представляет собой	15	3
95	говорить о	2	3
96	как он	2	3
97	том как	3	3
98	в основе	3	2
99	состоит в	10	2
100	в качестве	8	2
101	не как	2	2
102	как в	4	2
103	это не	6	2
104	нового времени	3	2
105	и все	4	2
106	но при	5	2
107	о которой	2	2
108	отличие от	2	2
109	в силу	2	2
110	а на	2	2
111	в пределах	2	2
112	при всей	2	2
113	одним из	5	2
114	а также	8	2
115	за пределами	3	2
116	в котором	8	2
117	представляют собой	3	2
118	не с	3	2
119	во всех	2	2
120	наряду с	2	2
121	как мы	3	2
122	другой стороны	2	2
123	она была	2	2
124	целый ряд	2	2
125	бы не	2	2
126	не было	2	2
127	этом отношении	4	2
128	мы не	4	2
129	в мире	8	2
130	можно было	2	2
131	или иначе	2	2
132	в своих	2	2
133	и на	3	2
134	ли не	2	2
135	в результате	3	2
136	что касается	5	2
137	он и	2	2
138	исходя из	2	2
139	что мы	2	2
140	здесь не	2	2
141	всего лишь	5	2
142	этот раз	2	2
143	в области	3	2
