N	2gram	Tiupa_Narr_1	Marksizm
1	может быть	25	28
2	и в	19	19
3	как бы	4	19
4	и не	20	19
5	не может	10	18
6	точки зрения	10	17
7	то же	4	16
8	и его	5	16
9	языка и	2	15
10	как мы	3	15
11	в этом	17	15
12	в сущности	3	14
13	не только	32	13
14	с точки	2	13
15	связи с	4	13
16	высказывания и	3	11
17	в нем	4	11
18	не в	14	10
19	в пределах	2	10
20	но и	23	10
21	том что	14	10
22	так и	9	10
23	и т.п	8	10
24	для него	2	9
25	при этом	9	9
26	в основе	5	9
27	как и	7	9
28	прямой речи	2	9
29	самом деле	2	9
30	а не	12	9
31	отнюдь не	5	8
32	же время	4	8
33	не является	8	8
34	по отношению	7	8
35	в то	3	8
36	с его	6	8
37	отношению к	6	8
38	только в	4	8
39	никогда не	3	7
40	в связи	2	7
41	высказывания в	6	7
42	в том	18	7
43	его в	2	7
44	но в	6	7
45	прежде всего	4	7
46	одна из	3	7
47	и для	2	7
48	в таком	2	7
49	к тому	7	6
50	ни в	3	6
51	и как	5	6
52	в свою	3	6
53	ни было	3	6
54	и все	2	6
55	между тем	3	6
56	хотя бы	4	6
57	свою очередь	3	5
58	то ни	3	5
59	или иной	5	5
60	к нему	5	5
61	в форме	5	5
62	так же	2	5
63	и на	3	5
64	к другому	2	5
65	совершенно не	2	5
66	в его	9	5
67	этого слова	2	5
68	все же	7	5
69	в той	6	5
70	в данном	5	5
71	тем более	2	5
72	должна быть	2	4
73	это не	2	4
74	той или	4	4
75	все те	4	4
76	то что	11	4
77	и тем	4	4
78	бы то	3	4
79	сказать что	4	4
80	как раз	2	4
81	что он	6	4
82	было бы	4	4
83	речевой акт	2	4
84	и ее	2	4
85	в себе	8	4
86	и т.д	7	4
87	ничего не	2	4
88	не существует	3	3
89	перед нами	4	3
90	в какой	2	3
91	столь же	3	3
92	с другой	8	3
93	в двух	2	3
94	да и	4	3
95	в этой	5	3
96	одной стороны	7	3
97	в ней	3	3
98	а в	11	3
99	с одной	7	3
100	все эти	2	3
101	не имеет	2	3
102	от одного	2	3
103	а иногда	2	3
104	не было	2	3
105	о том	6	3
106	оно может	2	3
107	таком случае	2	3
108	не как	2	3
109	по себе	5	3
110	в ее	3	3
111	в качестве	21	3
112	еще не	7	3
113	одной из	4	3
114	он не	3	3
115	и до	2	3
116	не есть	3	3
117	не будет	3	3
118	в отличие	5	3
119	могут быть	3	3
120	отличие от	5	3
121	уже в	3	2
122	независимо от	2	2
123	что в	3	2
124	что это	3	2
125	точку зрения	4	2
126	иное как	2	2
127	в собственном	2	2
128	тому же	5	2
129	что они	3	2
130	более или	2	2
131	о чем	2	2
132	значительной степени	2	2
133	одним из	2	2
134	и самого	3	2
135	жизни и	3	2
136	в своем	2	2
137	в особенности	4	2
138	отношения к	2	2
139	именно в	6	2
140	они не	2	2
141	и даже	3	2
142	и с	4	2
143	но как	2	2
144	которых и	2	2
145	все то	2	2
146	того или	2	2
147	высказываний как	2	2
148	то есть	19	2
149	у него	4	2
150	или иного	2	2
151	не с	3	2
152	различие между	2	2
153	но не	5	2
154	подход к	2	2
155	имеют место	2	2
156	и потому	2	2
157	себя в	5	2
158	или менее	2	2
159	приводит к	2	2
160	не на	2	2
161	бы не	2	2
162	а с	3	2
163	сводится к	3	2
164	в значительной	2	2
165	что не	4	2
166	и он	3	2
167	между ними	2	2
168	без исключения	2	2
169	или в	2	2
170	тем что	3	2
171	на протяжении	6	2
172	далеко не	5	2
173	бытия в	3	2
