N	2gram	Vygotskiy__1	Sotsiolo
1	все это	6	7
2	в том	24	5
3	в этом	17	5
4	не в	4	3
5	в его	14	3
6	и в	23	3
7	не только	16	3
8	или даже	2	2
9	нашей науки	2	2
10	по отношению	7	2
11	было бы	4	2
12	только в	6	2
13	в конце	2	2
14	по существу	4	2
15	и мы	3	2
16	таким образом	26	2
17	том что	21	2
18	то же	8	2
19	отношению к	7	2
20	то что	17	2
21	главным образом	2	2
22	тем более	5	2
23	может быть	14	2
24	за пределы	2	2
25	в результате	4	2
26	в частности	2	2
27	и что	5	2
28	но и	14	2
29	в смысле	2	2
30	как бы	11	2
31	что в	14	2
