N	3gram	Tiupa_Vved_1	DiskursI
1	в том что	3	13
2	с одной стороны	5	9
3	по отношению к	7	9
4	о том что	4	5
5	в отличие от	2	4
6	то же время	3	4
7	к тому же	4	4
8	но при этом	2	3
9	той или иной	2	3
10	в свою очередь	4	3
11	не может быть	3	3
12	в то же	4	3
13	а с другой	2	3
14	пока еще не	3	3
15	свидетель и судия	2	2
16	в данном случае	6	2
17	состоит в том	2	2
18	действующее лицо события	2	2
19	в том чтобы	2	2
20	в частности в	2	2
21	мы имеем дело	3	2
22	едва ли не	2	2
23	в соответствии с	6	2
24	не сводится к	4	2
25	более или менее	2	2
26	не только в	2	2
27	подобно тому как	2	2
28	главное действующее лицо	2	2
29	событие самого рассказывания	2	2
30	лицо события свидетель	2	2
31	по своей природе	2	2
32	события свидетель и	2	2
