N	2gram	Ircho_Kome_2	Tvorches
1	и в	26	21
2	как бы	2	17
3	в то	6	15
4	в его	4	13
5	то же	3	13
6	времени в	2	13
7	что в	9	12
8	как и	4	12
9	же время	3	12
10	с его	5	11
11	том что	9	11
12	все это	3	10
13	как в	3	8
14	он не	2	8
15	то что	6	8
16	у него	4	7
17	в том	11	7
18	не только	7	7
19	и не	14	7
20	и на	7	7
21	но в	3	7
22	что он	5	6
23	и все	2	6
24	не менее	4	6
25	в котором	3	6
26	человека в	3	6
27	а в	3	6
28	и его	12	6
29	в этом	10	6
30	о том	6	6
31	отнюдь не	2	5
32	вовсе не	2	5
33	может быть	11	5
34	в этой	3	5
35	все же	4	5
36	таким образом	6	5
37	хотя бы	2	5
38	потому что	6	5
39	как будто	4	5
40	только в	4	5
41	в своем	6	4
42	прежде всего	4	4
43	в мире	2	4
44	в целом	4	4
45	одной из	4	4
46	одним из	2	4
47	один из	5	4
48	в своей	3	4
49	не может	3	4
50	это не	2	4
51	и от	4	4
52	место в	4	3
53	уже в	4	3
54	и другие	2	3
55	с другой	2	3
56	в каждом	3	3
57	представление о	2	3
58	с самого	2	3
59	но не	3	3
60	в самом	4	3
61	той же	3	3
62	но если	3	3
63	даже в	2	3
64	в нем	6	3
65	и т	2	3
66	жизни и	3	3
67	не по	4	3
68	но и	10	3
69	в их	3	3
70	в которой	5	3
71	и с	5	3
72	хотя и	4	3
73	на протяжении	10	3
74	так как	4	3
75	в принципе	2	2
76	в частности	4	2
77	однако в	2	2
78	в этих	4	2
79	в качестве	5	2
80	в лице	2	2
81	к этому	5	2
82	что и	7	2
83	с которым	2	2
84	в в	4	2
85	надо было	3	2
86	что его	3	2
87	а затем	5	2
88	об этом	2	2
89	так что	5	2
90	не в	2	2
91	одна из	2	2
92	того же	3	2
93	тот же	2	2
94	из них	7	2
95	к тому	12	2
96	в одной	2	2
97	в ней	3	2
98	если в	2	2
99	в духе	2	2
100	еще в	4	2
101	вместе с	9	2
102	так и	12	2
103	вслед за	2	2
104	в отличие	2	2
105	что для	4	2
106	еще более	2	2
107	в двух	6	2
108	мы находим	2	2
109	что она	2	2
110	и у	2	2
111	за то	4	2
112	для этой	2	2
113	отличие от	2	2
114	или в	3	2
115	свою вину	2	2
116	в любви	2	2
117	больше чем	5	2
118	в первом	2	2
119	это время	3	2
120	т п	2	2
121	в один	2	2
122	выступает против	2	2
123	в виду	2	2
124	мира в	4	2
