N	3gram	Losev_Prob_3	Formalny
1	в связи с	7	10
2	не может быть	5	10
3	с точки зрения	2	7
4	и в этом	6	5
5	в то же	4	5
6	и т д	13	5
7	во всяком случае	6	5
8	того или иного	3	4
9	как мы видели	2	4
10	она ни была	2	3
11	ни о каком	2	3
12	в том смысле	3	3
13	сам по себе	6	3
14	с другой стороны	5	3
15	как раз и	4	3
16	бы она ни	2	3
17	может быть и	3	3
18	на самом деле	2	3
19	но и в	2	3
20	в этом понятии	2	2
21	сами по себе	6	2
22	в отличие от	2	2
23	ни в чем	2	2
24	на первый план	2	2
25	даже и не	4	2
26	том смысле что	3	2
27	в конце концов	3	2
28	в том что	9	2
29	мы говорим о	2	2
30	по себе а	3	2
