N	2gram	Bakhtin_Fr_3	Problemy
1	и не	13	31
2	и в	40	29
3	в его	13	24
4	может быть	9	24
5	а не	5	22
6	в этом	15	22
7	как бы	3	19
8	в нем	5	19
9	точки зрения	2	19
10	для него	5	18
11	не только	13	15
12	то что	5	15
13	но и	11	14
14	и его	17	14
15	то же	7	14
16	рядом с	2	14
17	как и	11	12
18	не может	3	12
19	таким образом	10	12
20	в одном	7	10
21	в самом	6	10
22	в то	6	10
23	только в	3	10
24	там где	3	10
25	с его	3	9
26	это не	2	9
27	все же	2	9
28	в романе	15	9
29	но не	2	9
30	же время	6	9
31	о нем	3	9
32	все эти	8	9
33	если бы	3	9
34	в своем	7	8
35	до конца	6	8
36	что он	2	8
37	что в	12	8
38	отношению к	2	8
39	в своей	6	8
40	по отношению	3	8
41	потому что	2	8
42	в том	8	8
43	прежде всего	16	7
44	вовсе не	12	7
45	том что	4	7
46	так и	3	7
47	в форме	2	7
48	и как	3	7
49	а в	3	7
50	и на	8	7
51	в себе	3	7
52	но в	8	7
53	все это	4	6
54	в конце	3	6
55	выражение в	2	6
56	о мире	2	6
57	в целом	2	6
58	к нему	2	6
59	одним из	2	6
60	как в	3	6
61	как раз	5	6
62	самом деле	3	6
63	в мире	4	6
64	говорит он	2	6
65	и потому	4	6
66	так как	4	6
67	и др	7	5
68	именно в	2	5
69	было бы	4	5
70	но все	3	5
71	сочетается с	2	5
72	еще не	3	5
73	это и	2	5
74	в сущности	9	5
75	и о	4	5
76	у него	8	5
77	он не	9	5
78	той же	8	5
79	на самом	3	5
80	между тем	3	5
81	он и	7	5
82	и это	2	5
83	в плане	2	5
84	поэтому и	3	4
85	все то	2	4
86	что было	2	4
87	в литературе	5	4
88	что и	3	4
89	но это	3	4
90	и с	8	4
91	и следовательно	3	4
92	даже в	4	4
93	в свете	3	4
94	и для	5	4
95	не было	5	4
96	тем что	3	4
97	как мы	10	4
98	они не	3	4
99	и наконец	3	4
100	их в	3	4
101	в основе	5	4
102	в этой	3	4
103	так сказать	5	4
104	материал и	2	3
105	уже в	2	3
106	в них	9	3
107	с другой	2	3
108	нового времени	2	3
109	романа в	2	3
110	такой образ	2	3
111	ни в	4	3
112	одна из	3	3
113	все что	2	3
114	кроме того	3	3
115	но именно	3	3
116	и понимания	2	3
117	в духе	7	3
118	и до	8	3
119	в их	4	3
120	этом отношении	2	3
121	например в	2	3
122	и у	2	3
123	и здесь	4	3
124	в своих	5	3
125	сказать что	3	3
126	он в	2	3
127	этот мир	2	3
128	но как	2	3
129	далеко не	2	3
130	и самое	3	3
131	всех этих	3	2
132	связи с	6	2
133	представляется нам	2	2
134	поэтому в	2	2
135	хотя бы	2	2
136	и во	4	2
137	и от	3	2
138	его произведениях	2	2
139	те же	5	2
140	с начала	4	2
141	для понимания	3	2
142	в условиях	2	2
143	его к	2	2
144	и ее	2	2
145	и к	3	2
146	жизни и	4	2
147	его творчество	2	2
148	следовательно и	2	2
149	мы остановимся	2	2
150	мы видим	5	2
151	в обычном	2	2
152	при этом	3	2
153	есть и	2	2
154	и перед	2	2
155	и сам	2	2
156	конечно не	2	2
157	никак не	3	2
158	до сих	4	2
159	ни одной	2	2
160	в котором	2	2
161	один из	4	2
162	какой бы	2	2
163	в один	2	2
164	на его	2	2
165	начала и	5	2
166	отношение к	8	2
167	в первой	2	2
168	сих пор	4	2
169	данном случае	2	2
170	мы уже	13	2
171	во всей	3	2
172	и даже	4	2
173	или же	2	2
174	слово в	3	2
175	в той	6	2
176	здесь мы	2	2
177	весь этот	3	2
178	между ними	3	2
179	можно было	3	2
180	в данном	4	2
181	приводит его	2	2
182	в ней	4	2
183	одно из	3	2
184	но он	2	2
185	и есть	3	2
186	в истории	4	2
187	во все	3	2
188	со всею	3	2
189	в которой	2	2
190	же и	3	2
191	с этим	2	2
192	по преимуществу	2	2
