N	2gram	Voloshinov_1	Dialekti
1	и не	16	30
2	это –	9	23
3	может быть	13	20
4	и в	15	19
5	не только	5	19
6	по себе	2	18
7	а не	2	16
8	в себе	4	15
9	то что	10	14
10	что она	2	14
11	и даже	2	14
12	в том	4	14
13	как бы	11	14
14	так как	9	14
15	потому что	4	14
16	вовсе не	2	13
17	но и	4	12
18	то же	7	12
19	точки зрения	13	12
20	и все	4	12
21	что это	3	10
22	ни в	6	10
23	как и	6	10
24	в нем	4	10
25	так и	10	10
26	том что	5	10
27	это не	2	10
28	сказать что	6	10
29	никогда не	7	9
30	– не	7	9
31	не может	13	9
32	– в	13	8
33	прежде всего	11	8
34	она не	2	8
35	мы уже	5	8
36	с точки	10	8
37	не в	4	8
38	в этом	13	8
39	в своей	9	8
40	в душе	13	7
41	но это	2	7
42	и к	7	7
43	совершенно не	2	7
44	что в	6	7
45	должно быть	2	7
46	и то	2	7
47	я не	3	6
48	что он	8	6
49	отнюдь не	2	6
50	в то	6	6
51	но не	5	6
52	есть и	2	6
53	конечно не	3	6
54	он –	2	6
55	того что	2	6
56	и может	4	6
57	– это	15	6
58	жизни и	5	6
59	чтобы не	2	6
60	сознания и	5	5
61	же время	5	5
62	можно сказать	4	5
63	и пр	9	5
64	в самом	6	5
65	и потому	8	5
66	что и	2	5
67	как раз	2	5
68	и что	3	5
69	и его	15	5
70	только в	6	5
71	и с	7	5
72	или иное	2	4
73	и есть	2	4
74	в своем	2	4
75	в одном	3	4
76	не могут	3	4
77	в ее	4	4
78	все же	5	4
79	не нуждается	2	4
80	при этом	7	4
81	еще не	7	4
82	к нему	7	4
83	за пределы	2	4
84	он не	4	4
85	хотя бы	7	4
86	только то	3	4
87	быть и	2	4
88	от того	3	4
89	все это	5	4
90	и только	4	4
91	таким образом	21	4
92	что оно	2	4
93	и вот	6	4
94	самом деле	7	4
95	же –	2	4
96	и по	5	4
97	то или	2	4
98	а в	6	4
99	в таком	3	4
100	в одной	2	4
101	одно из	3	4
102	могут быть	6	4
103	в каком	3	4
104	с ним	12	4
105	сам по	2	3
106	не менее	3	3
107	всех этих	5	3
108	все время	4	3
109	в этих	2	3
110	об этом	4	3
111	как мы	10	3
112	уже не	5	3
113	– и	5	3
114	в этой	5	3
115	сейчас же	2	3
116	было бы	6	3
117	с этим	6	3
118	не было	4	3
119	это как	3	3
120	должны быть	3	3
121	что такое	3	3
122	в данном	3	3
123	уже знаем	3	3
124	нуждается в	2	3
125	они не	2	3
126	это только	2	3
127	будто бы	2	3
128	его в	8	3
129	таком случае	2	3
130	или как	3	3
131	в чем	4	3
132	ничего не	2	3
133	все его	2	3
134	что же	4	2
135	самого начала	5	2
136	в узком	2	2
137	в зависимости	2	2
138	наука и	2	2
139	в состоянии	2	2
140	человека и	6	2
141	на самом	2	2
142	и образы	3	2
143	именно в	3	2
144	но мы	2	2
145	если мы	5	2
146	к тому	4	2
147	тем не	2	2
148	с самого	7	2
149	но все	2	2
150	зависимости от	2	2
151	в истории	3	2
152	ведь мы	2	2
153	до сих	3	2
154	и прежде	5	2
155	и часто	2	2
156	миф и	2	2
157	в искусстве	3	2
158	в ней	5	2
159	всяком случае	3	2
160	нет никакого	2	2
161	сих пор	3	2
162	себя в	2	2
163	на все	2	2
164	во всех	8	2
165	на него	4	2
166	ее в	2	2
167	данном случае	3	2
168	тому что	3	2
169	с ее	3	2
170	– как	2	2
171	как в	3	2
172	жизни –	3	2
173	а потому	2	2
174	нами выше	2	2
175	и она	2	2
176	оно –	3	2
177	– все	4	2
178	бы и	2	2
179	с ними	4	2
180	в своих	4	2
181	их в	2	2
182	и при	3	2
183	между тем	2	2
184	реальности и	2	2
185	во время	5	2
186	что мы	2	2
187	мы должны	7	2
188	во всяком	4	2
189	явлений и	2	2
190	все эти	9	2
191	ни на	2	2
192	в области	3	2
193	но в	9	2
194	я и	6	2
195	– к	3	2
196	в жизни	5	2
197	вместе с	4	2
198	на этом	5	2
