N	2gram	Voloshinov_1	RusskieA
1	и в	13	36
2	не только	6	22
3	что в	3	19
4	том что	2	19
5	в том	2	17
6	но и	3	16
7	так как	3	15
8	в этом	2	12
9	в этот	2	10
10	как и	3	10
11	а в	2	9
12	может быть	8	8
13	что они	2	7
14	так и	3	7
15	между тем	2	7
16	и не	8	6
17	при этом	2	6
18	в них	2	6
19	таким образом	6	6
20	мы не	4	6
21	все это	4	6
22	не имеет	2	6
23	то что	6	6
24	все же	5	5
25	как бы	6	5
26	в течение	2	5
27	с ними	2	5
28	как в	2	5
29	в тех	2	4
30	к тому	2	4
31	в г	2	4
32	еще в	2	4
33	и др	2	4
34	и их	7	4
35	в их	3	4
36	не может	8	4
37	в связи	2	4
38	входит в	2	4
39	тем что	2	4
40	г в	3	4
41	только в	6	4
42	не менее	2	3
43	связанные с	2	3
44	в одном	3	3
45	думать что	2	3
46	и к	2	3
47	несмотря на	2	3
48	в целях	2	3
49	а также	2	3
50	своего рода	2	3
51	то же	4	3
52	с точки	5	3
53	так же	2	3
54	точки зрения	7	3
55	в области	2	3
56	могут быть	2	2
57	с этим	3	2
58	в каждом	4	2
59	в нем	2	2
60	не что	2	2
61	мы видим	2	2
62	имеет место	2	2
63	в ней	2	2
64	в его	7	2
65	подойти к	2	2
66	ни одно	2	2
67	в целом	2	2
68	с г	2	2
69	не на	2	2
70	все эти	2	2
71	а не	2	2
72	и пр	7	2
73	и для	3	2
74	в своих	2	2
75	мы можем	4	2
76	что иное	2	2
77	но в	4	2
78	ничего общего	3	2
79	мы должны	6	2
80	там где	2	2
81	иное как	2	2
