N	2gram	Voloshinov_1	Psycholo
1	то что	8	37
2	и в	19	30
3	в том	6	27
4	что в	4	24
5	том что	3	21
6	для того	4	20
7	таким образом	17	20
8	того чтобы	5	20
9	как бы	15	19
10	что он	2	17
11	если мы	11	16
12	не только	8	16
13	в самом	10	14
14	в этом	16	14
15	так же	7	13
16	как раз	2	13
17	в сущности	3	12
18	если бы	2	11
19	может быть	26	11
20	о том	2	10
21	никогда не	2	9
22	с другой	5	9
23	не может	24	9
24	сказать что	4	9
25	так как	2	9
26	тому что	2	8
27	к тому	2	8
28	не в	5	8
29	а не	7	8
30	при этом	8	8
31	того что	3	8
32	самом деле	10	8
33	могут быть	2	8
34	и это	3	8
35	по себе	4	7
36	в нем	10	7
37	и как	3	7
38	зависимости от	2	7
39	мы можем	2	7
40	все же	8	7
41	то же	7	7
42	точки зрения	34	7
43	в основе	2	7
44	ясно что	5	6
45	в своем	2	6
46	именно в	5	6
47	как и	12	6
48	совершенно не	3	6
49	и для	11	6
50	но и	8	6
51	что все	2	6
52	и не	26	6
53	жизни и	2	6
54	и его	19	6
55	или в	2	6
56	и здесь	6	6
57	тем что	2	6
58	мы уже	2	6
59	и есть	3	5
60	как мы	13	5
61	и потому	5	5
62	еще не	4	5
63	до сих	8	5
64	было бы	4	5
65	сих пор	8	5
66	другой стороны	6	5
67	сводится к	3	5
68	в двух	2	5
69	именно на	2	5
70	рядом с	5	5
71	в своих	2	5
72	в себе	2	5
73	но в	7	5
74	только в	9	5
75	же самое	3	5
76	бы в	2	5
77	в результате	9	4
78	в частности	2	4
79	от него	2	4
80	и все	5	4
81	этот вопрос	5	4
82	прежде всего	13	4
83	у нас	2	4
84	и к	3	4
85	в своей	3	4
86	от того	4	4
87	в ней	4	4
88	в его	6	4
89	не есть	3	4
90	только на	4	4
91	а в	4	4
92	там где	2	4
93	из которых	2	4
94	мы говорили	3	4
95	как она	2	4
96	в конце	5	4
97	в виду	2	4
98	не существует	3	3
99	не могут	3	3
100	первый план	2	3
101	хотя бы	5	3
102	формы и	3	3
103	не как	2	3
104	из этих	2	3
105	к этому	5	3
106	вовсе не	5	3
107	вопрос о	4	3
108	самого начала	4	3
109	с самого	4	3
110	одна из	2	3
111	в свою	2	3
112	для него	9	3
113	тот же	4	3
114	имеет место	2	3
115	он не	3	3
116	и между	4	3
117	в ее	7	3
118	что и	2	3
119	ни в	2	3
120	так и	11	3
121	как в	4	3
122	и только	2	3
123	этом отношении	3	3
124	на этот	3	3
125	в таком	2	3
126	целый ряд	3	3
127	той же	2	3
128	мы не	6	3
129	можно было	2	3
130	человека в	2	3
131	и на	4	3
132	в каком	3	3
133	в данном	4	3
134	в другом	2	3
135	мы должны	3	3
136	в которой	3	3
137	он является	3	2
138	с этой	2	2
139	это делает	2	2
140	в отношении	4	2
141	же как	2	2
142	связи с	11	2
143	понятно что	3	2
144	между собой	2	2
145	не является	4	2
146	в одной	2	2
147	с этим	4	2
148	в каждом	7	2
149	к внешнему	2	2
150	этом смысле	2	2
151	а как	3	2
152	или иной	3	2
153	с помощью	6	2
154	можно сказать	3	2
155	на первый	2	2
156	мы знаем	5	2
157	этом случае	3	2
158	до конца	5	2
159	для нашей	2	2
160	в романе	2	2
161	и того	6	2
162	но все	3	2
163	и при	3	2
164	нам придется	2	2
165	того же	6	2
166	во внешнем	2	2
167	должна быть	2	2
168	не дает	3	2
169	одного и	5	2
170	деле если	2	2
171	и та	2	2
172	к другому	3	2
173	как вещь	2	2
174	по преимуществу	5	2
175	и эта	4	2
176	и следовательно	3	2
177	в качестве	2	2
178	мог бы	2	2
179	в котором	3	2
180	пор пока	2	2
181	тех пор	2	2
182	себе и	2	2
183	из них	3	2
184	во всех	7	2
185	и той	2	2
186	быть и	3	2
187	до тех	2	2
188	все это	3	2
189	по отношению	3	2
190	в отличие	5	2
191	это и	3	2
192	одной и	2	2
193	с точки	20	2
194	и даже	2	2
195	и он	2	2
196	между ними	4	2
197	должно быть	2	2
198	к этим	3	2
199	отличие от	5	2
200	не найдем	2	2
201	ничего не	6	2
202	от одного	3	2
203	и с	2	2
204	говорит он	2	2
205	является в	3	2
206	в нашем	2	2
207	в то	3	2
208	ту же	2	2
209	не знает	2	2
210	как он	2	2
211	все эти	7	2
212	из этого	2	2
213	конце концов	3	2
214	нет ни	2	2
215	на самом	3	2
