N	2gram	Tiupa_Vved_1	Myshleni
1	и в	13	25
2	в том	10	23
3	том что	7	20
4	что в	3	17
5	таким образом	4	17
6	в основе	3	16
7	как и	11	15
8	то что	6	15
9	в его	4	15
10	в этом	21	14
11	может быть	18	13
12	в целом	3	13
13	между собой	2	13
14	в качестве	8	12
15	по своему	2	11
16	перед нами	6	10
17	как бы	4	10
18	и не	12	10
19	того что	6	10
20	было бы	4	10
21	что и	2	10
22	только в	6	10
23	как в	4	9
24	мы не	4	9
25	не является	3	8
26	тем что	2	8
27	как мы	3	8
28	что мы	2	7
29	по себе	2	7
30	по своей	3	7
31	мы можем	2	7
32	в области	3	7
33	не менее	4	6
34	с другой	5	6
35	не в	6	6
36	высшей степени	2	6
37	один из	3	6
38	мы видели	2	6
39	не может	7	6
40	и на	3	6
41	потому что	5	6
42	в высшей	2	6
43	в силу	2	6
44	представляет собой	15	6
45	но не	5	6
46	не только	20	6
47	все же	6	6
48	в отличие	2	6
49	можно было	2	6
50	отличие от	2	6
51	так и	8	5
52	тем не	3	5
53	но это	3	5
54	для него	3	5
55	одной стороны	5	5
56	при этом	26	5
57	одним из	5	5
58	с одной	5	5
59	и по	3	5
60	если бы	7	5
61	и к	2	5
62	о том	5	5
63	могут быть	4	5
64	и т.д	5	5
65	в частности	13	4
66	никогда не	4	4
67	в своем	5	4
68	в какой	4	4
69	из этих	3	4
70	прежде всего	7	4
71	к тому	6	4
72	отнюдь не	7	4
73	но и	19	4
74	не столько	4	4
75	то и	2	4
76	а в	6	4
77	в то	4	4
78	с ним	3	4
79	которая не	2	4
80	мы имеем	5	4
81	и все	4	4
82	и того	2	4
83	еще не	7	4
84	он не	3	4
85	приводит к	2	4
86	могло бы	3	4
87	но на	2	3
88	в свою	4	3
89	как оно	2	3
90	когда в	2	3
91	в самом	2	3
92	вслед за	2	3
93	имеет место	4	3
94	не можем	2	3
95	в котором	8	3
96	если в	2	3
97	который в	2	3
98	другой стороны	2	3
99	по отношению	7	3
100	этом отношении	4	3
101	в результате	3	3
102	их в	2	3
103	как он	2	3
104	к которому	2	3
105	в случае	2	3
106	не как	2	3
107	в жизни	4	3
108	состоит в	10	3
109	к этому	2	3
110	или иной	3	3
111	наряду с	2	3
112	или менее	2	3
113	дело с	2	3
114	а с	2	3
115	слова в	2	2
116	место в	2	2
117	то же	5	2
118	в этих	3	2
119	все они	2	2
120	и от	2	2
121	одного из	3	2
122	для нас	2	2
123	мы и	2	2
124	свою очередь	4	2
125	имеем дело	3	2
126	такого рода	16	2
127	хотя и	7	2
128	той или	3	2
129	в нем	5	2
130	от этих	2	2
131	в своих	2	2
132	в начале	3	2
133	бы в	3	2
134	между двумя	3	2
135	но они	2	2
136	однако в	4	2
137	в них	2	2
138	об этом	4	2
139	одна из	4	2
140	о котором	2	2
141	все что	3	2
142	иначе говоря	6	2
143	а также	8	2
144	еще в	2	2
145	отношению к	7	2
146	в мире	8	2
147	этом и	2	2
148	в своей	5	2
149	внимание на	3	2
150	уже не	5	2
151	тем самым	5	2
152	в речи	2	2
153	едва ли	3	2
154	и для	3	2
155	и его	5	2
156	или иначе	2	2
157	тому как	2	2
158	в себе	5	2
