N	2gram	Losev_Dial_2	Hudozhes
1	в мире	2	23
2	и не	30	16
3	в том	14	15
4	и в	19	15
5	не только	19	15
6	в частности	2	13
7	может быть	20	13
8	при этом	4	12
9	а в	4	12
10	и его	5	12
11	но не	6	11
12	в этом	8	11
13	в себе	15	11
14	как бы	14	10
15	но и	12	10
16	так и	10	10
17	то же	12	10
18	а не	16	10
19	точки зрения	12	9
20	в душе	7	8
21	себя в	2	8
22	с другой	5	7
23	в искусстве	2	7
24	в то	6	7
25	но в	2	7
26	я и	2	7
27	что в	7	6
28	в ее	4	6
29	том что	10	6
30	не в	8	6
31	же время	5	6
32	не может	9	6
33	по своей	4	6
34	могут быть	4	5
35	можно сказать	5	5
36	ни в	10	5
37	только в	5	5
38	в самом	5	5
39	того что	6	5
40	той или	4	5
41	в нем	10	5
42	с ее	2	5
43	то что	14	5
44	или менее	2	5
45	другой стороны	4	5
46	в их	2	5
47	уже не	3	5
48	более или	2	5
49	в этих	3	4
50	личности в	8	4
51	прежде всего	8	4
52	к тому	2	4
53	а только	3	4
54	и как	10	4
55	в другом	4	4
56	еще не	4	4
57	например в	2	4
58	он не	4	4
59	в своей	8	4
60	во времени	4	4
61	и то	7	4
62	сказать что	10	4
63	между тем	2	4
64	мы имеем	3	4
65	говорить о	5	4
66	как это	7	4
67	личности и	6	3
68	не менее	3	3
69	в противоположность	2	3
70	это не	10	3
71	была бы	3	3
72	что он	6	3
73	и к	7	3
74	тем не	2	3
75	субъекта и	4	3
76	в акте	2	3
77	по своему	5	3
78	одно и	4	3
79	или иным	2	3
80	о чем	3	3
81	того или	2	3
82	как раз	5	3
83	человеческой жизни	2	3
84	к нему	4	3
85	не будет	2	3
86	не на	2	3
87	таким образом	4	3
88	как и	10	3
89	в той	3	3
90	и что	5	3
91	с точки	8	3
92	в таком	4	3
93	их в	2	3
94	потому что	14	3
95	но он	4	3
96	в данном	3	3
97	его в	3	3
98	в которой	2	3
99	в области	2	3
100	в виду	5	3
101	во мне	4	2
102	на этом	2	2
103	я не	6	2
104	сама по	7	2
105	и более	3	2
106	таком случае	3	2
107	так или	2	2
108	тому что	2	2
109	в своем	4	2
110	не как	2	2
111	в одном	4	2
112	человека и	2	2
113	вовсе не	13	2
114	по себе	18	2
115	только о	2	2
116	об этом	3	2
117	есть в	2	2
118	времени и	9	2
119	тем или	2	2
120	несмотря на	2	2
121	за пределы	4	2
122	во всех	2	2
123	и потому	5	2
124	жизнь личности	2	2
125	даже в	3	2
126	силу своей	2	2
127	дело не	2	2
128	как в	2	2
129	а именно	5	2
130	и прежде	2	2
131	собственно говоря	2	2
132	и притом	7	2
133	с одной	2	2
134	именно в	2	2
135	все эти	2	2
136	это и	3	2
137	времени в	2	2
138	и по	4	2
139	или в	2	2
140	так же	2	2
141	с ним	4	2
142	или иначе	2	2
143	в силу	5	2
144	одно из	4	2
145	но как	5	2
146	в этой	3	2
147	о том	5	2
148	и это	5	2
149	в чем	3	2
150	мире и	2	2
