N	2gram	Bakhtin_fo_2	Tragedij
1	и в	46	18
2	в романе	13	10
3	в этом	22	9
4	не только	11	8
5	и не	9	7
6	и на	7	7
7	и с	6	7
8	может быть	7	7
9	как бы	10	7
10	в образе	4	6
11	что он	3	6
12	и его	12	6
13	же время	4	6
14	у него	9	6
15	но в	10	6
16	все же	6	5
17	так и	7	5
18	это не	2	5
19	не может	2	5
20	то же	8	5
21	в дальнейшем	5	5
22	как и	8	5
23	в то	5	5
24	но и	9	4
25	то что	7	4
26	что в	5	4
27	все это	6	4
28	прежде всего	14	4
29	и все	6	4
30	в нем	5	4
31	и даже	3	4
32	так же	2	4
33	том что	4	4
34	но это	2	4
35	в этой	2	4
36	в себе	4	4
37	еще не	6	4
38	уже в	4	3
39	один из	2	3
40	о чем	3	3
41	отнюдь не	4	3
42	в своем	5	3
43	в конце	2	3
44	как в	4	3
45	все эти	5	3
46	жизнь и	3	3
47	и он	4	3
48	и как	3	3
49	в основном	8	3
50	должно быть	5	3
51	в его	8	3
52	для него	3	3
53	при этом	6	3
54	в мире	4	3
55	как это	2	3
56	с ним	4	3
57	то есть	10	3
58	из самых	2	2
59	и до	2	2
60	не был	2	2
61	что и	3	2
62	в частности	5	2
63	что все	2	2
64	ее к	2	2
65	этого романа	2	2
66	но эта	2	2
67	уже не	3	2
68	отношение к	3	2
69	к тому	3	2
70	о его	2	2
71	времени в	7	2
72	он был	2	2
73	в том	10	2
74	до конца	2	2
75	так что	4	2
76	не в	9	2
77	в данном	2	2
78	потому что	8	2
79	с тем	2	2
80	тем что	3	2
81	как у	3	2
82	в это	3	2
83	о том	4	2
84	его в	6	2
85	и это	2	2
86	и детей	2	2
87	не мог	2	2
88	он не	5	2
89	в одном	7	2
90	никогда не	6	2
91	одном из	2	2
