N	2gram	Bakhtin_Pr_1	EvropaiC
1	таким образом	12	32
2	в том	8	31
3	и в	29	24
4	том что	7	20
5	все эти	9	19
6	не может	12	18
7	то что	15	17
8	может быть	24	15
9	все же	9	15
10	точки зрения	19	13
11	в своем	8	12
12	до сих	2	12
13	сих пор	2	12
14	самом деле	6	12
15	в этом	22	12
16	все это	6	11
17	между тем	5	11
18	с этим	2	11
19	отношению к	8	10
20	как бы	19	10
21	по отношению	8	10
22	все что	3	10
23	так и	7	10
24	при этом	2	9
25	друг с	2	9
26	в результате	4	9
27	как и	12	9
28	что в	8	9
29	не в	7	8
30	в самом	10	8
31	так же	6	8
32	если бы	9	8
33	с точки	13	8
34	но и	14	7
35	и не	31	7
36	и что	2	7
37	что он	8	7
38	по существу	3	7
39	на самом	5	7
40	должна быть	5	6
41	с другой	3	6
42	так что	2	6
43	в этой	4	6
44	несмотря на	6	6
45	отличается от	3	6
46	как на	3	6
47	и на	7	6
48	так как	6	6
49	с ним	5	6
50	в сознании	2	6
51	еще не	5	6
52	что и	4	6
53	в мире	6	6
54	только в	10	6
55	именно в	5	5
56	и от	2	5
57	у него	5	5
58	в целом	6	5
59	другой стороны	3	5
60	как к	3	5
61	и с	4	5
62	потому что	8	5
63	его в	6	5
64	но в	7	5
65	и к	2	5
66	в то	10	5
67	в его	24	5
68	не только	15	5
69	и для	4	5
70	но все	5	5
71	в себе	7	5
72	как будто	3	5
73	далеко не	3	5
74	в которой	2	5
75	на вопрос	2	4
76	не могут	6	4
77	никогда не	3	4
78	в конце	6	4
79	ибо в	2	4
80	одним из	6	4
81	отношение к	2	4
82	в их	3	4
83	а потому	2	4
84	должно быть	4	4
85	всех этих	2	4
86	связи с	2	4
87	ни один	3	4
88	социальной жизни	2	4
89	мы должны	3	4
90	мы уже	2	4
91	он не	5	4
92	конце концов	5	4
93	не есть	2	4
94	то же	14	4
95	из которых	2	4
96	и у	3	4
97	хотя бы	2	4
98	а лишь	2	3
99	целом ряде	3	3
100	вопрос о	2	3
101	уже и	2	3
102	в нем	19	3
103	данном случае	2	3
104	от того	4	3
105	то ни	2	3
106	что оно	2	3
107	и наконец	4	3
108	а в	7	3
109	это не	9	3
110	в истории	2	3
111	и потому	6	3
112	бы в	3	3
113	прежде всего	7	3
114	в жизни	2	3
115	таким же	3	3
116	чем в	2	3
117	тот же	2	3
118	конечно не	2	3
119	на почве	3	3
120	даже в	4	3
121	в данном	2	3
122	и это	5	3
123	то они	2	3
124	же не	2	3
125	себя и	2	2
126	тому что	3	2
127	точку зрения	6	2
128	с этой	2	2
129	именно потому	2	2
130	вследствие этого	2	2
131	он все	2	2
132	как мы	4	2
133	все в	3	2
134	для него	18	2
135	же время	9	2
136	и сам	2	2
137	между отдельными	2	2
138	к нему	6	2
139	они могут	2	2
140	в ней	2	2
141	всяком случае	3	2
142	в котором	2	2
143	и уже	2	2
144	бы то	2	2
145	и до	3	2
146	что она	6	2
147	то и	2	2
148	те же	2	2
149	в самой	6	2
150	они не	4	2
151	ни было	2	2
152	в которых	2	2
153	одно из	2	2
154	но как	3	2
155	не было	4	2
156	все то	4	2
157	в один	2	2
158	этих черт	2	2
159	во всяком	5	2
160	в основе	4	2
161	в них	3	2
162	же что	5	2
163	вовсе не	7	2
164	со своими	2	2
165	так чтобы	4	2
166	одна из	3	2
167	но не	9	2
168	только то	3	2
169	она не	7	2
170	было бы	5	2
171	жизни и	2	2
172	на себе	2	2
173	в сущности	5	2
174	тем как	4	2
175	как не	8	2
176	него в	2	2
177	в процессе	4	2
178	на него	3	2
179	что же	4	2
180	из одного	4	2
181	но с	3	2
182	в себя	3	2
183	между ними	2	2
184	для самого	2	2
185	этот вопрос	2	2
186	и ее	2	2
187	не знает	3	2
188	если же	3	2
189	все его	3	2
