N	2gram	Bakhtin_Fr_3	VrazhdaK
1	в году	5	18
2	не только	13	9
3	в этом	15	8
4	и в	40	8
5	но и	11	7
6	что в	12	7
7	то что	5	7
8	и все	9	7
9	в котором	2	6
10	в нем	5	6
11	все же	2	6
12	и даже	4	6
13	в романе	15	6
14	как и	11	6
15	в начале	3	6
16	но в	8	6
17	и с	8	6
18	о нем	3	6
19	то же	7	5
20	не было	5	5
21	и не	13	5
22	у него	8	5
23	об этом	3	5
24	между тем	3	5
25	в то	6	5
26	же время	6	5
27	уже в	2	4
28	как бы	3	4
29	все это	4	4
30	это не	2	4
31	что он	2	4
32	в своих	5	4
33	может быть	9	4
34	при этом	3	4
35	в истории	4	4
36	о том	4	4
37	в ней	4	4
38	в виду	7	4
39	в этот	2	3
40	с его	3	3
41	связи с	6	3
42	в своем	7	3
43	и во	4	3
44	в связи	5	3
45	в конце	3	3
46	к этому	6	3
47	и у	2	3
48	он был	3	3
49	в том	8	3
50	раз в	2	3
51	и его	17	3
52	том что	4	3
53	и как	3	3
54	тем что	3	3
55	в его	13	3
56	далеко не	2	3
57	но он	2	3
58	в париже	4	3
59	и о	4	3
60	одним из	2	3
61	он не	9	3
62	и т.п	10	2
63	в эти	2	2
64	об их	2	2
65	в своей	6	2
66	и это	2	2
67	из них	4	2
68	не менее	2	2
69	вместе с	3	2
70	в них	9	2
71	как раз	5	2
72	так в	4	2
73	историю о	2	2
74	и далее	2	2
75	не может	3	2
76	а в	3	2
77	таким образом	10	2
78	начиная с	3	2
79	рядом с	2	2
80	это в	2	2
81	но это	3	2
82	в той	6	2
83	мы знаем	2	2
84	на основе	2	2
85	в этой	3	2
86	их в	3	2
87	но как	2	2
88	точки зрения	2	2
89	и ее	2	2
90	в себе	3	2
91	отношение к	8	2
92	для него	5	2
93	в нашей	2	2
94	еще не	3	2
95	во время	8	2
96	о чем	2	2
97	в мире	4	2
98	с нею	2	2
99	одна из	3	2
100	том же	2	2
101	в эту	4	2
102	а также	4	2
