N	2gram	Bakhtin_Pr_2	Komedia
1	и в	43	22
2	и не	29	21
3	т е	26	16
4	том что	2	13
5	в том	6	12
6	таким образом	5	12
7	так как	4	11
8	ни в	2	10
9	до сих	7	9
10	в самом	7	9
11	сих пор	7	9
12	если бы	3	8
13	в своем	4	8
14	что он	13	8
15	в его	10	8
16	что и	3	8
17	в этом	13	8
18	о том	5	8
19	его в	3	8
20	об этом	2	7
21	при этом	6	7
22	то же	8	7
23	а в	5	7
24	в конце	2	7
25	во время	4	6
26	тому же	3	6
27	того же	3	6
28	еще не	9	6
29	к тому	4	6
30	может быть	23	6
31	как раз	4	6
32	самом деле	5	6
33	и что	5	6
34	так что	5	6
35	и его	8	6
36	в то	7	6
37	не менее	3	5
38	что в	4	5
39	же время	5	5
40	прежде всего	10	5
41	то это	2	5
42	и сам	7	5
43	хотя и	5	5
44	не только	11	5
45	в своей	4	5
46	отношение к	2	5
47	из них	2	5
48	не хочет	3	5
49	все это	5	5
50	по отношению	5	5
51	он не	9	5
52	тем что	3	5
53	к нему	5	5
54	в которых	2	5
55	к себе	7	5
56	с ним	3	5
57	но в	10	5
58	но все	2	4
59	у него	6	4
60	между собой	2	4
61	с другой	4	4
62	вовсе не	5	4
63	и здесь	3	4
64	он был	3	4
65	все же	3	4
66	не в	11	4
67	до конца	4	4
68	здесь нет	3	4
69	и т	13	4
70	то что	7	4
71	когда он	3	4
72	но и	14	4
73	на него	3	4
74	т п	9	4
75	в отношении	3	4
76	а не	7	4
77	и для	3	4
78	так же	2	4
79	точки зрения	13	4
80	на себя	2	4
81	в себе	5	4
82	бы в	5	4
83	так и	3	4
84	хотя бы	2	4
85	и с	5	4
86	с его	4	3
87	никогда не	9	3
88	в них	4	3
89	в глаза	2	3
90	с этим	2	3
91	в нем	12	3
92	далеко не	4	3
93	на то	5	3
94	и к	3	3
95	тем не	2	3
96	и еще	2	3
97	как и	14	3
98	по своему	2	3
99	было бы	5	3
100	бы он	2	3
101	конечно не	2	3
102	на этот	4	3
103	как бы	22	3
104	и мысли	2	3
105	отношению к	5	3
106	в целом	2	3
107	приводит к	6	3
108	не может	18	3
109	что не	2	3
110	с точки	8	3
111	тем же	2	3
112	и даже	3	3
113	их в	4	3
114	он так	2	3
115	мы можем	2	3
116	во всяком	2	3
117	не знает	3	3
118	перед ним	2	3
119	как он	2	3
120	и этим	3	3
121	ничего не	3	3
122	уже в	2	2
123	ни было	2	2
124	себя и	3	2
125	и без	2	2
126	не как	6	2
127	как в	2	2
128	это не	3	2
129	и особенно	2	2
130	и все	6	2
131	в одном	12	2
132	человека и	2	2
133	но при	3	2
134	в образе	2	2
135	не могут	4	2
136	для понимания	2	2
137	стороны и	3	2
138	а как	4	2
139	если мы	2	2
140	без всякого	2	2
141	а затем	2	2
142	отличие от	4	2
143	по существу	3	2
144	из его	2	2
145	она не	3	2
146	то время	2	2
147	в пределах	16	2
148	тот же	3	2
149	совершенно не	4	2
150	в сущности	9	2
151	за пределы	3	2
152	в произведениях	3	2
153	он говорит	2	2
154	и о	2	2
155	которую он	2	2
156	конце концов	2	2
157	и он	5	2
158	между ними	4	2
159	в котором	6	2
160	если же	4	2
161	и со	3	2
162	я ведь	4	2
163	во всех	4	2
164	в их	3	2
165	как мы	10	2
166	другой стороны	3	2
167	целый ряд	2	2
168	бы не	2	2
169	отношения к	2	2
170	человека в	4	2
171	время как	2	2
172	мы не	4	2
173	да что	4	2
174	в таком	2	2
175	можно было	3	2
176	в своих	2	2
177	и на	10	2
178	в результате	4	2
179	между тем	3	2
180	он и	3	2
181	и ее	3	2
182	так я	3	2
183	в другом	7	2
184	и это	4	2
185	здесь не	6	2
186	в виду	3	2
