N	2gram	Savitsky_P_1	KulturaY
1	и т	3	39
2	потому что	3	25
3	и в	14	23
4	т е	3	22
5	не только	17	20
6	в том	9	19
7	в этом	10	18
8	и не	12	16
9	было бы	6	15
10	может быть	5	15
11	точки зрения	3	14
12	если бы	4	12
13	том что	4	11
14	в области	11	11
15	но в	9	11
16	в русском	2	10
17	что в	4	10
18	по себе	4	10
19	а не	2	10
20	то что	4	9
21	для того	3	9
22	хотя бы	8	9
23	не может	4	9
24	с другой	5	8
25	прежде всего	3	8
26	не в	5	8
27	в качестве	9	8
28	и пр	5	8
29	с точки	3	8
30	не менее	2	7
31	в силу	2	7
32	но и	6	7
33	и с	2	7
34	это не	3	6
35	да и	2	6
36	но не	3	6
37	то же	9	6
38	между тем	3	6
39	что мы	3	6
40	тот же	3	5
41	в его	2	5
42	и тем	2	5
43	все это	2	5
44	и вот	2	5
45	только в	7	5
46	отнюдь не	2	4
47	в них	2	4
48	но также	4	4
49	для нас	2	4
50	должно быть	2	4
51	в пределах	8	4
52	хотя и	3	4
53	как бы	4	4
54	в нем	3	4
55	со стороны	2	4
56	не было	2	4
57	и о	5	4
58	могут быть	3	4
59	говорить о	2	4
60	в то	7	4
61	главным образом	2	3
62	же время	7	3
63	а также	4	3
64	же в	4	3
65	в статье	2	3
66	никак не	2	3
67	в ней	6	3
68	в сфере	2	3
69	как раз	2	3
70	с этим	2	3
71	именно в	2	3
72	сводится к	3	3
73	того что	2	3
74	а в	4	3
75	и это	2	3
76	есть в	2	3
77	в отношении	10	2
78	с тем	3	2
79	и есть	2	2
80	в частности	2	2
81	и потому	4	2
82	так называемые	2	2
83	с одной	3	2
84	и если	4	2
85	между прочим	2	2
86	по сравнению	2	2
87	в своем	4	2
88	тем самым	3	2
89	с ними	3	2
90	в которых	5	2
91	мы должны	4	2
92	заключается в	3	2
93	отношения к	2	2
