N	2gram	Losev_Prob_2	Problemy
1	и в	35	46
2	то есть	39	40
3	и не	37	27
4	может быть	18	23
5	как бы	4	19
6	не может	13	19
7	в этом	17	16
8	не только	24	14
9	перед нами	2	12
10	но и	16	12
11	как и	5	12
12	как мы	5	12
13	и на	5	11
14	точки зрения	2	11
15	а не	10	11
16	не в	2	10
17	прежде всего	11	9
18	в том	12	9
19	в самом	5	9
20	и все	5	9
21	вовсе не	37	9
22	и к	3	9
23	в его	7	9
24	до сих	4	8
25	конечно не	2	8
26	сих пор	4	8
27	или в	2	8
28	и с	10	7
29	по себе	8	7
30	еще не	10	7
31	как раз	8	7
32	слово и	2	7
33	в себе	5	7
34	слова и	4	7
35	ни в	6	6
36	но это	6	6
37	есть в	4	6
38	хотя и	3	6
39	в него	2	6
40	о нем	2	6
41	слово в	2	6
42	но в	6	6
43	что он	4	6
44	то же	5	6
45	все это	4	6
46	только в	14	6
47	с самим	3	5
48	при этом	3	5
49	и сам	2	5
50	к нему	2	5
51	нам кажется	2	5
52	ведь и	2	5
53	в то	6	5
54	так как	7	5
55	о том	18	5
56	если же	3	5
57	во всех	2	5
58	если мы	9	5
59	том числе	2	4
60	уже в	3	4
61	что в	11	4
62	в этих	4	4
63	можно сказать	6	4
64	да и	10	4
65	кроме того	5	4
66	в виду	8	4
67	в их	3	4
68	таким образом	4	4
69	еще и	5	4
70	все эти	7	4
71	и наконец	3	4
72	должно быть	2	4
73	потому что	13	4
74	же и	2	4
75	и здесь	4	4
76	мы не	7	4
77	мы можем	6	4
78	не знает	3	4
79	раз и	5	4
80	том что	19	4
81	но не	4	4
82	совершенно не	2	4
83	он не	2	4
84	все же	8	4
85	то что	38	4
86	так и	7	4
87	уже не	8	4
88	самом деле	4	4
89	здесь не	2	4
90	в отношении	4	3
91	с другой	6	3
92	из этих	3	3
93	не могут	4	3
94	на то	6	3
95	мы и	6	3
96	в своем	4	3
97	более или	4	3
98	числе и	2	3
99	слова то	3	3
100	но если	4	3
101	себе и	2	3
102	то это	3	3
103	и для	6	3
104	и их	3	3
105	другой стороны	5	3
106	так же	5	3
107	и только	4	3
108	между этими	2	3
109	и даже	11	3
110	также и	12	3
111	имеем в	2	3
112	в конце	7	3
113	их в	4	3
114	бы в	3	3
115	но при	2	3
116	если бы	4	3
117	в условиях	2	3
118	и при	2	3
119	ведь это	2	3
120	и что	13	3
121	она не	3	3
122	но именно	4	3
123	было бы	8	3
124	мы уже	3	3
125	и о	4	3
126	никак не	11	3
127	что и	2	3
128	войти в	2	3
129	на него	2	3
130	или менее	4	3
131	что же	9	3
132	только на	9	3
133	еще более	2	3
134	в той	2	3
135	той же	2	3
136	отличается от	2	3
137	в слове	3	3
138	слова как	3	3
139	тем что	4	3
140	правда в	2	3
141	в этой	9	3
142	далеко не	4	3
143	и это	5	3
144	не менее	13	2
145	он сам	3	2
146	сама по	4	2
147	время и	2	2
148	только и	3	2
149	для этого	3	2
150	мысли и	2	2
151	вопрос о	3	2
152	или иной	5	2
153	к тому	3	2
154	оно является	2	2
155	для нас	9	2
156	без всякого	4	2
157	в одно	2	2
158	так что	11	2
159	и как	4	2
160	но все	2	2
161	том или	3	2
162	и должны	3	2
163	смысле слова	7	2
164	и само	2	2
165	как нам	2	2
166	мы здесь	3	2
167	ведь мы	2	2
168	в общем	4	2
169	и следовательно	4	2
170	той или	5	2
171	и является	3	2
172	себе что	2	2
173	и тем	4	2
174	на том	3	2
175	он тоже	2	2
176	значение в	4	2
177	языка и	5	2
178	то и	4	2
179	не было	3	2
180	лишь в	3	2
181	в системе	2	2
182	и по	3	2
183	а в	4	2
184	в результате	4	2
185	сказать что	24	2
186	именно как	4	2
187	языка в	3	2
188	о котором	3	2
189	представим себе	2	2
190	что мы	14	2
191	здесь только	3	2
192	которого оно	2	2
193	сознания и	2	2
194	и всякое	2	2
195	с этим	5	2
196	с нею	2	2
197	этом смысле	5	2
198	стороны и	4	2
199	о которых	3	2
200	у нас	18	2
201	одна из	3	2
202	все что	3	2
203	указывает на	5	2
204	не нужно	3	2
205	в корне	2	2
206	в заключение	2	2
207	об этом	2	2
208	но ведь	3	2
209	нет и	3	2
210	и времени	2	2
211	сами по	2	2
212	если оно	3	2
213	отношение между	2	2
214	вместе с	2	2
215	бы и	7	2
216	это вовсе	2	2
217	в языке	15	2
218	бы не	3	2
219	все равно	3	2
220	есть если	2	2
221	что такое	18	2
222	хотя бы	12	2
223	можно было	5	2
224	ничего не	10	2
225	в данном	10	2
226	во всяком	13	2
227	которые в	2	2
228	мы конечно	2	2
