N	3gram	Losev_Dial_2	Problema
1	тем не менее	2	18
2	и т д	15	10
3	то же самое	2	9
4	в данном случае	2	8
5	сам по себе	3	7
6	содержит в себе	3	7
7	в таком случае	3	6
8	вовсе не есть	2	6
9	о том что	4	5
10	не есть ни	6	5
11	в том что	6	5
12	в то же	3	4
13	т д и	2	4
14	сама по себе	7	4
15	в связи с	4	4
16	только то что	4	4
17	тем или другим	2	3
18	сами по себе	3	3
19	иметь в виду	2	3
20	более или менее	2	3
21	с точки зрения	8	3
22	ни в каком	3	3
23	в каком случае	2	3
24	до сих пор	2	3
25	можно сказать что	3	3
26	с другой стороны	4	3
27	может быть и	3	3
28	д и т	2	3
29	что в нем	2	3
30	во всяком случае	2	3
31	не потому что	6	2
32	по крайней мере	9	2
33	вовсе не обязательно	2	2
34	в самом деле	3	2
35	это вовсе не	2	2
36	что иное как	3	2
37	не говоря уже	2	2
38	есть не что	2	2
39	не что иное	3	2
40	не может быть	3	2
41	так или иначе	2	2
