N	2gram	Berdyaev_M_2	FransuaR
1	и в	46	56
2	в его	5	18
3	в этом	20	14
4	в том	3	13
5	так и	4	13
6	и его	5	12
7	он был	9	12
8	в этих	2	11
9	до конца	4	11
10	как бы	8	11
11	в них	3	11
12	то же	5	11
13	только в	3	9
14	в самом	5	9
15	но и	15	9
16	и не	18	9
17	том что	4	8
18	в сущности	2	8
19	не только	18	8
20	в нем	22	8
21	во всех	2	8
22	сих пор	3	8
23	до сих	3	8
24	и с	3	8
25	у него	22	7
26	и на	3	7
27	прежде всего	12	6
28	мы видим	2	6
29	в этой	7	6
30	той же	3	6
31	потому что	12	6
32	на его	2	6
33	точки зрения	2	6
34	связи с	2	6
35	и все	5	6
36	но в	10	6
37	с его	4	5
38	никогда не	18	5
39	в отношении	5	5
40	как и	13	5
41	есть и	3	5
42	он не	10	5
43	один из	5	5
44	что в	4	5
45	не было	11	5
46	в творчестве	3	5
47	они не	4	5
48	что все	5	4
49	не был	2	4
50	что это	6	4
51	в духе	5	4
52	в себе	10	4
53	они были	3	4
54	и к	7	4
55	в ней	11	4
56	и потому	7	4
57	и других	2	4
58	того чтобы	4	4
59	в основе	2	4
60	в своих	3	4
61	во всем	5	4
62	о том	3	4
63	по своей	3	4
64	так как	8	4
65	в которой	2	4
66	в своем	8	3
67	в образе	3	3
68	и здесь	6	3
69	так что	2	3
70	это была	2	3
71	может быть	21	3
72	не мог	3	3
73	что и	4	3
74	то что	5	3
75	уже не	4	3
76	не в	9	3
77	сказать что	3	3
78	между тем	2	3
79	но он	11	3
80	бы в	2	3
81	к которому	3	3
82	и глубже	2	2
83	если бы	3	2
84	в нашем	7	2
85	это не	5	2
86	уже в	2	2
87	и во	3	2
88	человека и	7	2
89	что он	7	2
90	бы и	5	2
91	интерес к	2	2
92	ни в	3	2
93	но это	8	2
94	совсем не	5	2
95	момент в	3	2
96	для него	18	2
97	в действительности	2	2
98	себе и	2	2
99	а в	2	2
100	в центре	2	2
101	и эта	2	2
102	по преимуществу	5	2
103	хотя и	2	2
104	в церкви	2	2
105	в своей	5	2
106	в мире	7	2
107	вместе с	2	2
108	ни одного	2	2
109	что она	5	2
110	так же	6	2
111	не может	15	2
112	как к	2	2
113	того как	3	2
114	у всех	2	2
115	а не	13	2
116	с собой	2	2
117	для того	5	2
118	к нему	2	2
119	и для	7	2
120	его в	3	2
121	возврата к	3	2
122	и те	2	2
123	людей и	3	2
124	также и	4	2
125	но с	2	2
126	мир и	2	2
127	что они	3	2
128	с ним	3	2
129	нет ни	2	2
