N	2gram	Tiupa_Vved_1	Stilisti
1	и в	13	42
2	как бы	4	27
3	не только	20	27
4	и т.п	9	24
5	прежде всего	7	22
6	и т.д	5	20
7	но и	19	15
8	то же	5	15
9	и не	12	14
10	может быть	18	12
11	не может	7	12
12	как и	11	11
13	ситуации и	3	10
14	что мы	2	10
15	отнюдь не	7	10
16	как мы	3	10
17	в этом	21	10
18	при этом	26	9
19	в то	4	9
20	то что	6	9
21	мы не	4	9
22	все же	6	8
23	в ней	4	8
24	таким образом	4	8
25	что же	3	8
26	тем самым	5	8
27	в себе	5	8
28	данной ситуации	2	7
29	никогда не	4	7
30	и от	2	7
31	же время	3	7
32	и тем	2	7
33	и на	3	7
34	потому что	5	7
35	было бы	4	7
36	а не	15	7
37	и его	5	7
38	мы можем	2	7
39	только в	6	7
40	или иной	3	6
41	не в	6	6
42	в свою	4	6
43	в нем	5	6
44	во всех	2	6
45	так и	8	6
46	в области	3	6
47	слова в	2	5
48	в нашем	6	5
49	не является	3	5
50	мы видели	2	5
51	те же	2	5
52	а в	6	5
53	и с	2	5
54	и наконец	2	5
55	в сознании	4	5
56	точек зрения	2	5
57	в его	4	5
58	в той	4	5
59	можно сказать	4	4
60	к тому	6	4
61	свою очередь	4	4
62	в качестве	8	4
63	в самом	2	4
64	той или	3	4
65	точка зрения	3	4
66	один из	3	4
67	того что	6	4
68	о том	5	4
69	бы в	3	4
70	но в	6	4
71	не существует	2	4
72	если бы	7	4
73	и к	2	4
74	с появлением	2	4
75	на него	2	4
76	а с	2	4
77	уже не	5	4
78	самом деле	3	4
79	в слове	3	4
80	можно было	2	4
81	то есть	8	4
82	так сказать	2	4
83	перед нами	6	3
84	это не	6	3
85	слова но	2	3
86	для нас	2	3
87	хотя и	7	3
88	в котором	8	3
89	представить себе	2	3
90	в целом	3	3
91	не к	4	3
92	жизни и	7	3
93	высказывания как	3	3
94	мертвых душ	4	3
95	лишь в	2	3
96	их в	2	3
97	в начале	3	3
98	вследствие этого	3	3
99	то он	2	3
100	и все	4	3
101	но при	5	3
102	об этом	4	3
103	том что	7	3
104	еще не	7	3
105	в данной	2	3
106	что и	2	3
107	на самом	4	3
108	что такое	18	3
109	и для	3	3
110	художественного высказывания	2	2
111	место в	2	2
112	зависит от	2	2
113	бы и	4	2
114	в частности	13	2
115	в какой	4	2
116	не всегда	2	2
117	в мире	8	2
118	в том	10	2
119	тому же	4	2
120	но это	3	2
121	времени и	7	2
122	для него	3	2
123	до конца	3	2
124	в пределах	2	2
125	не с	3	2
126	в этих	3	2
127	отношение к	2	2
128	о них	3	2
129	целый ряд	2	2
130	слов или	2	2
131	не было	2	2
132	этом отношении	4	2
133	и вследствие	2	2
134	в своих	2	2
135	также и	4	2
136	по своей	3	2
137	мы имеем	5	2
138	к которому	2	2
139	в жизни	4	2
140	в основе	3	2
141	первобытного человека	2	2
142	для них	3	2
143	однако в	4	2
144	между собой	2	2
145	к этому	2	2
146	а к	3	2
147	представляет собой	15	2
148	но не	5	2
149	по своему	2	2
150	а на	2	2
151	связано с	3	2
152	в своей	5	2
153	бытия в	2	2
154	как в	4	2
155	здесь не	2	2
156	бы не	2	2
157	ли не	2	2
158	должны были	2	2
159	с ним	3	2
160	между двумя	3	2
161	тем что	2	2
