N	2gram	Bakhtin_Fr_8	Komedia
1	и в	56	22
2	и не	9	21
3	том что	8	13
4	в том	13	12
5	таким образом	17	12
6	так как	4	11
7	ни в	2	10
8	потому что	6	10
9	до сих	8	9
10	в самом	9	9
11	вместе с	2	9
12	сих пор	8	9
13	если бы	2	8
14	в своем	3	8
15	что он	2	8
16	в его	18	8
17	что и	3	8
18	в этом	14	8
19	о том	4	8
20	его в	2	8
21	при этом	4	7
22	то же	11	7
23	а в	2	7
24	во время	5	6
25	к этому	2	6
26	еще не	10	6
27	для того	2	6
28	может быть	3	6
29	как раз	2	6
30	самом деле	2	6
31	того чтобы	4	6
32	так что	3	6
33	и его	12	6
34	в то	12	6
35	связи с	6	5
36	что в	5	5
37	же время	10	5
38	прежде всего	6	5
39	и сам	2	5
40	хотя и	2	5
41	не только	8	5
42	в своей	2	5
43	из них	2	5
44	все это	8	5
45	он не	5	5
46	к нему	2	5
47	в которых	2	5
48	с ним	2	5
49	но в	6	5
50	с тем	2	4
51	у него	7	4
52	с другой	2	4
53	вовсе не	6	4
54	и здесь	3	4
55	он был	12	4
56	все же	2	4
57	не в	3	4
58	до конца	11	4
59	несмотря на	2	4
60	в ней	4	4
61	здесь нет	3	4
62	то что	3	4
63	когда он	2	4
64	но и	9	4
65	что она	2	4
66	в отношении	5	4
67	с помощью	3	4
68	а не	2	4
69	и для	2	4
70	так же	2	4
71	точки зрения	6	4
72	в себе	4	4
73	в связи	3	4
74	бы в	3	4
75	так и	13	4
76	и с	8	4
77	с его	5	3
78	в частности	7	3
79	никогда не	5	3
80	в них	11	3
81	то ни	2	3
82	на них	3	3
83	с этой	2	3
84	по всему	2	3
85	в нем	8	3
86	далеко не	2	3
87	и к	4	3
88	и еще	2	3
89	в ее	6	3
90	как и	5	3
91	в этой	6	3
92	по своему	8	3
93	одной стороны	2	3
94	было бы	2	3
95	конечно не	4	3
96	к ним	2	3
97	как бы	11	3
98	к началу	2	3
99	один из	5	3
100	не может	2	3
101	с одной	4	3
102	возможно что	2	3
103	с точки	2	3
104	и даже	8	3
105	в других	2	3
106	их в	4	3
107	одной из	3	3
108	в которой	4	3
109	в основе	4	2
110	уже в	2	2
111	ни было	2	2
112	ему и	2	2
113	в качестве	4	2
114	не как	2	2
115	к концу	2	2
116	это не	2	2
117	нового времени	2	2
118	и все	6	2
119	в одном	2	2
120	человека и	2	2
121	в образе	3	2
122	это в	2	2
123	для понимания	2	2
124	из всех	2	2
125	что они	2	2
126	бы то	2	2
127	и хотя	2	2
128	а на	2	2
129	то время	2	2
130	в пределах	5	2
131	он называет	2	2
132	не мог	3	2
133	на его	6	2
134	в сущности	8	2
135	за пределы	4	2
136	он говорит	2	2
137	и о	3	2
138	одним из	5	2
139	а также	3	2
140	между ними	2	2
141	в котором	2	2
142	был бы	3	2
143	в развитии	2	2
144	во всех	8	2
145	дело не	2	2
146	в их	3	2
147	как мы	7	2
148	другой стороны	2	2
149	целый ряд	2	2
150	в изображении	4	2
151	не было	5	2
152	мы не	2	2
153	в мире	2	2
154	из которых	2	2
155	в эпоху	10	2
156	все остальные	2	2
157	что для	3	2
158	роль в	5	2
159	в своих	4	2
160	и на	7	2
161	людей и	2	2
162	в результате	5	2
163	между тем	3	2
164	и во	2	2
165	он и	2	2
166	и ее	4	2
167	нет ни	2	2
168	в другом	3	2
169	в области	5	2
