N	2gram	Tiupa_Narr_2	Vladivir
1	и в	13	40
2	то что	8	28
3	и не	14	25
4	не только	26	25
5	то есть	9	24
6	у него	6	24
7	но и	15	18
8	в том	14	18
9	том что	13	18
10	что в	4	17
11	в этом	13	16
12	в его	6	14
13	не может	8	14
14	точки зрения	5	13
15	вовсе не	2	13
16	в виде	2	13
17	только в	11	13
18	сказать что	3	12
19	в конце	4	12
20	никогда не	6	11
21	таким образом	5	11
22	потому что	2	11
23	о том	5	11
24	едва ли	3	11
25	прежде всего	6	10
26	тем не	5	10
27	как раз	3	10
28	и его	3	10
29	не менее	4	9
30	что это	4	9
31	уже не	4	9
32	в своей	4	9
33	в себе	8	9
34	в своем	6	8
35	в этой	4	8
36	для него	4	8
37	может быть	10	8
38	так же	2	8
39	и что	2	8
40	он не	5	8
41	а также	6	8
42	а не	17	8
43	к тому	9	7
44	несмотря на	2	7
45	хотя и	5	7
46	а в	9	7
47	в своих	2	7
48	того что	6	7
49	в то	5	7
50	что и	2	7
51	как и	4	7
52	и здесь	2	6
53	да и	3	6
54	и даже	3	6
55	об этом	4	6
56	не будет	2	6
57	так и	9	6
58	если не	2	6
59	хотя бы	2	6
60	с точки	2	6
61	но это	2	6
62	с другой	5	5
63	для нас	2	5
64	тому же	4	5
65	все эти	3	5
66	в ней	2	5
67	отнюдь не	4	5
68	что он	5	5
69	у нас	2	5
70	для себя	3	5
71	только на	2	5
72	можно было	2	5
73	в данном	10	5
74	ничего не	6	5
75	тому что	3	4
76	точно так	2	4
77	на то	2	4
78	такого рода	12	4
79	в самом	2	4
80	в котором	5	4
81	не имеет	2	4
82	в результате	2	4
83	как это	4	4
84	и все	4	4
85	но не	3	4
86	еще не	2	4
87	было бы	2	4
88	никак не	3	4
89	говорит о	2	4
90	то же	4	4
91	а с	2	4
92	в течение	2	4
93	все же	6	4
94	но в	6	4
95	перед нами	4	3
96	я не	5	3
97	же как	2	3
98	в качестве	14	3
99	это не	3	3
100	из этих	2	3
101	одной стороны	5	3
102	при этом	14	3
103	но для	2	3
104	как бы	6	3
105	и тем	5	3
106	в нем	5	3
107	с одной	5	3
108	именно в	2	3
109	как на	2	3
110	не столько	5	3
111	сводится к	9	3
112	все то	2	3
113	мы имеем	3	3
114	если бы	4	3
115	же в	4	3
116	церкви и	2	3
117	оно не	2	3
118	не все	2	3
119	в отличие	5	3
120	собственно говоря	2	3
121	на самом	2	3
122	того чтобы	3	3
123	и у	4	3
124	не в	8	3
125	и для	3	3
126	в таком	3	3
127	далеко не	5	3
128	здесь не	2	3
129	в чем	2	3
130	отличие от	5	3
131	он сам	2	2
132	и такого	2	2
133	должна быть	2	2
134	в нашем	2	2
135	в какой	4	2
136	с этой	3	2
137	к своему	2	2
138	же время	3	2
139	должен был	2	2
140	истории в	4	2
141	той или	3	2
142	себе и	2	2
143	не является	4	2
144	в целом	3	2
145	что она	2	2
146	то и	3	2
147	и по	3	2
148	бы на	2	2
149	по его	2	2
150	этом отношении	3	2
151	к его	3	2
152	в начале	2	2
153	по своей	3	2
154	бы в	2	2
155	не вполне	2	2
156	могло бы	2	2
157	с его	3	2
158	и более	2	2
159	в настоящем	2	2
160	в жизни	6	2
161	с таким	2	2
162	и к	6	2
163	в силу	4	2
164	а то	2	2
165	не к	4	2
166	в церкви	2	2
167	только к	3	2
168	со стороны	6	2
169	в мире	4	2
170	данном случае	6	2
171	на него	5	2
172	только что	2	2
173	тем самым	5	2
174	свидетельствует о	4	2
175	роль в	2	2
176	мы не	2	2
177	или иначе	2	2
178	всей своей	2	2
179	в другом	4	2
