N	2gram	Tiupa_Narr_2	Otkroven
1	у него	6	22
2	и в	13	19
3	но и	15	13
4	и не	14	13
5	в этом	13	12
6	а не	17	11
7	не в	8	11
8	может быть	10	11
9	не только	26	11
10	и все	4	10
11	в нем	5	10
12	никогда не	6	9
13	потому что	2	9
14	прежде всего	6	9
15	и он	2	8
16	но он	2	7
17	он не	5	7
18	в его	6	7
19	как и	4	6
20	то что	8	5
21	а в	9	5
22	достоевского и	2	5
23	в том	14	5
24	для него	4	5
25	в этой	4	5
26	в самом	2	5
27	с его	3	4
28	он сам	2	4
29	в самую	2	4
30	того чтобы	3	4
31	и его	3	4
32	все эти	3	4
33	не может	8	4
34	что в	4	4
35	это не	3	3
36	что он	5	3
37	того что	6	3
38	хотя бы	2	3
39	в своих	2	3
40	быть может	2	3
41	еще не	2	3
42	все что	4	3
43	он лишь	2	3
44	в себе	8	3
45	было бы	2	3
46	о том	5	3
47	с ним	4	3
48	как бы	6	3
49	все же	6	2
50	что и	2	2
51	в душе	2	2
52	и для	3	2
53	так и	9	2
54	жизни в	6	2
55	в своем	6	2
56	что у	2	2
57	как к	3	2
58	не все	2	2
59	и к	6	2
60	о которой	3	2
61	не имеет	2	2
62	человека есть	2	2
63	в ее	4	2
64	в других	2	2
65	том что	13	2
66	в другом	4	2
67	что они	3	2
68	сказать что	3	2
69	одно из	2	2
70	мысль о	2	2
71	должен был	2	2
72	в своей	4	2
73	ничего не	6	2
74	хотя и	5	2
75	к ней	3	2
76	о любви	2	2
77	но в	6	2
