N	2gram	Medvedev_V_1	Stilisti
1	и в	26	42
2	как бы	5	27
3	не только	25	27
4	прежде всего	13	22
5	хотя бы	19	17
6	но и	10	15
7	то же	10	15
8	и не	19	14
9	может быть	22	12
10	не может	17	12
11	точки зрения	3	11
12	как и	7	11
13	и как	3	10
14	что мы	2	10
15	отнюдь не	3	10
16	в этом	26	10
17	в то	6	9
18	то что	6	9
19	для того	3	9
20	все же	5	8
21	в ней	2	8
22	таким образом	31	8
23	с тем	3	8
24	в себе	6	8
25	никогда не	4	7
26	зависимости от	5	7
27	и от	3	7
28	же время	5	7
29	с его	3	7
30	в зависимости	6	7
31	было бы	7	7
32	а не	7	7
33	того чтобы	3	7
34	и его	6	7
35	только в	7	7
36	в которой	2	7
37	или иной	2	6
38	не в	6	6
39	в этой	4	6
40	в форме	3	6
41	в конце	3	6
42	в нем	6	6
43	во всех	6	6
44	в процессе	16	6
45	так и	5	6
46	в области	2	6
47	тому что	6	5
48	не является	5	5
49	мы видели	3	5
50	и их	3	5
51	а в	3	5
52	и наконец	2	5
53	же самое	2	5
54	того или	2	5
55	как это	12	5
56	в сознании	4	5
57	в его	14	5
58	вместе с	7	5
59	в каждом	2	4
60	можно сказать	4	4
61	к тому	4	4
62	художественного творчества	18	4
63	было в	2	4
64	в качестве	11	4
65	в самом	4	4
66	один из	5	4
67	все это	10	4
68	того что	3	4
69	так же	3	4
70	о том	10	4
71	его в	3	4
72	бы в	3	4
73	но в	2	4
74	если бы	3	4
75	и к	3	4
76	у нас	2	4
77	в слове	3	4
78	можно было	2	4
79	на это	2	4
80	так сказать	2	4
81	это высказывание	2	3
82	что у	2	3
83	перед нами	4	3
84	это не	7	3
85	главным образом	7	3
86	но для	2	3
87	хотя и	2	3
88	в котором	3	3
89	представить себе	2	3
90	в целом	4	3
91	из них	9	3
92	жизни и	3	3
93	от того	2	3
94	что оно	3	3
95	лишь в	2	3
96	и даже	2	3
97	их в	6	3
98	сказать что	5	3
99	в виду	4	3
100	видели что	3	3
101	в одном	4	3
102	об этом	9	3
103	в ее	4	3
104	том что	8	3
105	еще не	2	3
106	о своем	2	3
107	нет и	3	3
108	что и	3	3
109	что такое	2	3
110	между ними	3	3
111	и для	2	3
112	роль в	4	3
113	конце концов	2	3
114	связи с	4	3
115	зависит от	2	2
116	в реальной	2	2
117	бы и	6	2
118	в частности	11	2
119	но даже	3	2
120	объективной действительности	15	2
121	всех его	2	2
122	человека и	3	2
123	человека в	2	2
124	деятельности человека	3	2
125	в том	15	2
126	очевидно что	7	2
127	для него	8	2
128	в пределах	5	2
129	на эти	2	2
130	себе и	2	2
131	как например	2	2
132	в связи	3	2
133	не было	7	2
134	этом отношении	13	2
135	еще и	2	2
136	все эти	6	2
137	должно быть	2	2
138	его не	3	2
139	в которых	3	2
140	в своих	2	2
141	также и	2	2
142	даже и	3	2
143	мы имеем	3	2
144	в жизни	2	2
145	с этим	3	2
146	к этому	9	2
147	что он	4	2
148	и при	5	2
149	чуть ли	2	2
150	но не	2	2
151	художественное творчество	6	2
152	равно как	4	2
153	ни один	7	2
154	эти вопросы	2	2
155	точном смысле	2	2
156	оно является	2	2
157	и потому	2	2
158	и этот	2	2
159	в своей	4	2
160	этот процесс	2	2
161	при всем	3	2
162	бы не	2	2
163	ли не	2	2
164	в точном	2	2
165	в значительной	3	2
166	из которых	2	2
167	и он	2	2
168	у них	2	2
169	или в	3	2
170	этот вопрос	3	2
171	которые в	2	2
172	с чрезвычайной	2	2
173	действительной жизни	3	2
