N	2gram	Ircho_Kome_1	Myslijsy
1	потому что	5	33
2	то что	2	29
3	может быть	9	26
4	таким образом	8	24
5	в том	11	23
6	и в	22	23
7	в этом	3	23
8	и не	8	18
9	что в	6	17
10	при этом	5	15
11	только в	3	15
12	как и	9	14
13	в себе	2	14
14	то же	6	14
15	так как	4	14
16	том что	12	12
17	но и	11	11
18	не в	6	11
19	не может	2	11
20	по отношению	3	10
21	не только	10	10
22	тем что	4	10
23	мы можем	4	10
24	между тем	5	9
25	было бы	2	8
26	отношению к	3	8
27	мы не	3	8
28	о том	8	8
29	но в	4	8
30	на то	3	7
31	в нем	4	7
32	что и	4	7
33	в силу	2	7
34	вовсе не	2	7
35	и т	9	7
36	могут быть	3	7
37	как в	5	7
38	независимо от	2	6
39	вместе с	2	6
40	того как	3	6
41	известно что	4	6
42	в которой	6	6
43	так и	5	6
44	уже в	5	5
45	хотя и	3	5
46	в его	5	5
47	к нему	2	5
48	все это	5	5
49	не менее	3	5
50	находится в	2	5
51	а в	6	5
52	во всяком	2	5
53	образом в	2	5
54	и все	3	4
55	что он	6	4
56	тем не	2	4
57	до сих	2	4
58	по поводу	4	4
59	со своим	5	4
60	в одном	8	4
61	и о	3	4
62	в котором	4	4
63	и тем	2	4
64	сих пор	2	4
65	на основании	3	4
66	да и	3	4
67	то и	2	4
68	в истории	5	4
69	так же	3	4
70	точки зрения	4	4
71	т п	5	4
72	в сознании	3	4
73	в то	10	4
74	же самое	2	4
75	его в	3	4
76	и с	3	4
77	все более	3	3
78	в них	3	3
79	там же	3	3
80	именно в	4	3
81	но это	2	3
82	же время	4	3
83	еще не	2	3
84	в действительности	2	3
85	и из	2	3
86	к тому	6	3
87	на его	5	3
88	в самом	2	3
89	между прочим	2	3
90	всяком случае	2	3
91	со стороны	2	3
92	только что	2	3
93	так в	4	3
94	и таким	2	3
95	т д	4	3
96	и других	7	3
97	что у	2	3
98	и хотя	2	3
99	и по	6	3
100	а мы	2	3
101	и на	3	3
102	ту же	2	3
103	во время	5	2
104	и как	3	2
105	и без	2	2
106	все что	2	2
107	в состоянии	2	2
108	столь же	2	2
109	с другой	5	2
110	в образе	3	2
111	вопрос о	3	2
112	слов но	2	2
113	отношение к	3	2
114	и здесь	2	2
115	судить по	3	2
116	у нас	3	2
117	по своему	3	2
118	как теперь	2	2
119	в свою	2	2
120	после того	3	2
121	что по	2	2
122	тот же	3	2
123	в сущности	2	2
124	он не	3	2
125	можем судить	2	2
126	даже в	3	2
127	один из	5	2
128	об отношении	2	2
129	судя по	2	2
130	указывает на	2	2
131	даже не	2	2
132	в течение	3	2
133	как мы	4	2
134	здесь мы	3	2
135	именно на	2	2
136	из которых	2	2
137	и у	3	2
138	и даже	5	2
139	и притом	2	2
140	и его	8	2
141	в других	2	2
142	нас в	2	2
143	в своих	2	2
144	не следует	2	2
145	тем как	2	2
146	в более	3	2
147	в виде	3	2
148	к ней	2	2
149	время когда	2	2
150	одном из	4	2
151	в области	2	2
