N	2gram	Tiupa_Disk_2	Problemy
1	и не	15	31
2	и в	16	29
3	в его	3	24
4	может быть	16	24
5	а не	14	22
6	в этом	16	22
7	как бы	4	19
8	в нем	7	19
9	точки зрения	4	19
10	для него	5	18
11	не только	10	15
12	то что	5	15
13	но и	11	14
14	и его	3	14
15	то же	6	14
16	в пределах	4	13
17	уже не	3	13
18	с точки	2	13
19	как и	16	12
20	не может	9	12
21	в одном	4	10
22	в то	5	10
23	только в	3	10
24	с его	6	9
25	это не	3	9
26	все же	6	9
27	но не	7	9
28	же время	5	9
29	все эти	3	9
30	в своем	5	8
31	что он	2	8
32	что в	5	8
33	отношению к	4	8
34	в своей	6	8
35	по отношению	4	8
36	потому что	4	8
37	в том	8	8
38	прежде всего	7	7
39	том что	10	7
40	не в	3	7
41	так и	9	7
42	входит в	2	7
43	и как	3	7
44	а в	2	7
45	и на	5	7
46	в себе	19	7
47	мира и	4	7
48	но в	11	7
49	все это	2	6
50	в целом	2	6
51	как в	8	6
52	в мире	11	6
53	могут быть	3	6
54	его в	3	6
55	перед нами	3	5
56	должна быть	2	5
57	именно в	2	5
58	еще не	6	5
59	он не	3	5
60	той же	2	5
61	в творчестве	3	5
62	с их	2	5
63	между тем	2	5
64	и это	2	5
65	мира в	3	5
66	в результате	2	4
67	личности в	2	4
68	идет о	2	4
69	что и	2	4
70	но это	3	4
71	и с	2	4
72	не на	2	4
73	и для	2	4
74	не было	3	4
75	героя в	5	4
76	и наконец	3	4
77	должно быть	2	4
78	их в	2	4
79	в основе	4	4
80	в этой	4	4
81	человека в	4	4
82	что же	2	4
83	никогда не	2	3
84	и одновременно	2	3
85	в них	3	3
86	с другой	5	3
87	нового времени	5	3
88	романа и	2	3
89	мире в	3	3
90	ни в	7	3
91	на почве	2	3
92	другой стороны	2	3
93	как на	3	3
94	этом отношении	4	3
95	например в	3	3
96	себе самому	2	3
97	в себя	2	3
98	приводит к	3	3
99	тому как	2	3
100	в своих	6	3
101	подобно тому	2	3
102	не знает	3	3
103	как будто	3	3
104	далеко не	2	3
105	жизни не	2	2
106	в противоположность	5	2
107	вследствие этого	2	2
108	и ее	3	2
109	жизни и	3	2
110	является не	2	2
111	при этом	17	2
112	отсюда и	2	2
113	со своим	2	2
114	жизни а	3	2
115	не о	2	2
116	в котором	3	2
117	в большинстве	2	2
118	отношение к	2	2
119	данном случае	6	2
120	в контексте	3	2
121	на языке	2	2
122	в той	2	2
123	в данном	7	2
124	в ней	2	2
125	одно из	4	2
126	для себя	2	2
127	совпадает с	2	2
128	по преимуществу	2	2
