N	2gram	Losev_Vlad_1	TeoriaLi
1	не только	24	18
2	в качестве	6	17
3	и не	17	16
4	а в	9	14
5	в частности	2	13
6	и в	31	13
7	может быть	6	12
8	так и	6	12
9	то есть	3	12
10	при этом	2	11
11	в этом	14	11
12	в том	11	11
13	но не	3	10
14	и его	7	10
15	в его	12	9
16	то же	6	9
17	что в	14	8
18	такого рода	4	8
19	но и	19	8
20	себя в	4	7
21	в себе	4	7
22	том что	14	7
23	точки зрения	2	7
24	по своей	4	7
25	в то	8	7
26	только в	9	7
27	как это	7	7
28	место в	2	6
29	с его	11	6
30	же время	4	6
31	еще не	2	6
32	лишь в	2	6
33	но в	12	6
34	в своем	4	5
35	а также	5	5
36	как и	4	5
37	не в	5	5
38	в самом	2	5
39	в нем	4	5
40	как в	3	5
41	а а	4	5
42	он не	10	5
43	уже не	3	5
44	тем самым	2	5
45	с другой	3	5
46	не менее	2	4
47	не столько	2	4
48	можно сказать	6	4
49	ни в	2	4
50	более или	3	4
51	и а	2	4
52	в своей	4	4
53	то что	18	4
54	отношение к	3	4
55	или менее	3	4
56	не может	6	4
57	сказать что	7	4
58	хотя и	4	4
59	но он	5	4
60	никогда не	9	3
61	в нашем	4	3
62	со своей	3	3
63	в отношении	3	3
64	этом смысле	4	3
65	и к	6	3
66	тем не	2	3
67	по своему	3	3
68	для него	7	3
69	того что	2	3
70	и сам	6	3
71	и потому	6	3
72	другой стороны	3	3
73	как раз	7	3
74	таким образом	3	3
75	а с	5	3
76	и вот	3	3
77	и что	6	3
78	и по	8	3
79	и то	10	3
80	потому что	11	3
81	в этой	4	3
82	все эти	3	3
83	во мне	2	2
84	я не	4	2
85	но на	3	2
86	за пределы	3	2
87	в конце	9	2
88	того же	6	2
89	и весьма	2	2
90	вовсе не	5	2
91	что он	12	2
92	к тому	3	2
93	об этом	7	2
94	но как	5	2
95	и как	4	2
96	что они	3	2
97	особого рода	2	2
98	одной из	2	2
99	однако эта	2	2
100	к его	3	2
101	здесь мы	3	2
102	к жизни	2	2
103	даже в	2	2
104	времени в	2	2
105	и особенно	4	2
106	к нему	4	2
107	в целом	3	2
108	вместе с	3	2
109	дело не	2	2
110	но она	3	2
111	со стороны	2	2
112	а именно	2	2
113	здесь не	3	2
114	как к	2	2
115	собственно говоря	3	2
116	и для	2	2
117	это и	2	2
118	в году	30	2
119	и о	2	2
120	говорит что	4	2
121	и даже	15	2
122	и притом	3	2
123	у него	15	2
124	на себя	3	2
125	и здесь	3	2
126	о том	11	2
127	и это	2	2
128	в чем	2	2
129	в которой	4	2
130	это было	6	2
131	для меня	4	2
