N	2gram	Vinokur_Ku_1	DiskursI
1	в качестве	7	34
2	не только	10	28
3	в том	30	23
4	а не	8	22
5	том что	21	19
6	тогда как	2	19
7	может быть	13	17
8	и в	24	16
9	как и	2	16
10	в этом	14	15
11	еще не	5	14
12	но и	6	14
13	при этом	6	13
14	прежде всего	9	11
15	но не	5	11
16	и не	12	11
17	с другой	7	10
18	как в	4	10
19	в частности	4	9
20	состоит в	3	9
21	в нем	4	9
22	отношению к	9	9
23	по отношению	8	9
24	не может	7	9
25	так и	7	8
26	о том	9	8
27	но в	2	8
28	в его	12	7
29	со стороны	4	7
30	то же	8	7
31	не было	3	7
32	роль в	4	7
33	в себе	3	7
34	только в	11	7
35	не в	11	7
36	в своем	3	6
37	и как	2	6
38	в рамках	4	5
39	к тому	5	5
40	или иной	3	5
41	можно сказать	3	5
42	в силу	10	5
43	как бы	7	5
44	в котором	3	5
45	в своей	2	5
46	то что	9	5
47	а с	3	5
48	а в	5	5
49	в их	3	5
50	сводится к	3	5
51	и на	4	5
52	в данном	4	5
53	с его	4	4
54	что в	17	4
55	в сторону	2	4
56	не является	2	4
57	в них	7	4
58	во втором	2	4
59	что он	6	4
60	уже не	8	4
61	в истории	3	4
62	в целом	4	4
63	же время	2	4
64	связи с	7	4
65	на его	3	4
66	по своим	2	4
67	внимание на	4	4
68	в особенности	3	4
69	лишь в	2	4
70	что не	5	4
71	в которых	6	4
72	потому что	23	4
73	между тем	5	4
74	того же	4	3
75	это не	7	3
76	по себе	2	3
77	что и	4	3
78	в лингвистике	3	3
79	и того	2	3
80	свою очередь	3	3
81	в свою	3	3
82	с этим	4	3
83	в самом	10	3
84	один из	4	3
85	не с	3	3
86	хотя бы	10	3
87	все же	12	3
88	из них	4	3
89	ли не	3	3
90	таким образом	12	3
91	именно в	6	3
92	заключается в	2	3
93	того что	9	3
94	должны быть	2	3
95	другой стороны	6	3
96	и даже	3	3
97	тем что	8	3
98	точки зрения	14	3
99	в то	2	3
100	также и	2	3
101	в первом	3	3
102	и потому	4	3
103	по мере	3	2
104	не менее	7	2
105	и есть	2	2
106	никогда не	2	2
107	в греческой	2	2
108	о котором	2	2
109	в какой	6	2
110	же касается	4	2
111	к себе	4	2
112	по крайней	5	2
113	одного и	2	2
114	и все	2	2
115	в одном	3	2
116	в каждом	2	2
117	не всегда	2	2
118	в тех	4	2
119	крайней мере	5	2
120	в г	3	2
121	в соответствии	3	2
122	в пределах	4	2
123	есть в	4	2
124	общения и	2	2
125	более или	3	2
126	смысл в	2	2
127	так например	2	2
128	что с	2	2
129	своего времени	2	2
130	было в	2	2
131	в сущности	3	2
132	иначе говоря	2	2
133	обратить внимание	2	2
134	одним из	2	2
135	хотя и	3	2
136	о нем	2	2
137	например в	5	2
138	оно не	3	2
139	и тем	2	2
140	не есть	4	2
141	того или	4	2
142	на мой	2	2
143	когда он	3	2
144	на том	3	2
145	дело не	2	2
146	или менее	3	2
147	что же	6	2
148	целый ряд	5	2
149	языка и	8	2
150	и было	2	2
151	уже в	3	2
152	этого термина	2	2
153	и что	5	2
154	том чтобы	8	2
155	свидетельствует о	2	2
156	в науке	4	2
157	и он	3	2
158	и его	5	2
159	или в	2	2
160	во всяком	5	2
161	мы имеем	6	2
162	что касается	2	2
163	на себя	3	2
164	соответствии с	3	2
165	к которому	3	2
166	не говоря	2	2
167	в этой	3	2
168	мой взгляд	2	2
169	так сказать	5	2
170	они не	3	2
171	в значении	2	2
172	в виду	5	2
173	о чем	2	2
174	это было	2	2
