N	2gram	Bakhtin_Fr_5	Psycholo
1	и в	45	38
2	то что	2	35
3	в том	10	25
4	в самом	4	25
5	самом деле	5	21
6	что в	12	20
7	может быть	2	19
8	и что	2	18
9	что она	3	16
10	точки зрения	4	16
11	в ней	8	15
12	то есть	25	15
13	том что	7	14
14	как бы	12	14
15	потому что	7	14
16	в этой	6	13
17	в этом	14	13
18	мы видим	5	12
19	было бы	2	12
20	не только	14	12
21	таким образом	8	12
22	не в	7	12
23	что он	6	11
24	что это	2	10
25	в сущности	4	10
26	то же	11	10
27	же самое	2	10
28	и не	15	10
29	и все	7	10
30	с точки	2	9
31	того чтобы	6	9
32	все же	2	8
33	с тем	2	8
34	перед нами	4	8
35	с этим	4	8
36	в одном	3	8
37	вовсе не	8	8
38	как и	10	8
39	и как	5	8
40	видим что	2	8
41	как раз	5	8
42	для того	6	8
43	и это	4	8
44	а не	4	7
45	мы можем	2	7
46	не может	5	7
47	как мы	8	7
48	а в	4	7
49	между тем	2	7
50	мы уже	4	7
51	и здесь	4	6
52	к тому	2	6
53	мы видели	7	6
54	до сих	3	6
55	один из	2	6
56	и если	2	6
57	не имеет	3	6
58	он не	6	6
59	так как	6	6
60	если мы	2	6
61	как это	4	6
62	и его	13	6
63	и на	5	6
64	в которых	3	6
65	о том	4	6
66	там где	3	6
67	в своем	11	5
68	на этом	5	5
69	несмотря на	2	5
70	в своей	3	5
71	вместе с	3	5
72	но и	10	5
73	сих пор	3	5
74	мы не	4	5
75	в другом	3	5
76	в его	13	5
77	что эта	2	4
78	по своему	4	4
79	при этом	2	4
80	когда он	2	4
81	и для	3	4
82	конечно не	2	4
83	во всех	13	4
84	в самой	8	4
85	не мог	4	4
86	в нем	10	4
87	что и	7	4
88	раз в	2	4
89	в целом	2	4
90	как в	3	4
91	в течение	3	4
92	все эти	5	4
93	того что	3	4
94	когда в	2	4
95	и даже	4	4
96	сказать что	4	4
97	больше чем	2	4
98	у него	4	4
99	только в	4	4
100	как на	4	3
101	в них	6	3
102	только для	2	3
103	из этих	3	3
104	что все	2	3
105	к этому	2	3
106	и к	5	3
107	ни в	3	3
108	он был	7	3
109	конечно в	2	3
110	но это	5	3
111	того же	3	3
112	мы говорили	2	3
113	и о	4	3
114	в основе	4	3
115	должен быть	2	3
116	уже говорили	2	3
117	все это	7	3
118	и только	2	3
119	одновременно и	2	3
120	из области	2	3
121	в то	11	3
122	бы в	4	3
123	его в	5	3
124	здесь не	6	3
125	но в	14	3
126	в общем	4	2
127	в данном	2	2
128	но они	3	2
129	он хочет	2	2
130	не могут	2	2
131	всех этих	6	2
132	на время	4	2
133	и другие	3	2
134	и та	2	2
135	все они	4	2
136	и одновременно	3	2
137	хотя бы	2	2
138	так например	2	2
139	и во	4	2
140	на самом	5	2
141	очень часто	4	2
142	по существу	3	2
143	своей жизни	2	2
144	такой же	4	2
145	есть в	3	2
146	то время	3	2
147	здесь в	4	2
148	для него	3	2
149	со всеми	5	2
150	том как	2	2
151	в первой	4	2
152	например в	5	2
153	но он	3	2
154	к ней	2	2
155	внутреннее противоречие	2	2
156	но мы	2	2
157	с ее	5	2
158	благодаря этому	2	2
159	данном случае	2	2
160	всего этого	3	2
161	так же	8	2
162	в одной	3	2
163	еще и	3	2
164	и вот	3	2
165	для всех	3	2
166	и больше	2	2
167	и наконец	2	2
168	той же	4	2
169	в качестве	2	2
170	здесь с	2	2
171	в конце	7	2
172	он в	2	2
173	одно из	2	2
174	в истории	2	2
175	заметить что	2	2
176	мы слышим	2	2
177	с ним	5	2
178	ничего не	4	2
179	в эту	2	2
