N	2gram	Losev_Dial_2	Marksizm
1	точки зрения	12	34
2	может быть	20	26
3	и не	30	26
4	не может	9	24
5	с точки	8	20
6	и в	19	19
7	и его	5	19
8	таким образом	4	17
9	в этом	8	16
10	как бы	14	15
11	прежде всего	8	13
12	как мы	3	13
13	как и	10	12
14	и пр	5	12
15	так и	10	11
16	если мы	2	11
17	связи с	4	11
18	в самом	5	10
19	в нем	10	10
20	– в	8	10
21	самом деле	4	10
22	в результате	2	9
23	только в	5	9
24	при этом	4	8
25	но и	12	8
26	до сих	2	8
27	не только	19	8
28	все же	4	8
29	то что	14	8
30	– это	6	8
31	сих пор	2	8
32	в каждом	2	7
33	в связи	4	7
34	все эти	2	7
35	так же	2	7
36	но в	2	7
37	в ее	4	7
38	во всех	2	7
39	то же	12	7
40	а не	16	7
41	в смысле	5	6
42	в том	14	6
43	кроме того	3	6
44	в науке	2	6
45	– не	9	6
46	другой стороны	4	6
47	отнюдь не	6	6
48	ничего не	3	6
49	с другой	5	5
50	в конце	2	5
51	именно в	2	5
52	не в	8	5
53	конечно не	6	5
54	и потому	5	5
55	и все	12	5
56	вовсе не	13	5
57	необходимо чтобы	2	5
58	за пределы	4	5
59	хотя бы	4	5
60	во всяком	2	5
61	ясно что	4	5
62	самого начала	2	4
63	что в	7	4
64	не менее	3	4
65	и внешнего	2	4
66	вопрос о	3	4
67	как же	3	4
68	с самого	2	4
69	в ней	2	4
70	это –	23	4
71	от того	4	4
72	форм и	2	4
73	а в	4	4
74	сказать что	10	4
75	с этим	3	4
76	по себе	18	4
77	– и	3	4
78	еще не	4	4
79	было бы	3	4
80	не будет	2	4
81	что же	2	4
82	как в	2	4
83	в данном	3	4
84	и есть	4	3
85	понятно что	2	3
86	в какой	2	3
87	и от	3	3
88	можно сказать	5	3
89	в целях	3	3
90	и как	10	3
91	же время	5	3
92	момент в	2	3
93	он –	6	3
94	из них	3	3
95	все это	4	3
96	следует что	2	3
97	не было	3	3
98	того что	6	3
99	между тем	2	3
100	нуждается в	3	3
101	в то	6	3
102	же самое	2	3
103	его в	3	3
104	в бытии	2	3
105	сознания и	5	3
106	он может	2	3
107	не могут	4	3
108	в каком	4	3
109	и к	7	3
110	том что	10	3
111	и при	2	3
112	мы должны	2	3
113	совершенно не	7	3
114	в сущности	2	3
115	он не	4	3
116	внутреннего и	2	3
117	не есть	47	3
118	в своей	8	3
119	– то	2	3
120	быть и	4	3
121	в истории	2	3
122	– все	2	3
123	это и	3	3
124	на самом	2	3
125	должны быть	3	3
126	и следовательно	5	3
127	но все	2	3
128	и это	5	3
129	в которой	2	3
130	в области	2	3
131	в узком	2	2
132	зависит от	2	2
133	сама по	7	2
134	же как	3	2
135	независимо от	4	2
136	должна быть	5	2
137	в частности	2	2
138	никогда не	9	2
139	тому что	2	2
140	в своем	4	2
141	следовательно не	2	2
142	тем не	2	2
143	все в	2	2
144	ни в	10	2
145	этом условии	2	2
146	в виду	5	2
147	всяком случае	2	2
148	себе и	3	2
149	всякая живая	2	2
150	с ее	2	2
151	жизни и	6	2
152	и их	3	2
153	от их	2	2
154	и только	4	2
155	– как	2	2
156	не просто	12	2
157	же –	4	2
158	и даже	14	2
159	должно быть	7	2
160	в своих	2	2
161	в одной	4	2
162	же и	9	2
163	о том	5	2
164	как он	4	2
165	так как	14	2
166	нет ни	3	2
167	и с	5	2
168	от этого	3	2
169	нет никакой	4	2
170	и более	3	2
171	и та	6	2
172	не как	2	2
173	быть в	4	2
174	что он	6	2
175	в себе	15	2
176	зависимости от	2	2
177	во все	2	2
178	тех пор	3	2
179	она не	8	2
180	мы уже	8	2
181	к тому	2	2
182	ни о	2	2
183	может существовать	3	2
184	то как	3	2
185	явлений и	2	2
186	или вообще	3	2
187	что и	5	2
188	бы и	2	2
189	– что	2	2
190	и прежде	2	2
191	как раз	5	2
192	культуры и	2	2
193	что не	6	2
194	что такое	3	2
195	в таком	4	2
196	или в	2	2
197	или иначе	2	2
198	связана с	2	2
199	тем что	2	2
200	могут быть	4	2
201	в другом	4	2
202	и вообще	6	2
203	таком случае	3	2
204	в чем	3	2
