N	2gram	Bakhtin_Fr_7	Komedia
1	и в	41	22
2	и не	7	21
3	том что	4	13
4	в том	11	12
5	таким образом	19	12
6	так как	3	11
7	ни в	6	10
8	в доме	2	10
9	потому что	5	10
10	вместе с	5	9
11	в своем	9	8
12	что он	3	8
13	в его	12	8
14	что и	5	8
15	в этом	15	8
16	о том	6	8
17	его в	3	8
18	при этом	3	7
19	в свою	3	7
20	то же	13	7
21	а в	5	7
22	в конце	8	7
23	во время	3	6
24	к этому	5	6
25	свою очередь	3	6
26	того же	3	6
27	еще не	2	6
28	к тому	2	6
29	может быть	4	6
30	и его	9	6
31	в то	10	6
32	что в	9	5
33	же время	9	5
34	прежде всего	11	5
35	хотя и	4	5
36	не только	5	5
37	в своей	3	5
38	отношение к	2	5
39	из них	3	5
40	все это	10	5
41	по отношению	2	5
42	он не	4	5
43	тем что	3	5
44	к нему	5	5
45	в которых	2	5
46	с ним	2	5
47	но в	8	5
48	он знает	2	4
49	с самого	2	4
50	но все	4	4
51	у него	6	4
52	вовсе не	7	4
53	и здесь	4	4
54	он был	3	4
55	не в	9	4
56	до конца	2	4
57	несмотря на	3	4
58	в ней	5	4
59	здесь нет	2	4
60	то что	8	4
61	но и	9	4
62	в отношении	3	4
63	до нас	5	4
64	то ли	2	4
65	с помощью	6	4
66	а не	2	4
67	и для	5	4
68	так же	5	4
69	точки зрения	5	4
70	в себе	11	4
71	в связи	2	4
72	бы в	2	4
73	так и	10	4
74	и с	4	4
75	ничем не	3	4
76	с его	2	3
77	никогда не	2	3
78	в них	7	3
79	на них	3	3
80	с этим	2	3
81	одного из	2	3
82	в нем	7	3
83	далеко не	2	3
84	и к	5	3
85	и еще	2	3
86	как и	14	3
87	в этой	13	3
88	по своему	2	3
89	все что	4	3
90	было бы	4	3
91	как бы	7	3
92	отношению к	2	3
93	при виде	4	3
94	не может	3	3
95	в течение	2	3
96	с точки	3	3
97	не имеет	3	3
98	их в	2	3
99	одной из	2	3
100	во всяком	2	3
101	не знает	3	3
102	как он	2	3
103	в которой	2	3
104	ничего не	4	3
105	том как	2	3
106	уже в	5	2
107	сам он	3	2
108	все время	2	2
109	ни было	2	2
110	в качестве	9	2
111	как в	5	2
112	это не	6	2
113	нового времени	3	2
114	и все	14	2
115	в одном	3	2
116	в образе	4	2
117	это в	3	2
118	по существу	8	2
119	из всех	2	2
120	к человеку	2	2
121	а на	2	2
122	тот же	2	2
123	не мог	2	2
124	в сущности	4	2
125	которым он	3	2
126	не совсем	2	2
127	в свое	2	2
128	конце концов	4	2
129	а также	2	2
130	должен быть	2	2
131	и со	2	2
132	во всех	3	2
133	дело не	2	2
134	в их	3	2
135	как мы	11	2
136	целый ряд	4	2
137	в изображении	2	2
138	не было	3	2
139	этом отношении	2	2
140	человека в	2	2
141	мы не	2	2
142	в мире	3	2
143	из которых	2	2
144	в эпоху	7	2
145	за то	3	2
146	роль в	2	2
147	можно было	3	2
148	и на	4	2
149	здесь и	2	2
150	в результате	2	2
151	и во	2	2
152	и ее	2	2
153	нет ни	2	2
154	и это	5	2
155	в области	2	2
156	в виду	4	2
