N	2gram	Trubetskoy_1	Morfolog
1	может быть	9	52
2	и т	3	49
3	таким образом	11	20
4	не может	22	17
5	в этих	2	16
6	с этим	2	14
7	и в	14	13
8	в этом	17	13
9	так как	4	12
10	связи с	3	11
11	прежде всего	8	9
12	этом случае	3	9
13	то же	11	9
14	и не	19	9
15	а не	2	9
16	по существу	5	8
17	что и	3	8
18	в результате	2	8
19	вопрос о	5	7
20	в качестве	3	7
21	но если	3	7
22	все же	4	7
23	не могут	4	6
24	в том	17	6
25	но не	4	6
26	а в	5	6
27	во время	2	6
28	во всех	5	5
29	как бы	4	5
30	то что	13	5
31	или в	3	5
32	потому что	5	5
33	что в	4	4
34	и как	3	4
35	было бы	5	4
36	несмотря на	3	4
37	ни одна	3	4
38	не только	9	4
39	то это	3	4
40	в некоторых	2	4
41	так же	2	4
42	по отношению	2	4
43	как и	4	4
44	тем что	3	4
45	точки зрения	11	4
46	с точки	9	4
47	его в	4	4
48	если в	6	4
49	в других	2	4
50	если бы	6	3
51	между собой	5	3
52	в начале	2	3
53	он должен	5	3
54	том что	9	3
55	но это	2	3
56	что они	3	3
57	того чтобы	8	3
58	он не	5	3
59	ни в	2	3
60	но и	10	3
61	от того	4	3
62	целый ряд	2	3
63	на самом	6	3
64	самом деле	7	3
65	из которых	5	3
66	к чему	2	3
67	и по	3	3
68	к нему	2	3
69	и для	6	3
70	друг друга	3	3
71	мы можем	2	3
72	из них	3	3
73	в то	10	3
74	мы должны	7	3
75	если же	2	3
76	но в	2	3
77	ни к	7	2
78	и более	2	2
79	с тем	6	2
80	в виде	3	2
81	в частности	2	2
82	его и	2	2
83	хотя бы	5	2
84	точно так	2	2
85	этого не	2	2
86	состоит в	2	2
87	что он	6	2
88	что действительно	2	2
89	и к	6	2
90	путь к	4	2
91	то в	3	2
92	и при	6	2
93	только в	5	2
94	от него	2	2
95	в большинстве	3	2
96	есть и	2	2
97	для него	6	2
98	одному из	2	2
99	одной из	3	2
100	мы уже	2	2
101	но для	2	2
102	себя и	5	2
103	в таких	2	2
104	в настоящее	2	2
105	себя в	4	2
106	благодаря этому	2	2
107	быть и	2	2
108	или менее	4	2
109	может не	3	2
110	и тогда	2	2
111	и только	5	2
112	а с	2	2
113	все эти	2	2
114	и что	2	2
115	к себе	2	2
116	того что	3	2
117	для того	6	2
118	что такое	2	2
119	уже не	2	2
120	можно было	4	2
121	если они	2	2
122	этот вопрос	2	2
123	в другом	3	2
124	самого себя	7	2
125	настоящее время	2	2
126	о том	7	2
127	ясно что	2	2
128	большинстве случаев	2	2
129	одна из	3	2
130	более или	4	2
