N	2gram	Vinokur_Ku_2	SlovoVZh
1	не может	9	16
2	точки зрения	14	14
3	может быть	15	14
4	и его	3	13
5	как бы	4	13
6	таким образом	5	12
7	и в	23	12
8	в нашем	7	11
9	и не	16	10
10	если бы	12	9
11	так как	15	9
12	прежде всего	8	8
13	для нас	4	7
14	сказать что	4	7
15	в нем	4	6
16	в процессе	3	6
17	при этом	2	6
18	с помощью	7	6
19	в том	19	6
20	только в	5	6
21	слова и	5	6
22	в ней	3	6
23	то что	9	5
24	должна быть	5	5
25	никогда не	2	5
26	а не	10	5
27	можно сказать	4	5
28	то же	6	5
29	хотя бы	9	5
30	как и	2	5
31	том что	11	5
32	отнюдь не	4	5
33	как в	3	5
34	что мы	6	5
35	и следовательно	2	5
36	но в	11	5
37	в виду	3	5
38	все же	7	4
39	так и	4	4
40	от того	4	4
41	с другой	8	4
42	на самом	2	4
43	уже не	8	4
44	что не	6	4
45	зависимости от	5	4
46	не в	8	4
47	в этом	18	4
48	и на	6	4
49	в самом	12	4
50	к нему	2	4
51	не только	20	4
52	в них	4	3
53	и более	2	3
54	не менее	7	3
55	в своей	2	3
56	все это	5	3
57	и по	3	3
58	и вообще	2	3
59	все эти	12	3
60	ясно что	5	3
61	по себе	10	3
62	этой точки	2	3
63	но и	7	3
64	и пр	8	3
65	того что	3	3
66	тем не	6	3
67	ни в	4	3
68	да и	6	3
69	так же	4	3
70	самом деле	9	3
71	и с	7	3
72	нуждается в	2	3
73	в каком	4	3
74	в пределах	4	3
75	еще не	5	3
76	и для	2	3
77	конечно не	2	3
78	здесь не	3	3
79	но для	3	3
80	между тем	6	3
81	уже в	3	2
82	с этой	2	2
83	что и	3	2
84	но все	4	2
85	что в	10	2
86	на все	2	2
87	как не	3	2
88	данном случае	2	2
89	вместе с	5	2
90	в зависимости	4	2
91	все они	2	2
92	в форме	3	2
93	в своем	2	2
94	в отношении	2	2
95	другой стороны	7	2
96	что слово	3	2
97	это не	6	2
98	смысл и	3	2
99	мы имеем	5	2
100	и все	2	2
101	в особенности	4	2
102	речи в	6	2
103	с одной	2	2
104	была бы	4	2
105	к этому	4	2
106	те же	3	2
107	слово это	6	2
108	его к	2	2
109	и что	8	2
110	в атмосфере	2	2
111	но зато	2	2
112	с точки	8	2
113	и здесь	5	2
114	но это	3	2
115	в данном	4	2
116	в корне	2	2
117	и то	5	2
118	но не	6	2
119	быть только	2	2
120	могут быть	4	2
121	но что	2	2
122	выражение в	3	2
123	до конца	3	2
124	она не	2	2
125	в то	4	2
126	ни на	2	2
127	на это	3	2
128	мы в	2	2
129	к слову	2	2
130	на примере	2	2
131	там где	5	2
132	оно не	2	2
133	как это	5	2
134	ничего не	4	2
135	он не	3	2
136	в его	5	2
137	и потому	2	2
