N	2gram	Trubetskoy_1	Istorich
1	и в	26	25
2	что он	4	22
3	вместе с	15	22
4	представление о	6	17
5	может быть	10	17
6	мы имеем	2	14
7	не только	10	13
8	но и	9	13
9	в его	5	12
10	и не	8	11
11	уже не	3	11
12	так как	9	11
13	все же	6	10
14	в этом	15	10
15	с другой	8	9
16	таким образом	22	9
17	в виде	4	9
18	с тем	18	8
19	связи с	9	8
20	что в	9	8
21	том что	7	8
22	еще не	2	8
23	связь с	2	8
24	все эти	6	8
25	и что	4	8
26	и на	2	8
27	в качестве	3	7
28	во время	4	7
29	мы видели	2	7
30	то что	7	7
31	одной стороны	7	7
32	в нем	4	7
33	с одной	7	7
34	превращается в	2	7
35	потому что	7	7
36	и здесь	2	7
37	представляет собой	3	7
38	только в	4	7
39	о том	6	7
40	в этих	4	6
41	прежде всего	2	6
42	что и	6	6
43	не может	4	6
44	не в	2	6
45	в том	11	6
46	что это	3	5
47	ясно что	3	5
48	в образе	2	5
49	но все	7	5
50	но не	8	5
51	связано с	2	5
52	так же	5	5
53	и действительно	2	5
54	не менее	3	4
55	если не	2	4
56	не как	2	4
57	что все	4	4
58	не всегда	2	4
59	с другими	4	4
60	тем не	3	4
61	в индии	8	4
62	же как	3	4
63	из себя	2	4
64	все это	6	4
65	в связи	3	4
66	то же	4	4
67	он не	4	4
68	мы должны	6	4
69	и это	2	4
70	в которой	3	4
71	после смерти	10	3
72	никогда не	5	3
73	и как	3	3
74	но когда	2	3
75	и все	2	3
76	в свою	2	3
77	ему в	2	3
78	в этой	4	3
79	в то	4	3
80	того чтобы	5	3
81	и из	2	3
82	если в	3	3
83	для того	5	3
84	к нему	7	3
85	его не	2	3
86	а в	4	3
87	в которых	4	3
88	и с	10	3
89	но вместе	2	3
90	уже в	2	2
91	к которым	2	2
92	связанные с	7	2
93	индии в	3	2
94	попадает в	4	2
95	когда человек	2	2
96	тогда когда	2	2
97	к этому	3	2
98	и вместе	4	2
99	на то	2	2
100	от них	2	2
101	можно сказать	3	2
102	нами и	2	2
103	так что	3	2
104	с этой	3	2
105	по существу	2	2
106	и при	3	2
107	того же	6	2
108	до сих	5	2
109	жизни и	2	2
110	несмотря на	6	2
111	друг с	5	2
112	если бы	3	2
113	из которых	4	2
114	одним из	2	2
115	должно было	2	2
116	как бы	12	2
117	и потому	6	2
118	один из	2	2
119	сих пор	5	2
120	отношению к	3	2
121	когда он	3	2
122	во всех	2	2
123	с ней	3	2
124	богом и	2	2
125	так например	2	2
126	и таким	3	2
127	и для	5	2
128	в течение	4	2
129	в одно	2	2
130	оказывается что	3	2
131	а не	5	2
132	того что	3	2
133	и по	4	2
134	в других	3	2
135	связан с	2	2
136	сказать что	2	2
137	образом в	5	2
138	точки зрения	13	2
139	к его	2	2
140	что мы	2	2
141	из них	7	2
142	с другом	5	2
143	особенно в	2	2
144	на нее	3	2
145	не потому	2	2
146	из него	2	2
147	мы можем	2	2
