N	2gram	Tiupa_Lite_3	VerxiiNi
1	и в	16	26
2	вместе с	5	15
3	в этом	14	15
4	точки зрения	7	13
5	как бы	8	12
6	в том	12	11
7	может быть	12	10
8	не только	14	10
9	и с	2	10
10	связи с	2	9
11	что в	2	9
12	но и	14	9
13	в области	3	9
14	с другой	6	8
15	но не	4	8
16	и не	22	8
17	как на	3	8
18	том что	8	7
19	одной стороны	4	7
20	из них	4	7
21	то что	12	7
22	с одной	4	7
23	потому что	3	7
24	но в	3	7
25	в конце	2	6
26	к тому	6	6
27	и потому	2	6
28	того же	2	6
29	несмотря на	2	6
30	что и	2	6
31	все же	2	6
32	так и	9	6
33	с точки	3	6
34	в себе	6	6
35	о том	6	6
36	том числе	3	5
37	и к	3	5
38	тому же	5	5
39	отношение к	2	5
40	в его	6	5
41	никогда не	4	5
42	к жизни	2	5
43	так же	2	5
44	лишь в	5	5
45	а не	12	5
46	того чтобы	2	5
47	для того	2	5
48	и для	4	5
49	в мире	16	5
50	к своим	2	4
51	и вместе	2	4
52	что он	5	4
53	в нем	2	4
54	числе и	2	4
55	в самом	3	4
56	не может	8	4
57	и только	2	4
58	а в	5	4
59	то же	9	4
60	и тогда	2	4
61	в то	9	4
62	только в	7	4
63	то есть	5	4
64	в этой	8	4
65	далеко не	2	4
66	не менее	2	3
67	в рамках	4	3
68	если бы	2	3
69	так или	2	3
70	как о	2	3
71	к этому	2	3
72	можно сказать	2	3
73	для него	2	3
74	и как	3	3
75	и при	2	3
76	представляет собой	2	3
77	в качестве	5	3
78	и если	4	3
79	не вполне	2	3
80	отношению к	4	3
81	когда он	2	3
82	с ней	2	3
83	при этом	15	3
84	но с	2	3
85	уже не	3	3
86	того что	9	3
87	и даже	2	3
88	или иначе	2	3
89	с этой	2	3
90	а так	2	3
91	в одном	4	3
92	с его	6	2
93	ни было	2	2
94	он в	2	2
95	именно в	5	2
96	состоит в	6	2
97	одно из	4	2
98	взгляд на	3	2
99	только для	3	2
100	не как	2	2
101	прежде всего	3	2
102	не всегда	2	2
103	в свою	2	2
104	на то	2	2
105	или иной	2	2
106	а также	4	2
107	по существу	4	2
108	то ни	2	2
109	в начале	4	2
110	же время	7	2
111	еще не	6	2
112	и перед	2	2
113	со всеми	2	2
114	этот путь	2	2
115	вслед за	3	2
116	вплоть до	2	2
117	той или	2	2
118	один из	2	2
119	не с	2	2
120	бы то	2	2
121	жизни и	3	2
122	во всех	2	2
123	никем не	2	2
124	если не	2	2
125	этом отношении	5	2
126	одним из	4	2
127	наконец в	3	2
128	в глазах	3	2
129	и на	2	2
130	не в	10	2
131	еще на	2	2
132	и наконец	3	2
133	по своей	3	2
134	же самое	2	2
135	так чтобы	2	2
136	между тем	3	2
