N	2gram	Potebnia_M_3	PoTuStor
1	может быть	28	17
2	и в	30	16
3	прежде всего	3	9
4	таким образом	14	9
5	и проч	16	9
6	в этом	10	9
7	мы можем	3	9
8	и его	4	8
9	и с	2	8
10	точки зрения	2	8
11	не может	6	8
12	в сознание	7	7
13	сказать что	5	7
14	не только	21	7
15	и это	4	6
16	самом деле	2	6
17	для него	9	6
18	при этом	3	6
19	я и	3	6
20	отношение к	2	5
21	что такое	2	5
22	в чем	3	5
23	ни в	2	5
24	еще не	5	5
25	как бы	3	5
26	в нем	9	4
27	но и	19	4
28	так и	11	4
29	все это	4	4
30	и все	3	4
31	мысли и	2	4
32	так как	13	4
33	и не	15	4
34	а потому	6	4
35	как мы	7	4
36	но мы	2	4
37	можно сказать	3	4
38	и наконец	2	4
39	и даже	2	4
40	и на	3	4
41	в этой	2	4
42	все что	4	4
43	и может	3	4
44	только в	21	4
45	в один	4	4
46	его в	3	4
47	в его	4	4
48	во время	2	3
49	и теперь	6	3
50	с сознанием	2	3
51	что в	17	3
52	жизни и	2	3
53	и есть	3	3
54	могут быть	3	3
55	вместе с	12	3
56	сих пор	3	3
57	в одном	2	3
58	те же	6	3
59	для сознания	4	3
60	и притом	2	3
61	крайней мере	5	3
62	в том	32	3
63	а в	12	3
64	том что	18	3
65	и как	5	3
66	с другими	5	3
67	и оно	3	3
68	то что	18	3
69	их в	2	3
70	по крайней	5	3
71	только как	5	3
72	только на	3	3
73	если б	5	3
74	но оно	6	3
75	в области	2	3
76	и потому	4	3
77	до сих	3	3
78	не существует	3	2
79	не менее	5	2
80	один из	4	2
81	не могут	5	2
82	что и	13	2
83	не есть	17	2
84	в душе	10	2
85	не будет	3	2
86	что не	8	2
87	в них	5	2
88	оно не	4	2
89	с этой	2	2
90	из этих	9	2
91	и содержание	2	2
92	с этим	6	2
93	в свое	2	2
94	то же	23	2
95	с нею	2	2
96	быть может	3	2
97	что оно	11	2
98	к этому	3	2
99	не знает	3	2
100	что он	6	2
101	мы не	9	2
102	в одно	3	2
103	что мы	8	2
104	у него	2	2
105	и по	4	2
106	нам кажется	2	2
107	для нас	20	2
108	все остальные	3	2
109	как и	10	2
110	понятия и	2	2
111	мы видим	2	2
112	так же	3	2
113	но это	6	2
114	есть в	3	2
115	мы уже	2	2
116	это последнее	2	2
117	по своему	2	2
118	он не	4	2
119	образов и	2	2
120	чувства и	3	2
121	между собою	6	2
122	в каком	5	2
123	не можем	3	2
124	говорить о	3	2
125	в начале	3	2
126	и вообще	3	2
127	было бы	9	2
128	что это	4	2
129	и мы	2	2
130	о том	2	2
131	в самом	8	2
132	но как	2	2
133	за пределы	2	2
134	в своей	2	2
135	и о	2	2
136	с ним	6	2
137	из сказанного	2	2
138	для меня	4	2
139	себя и	4	2
