N	2gram	Tiupa_Lite_1	StatiiOP
1	и в	8	44
2	в том	16	36
3	что в	3	30
4	том что	14	29
5	пушкина в	2	24
6	в этом	12	21
7	то что	10	18
8	не только	24	18
9	было бы	2	17
10	а в	3	17
11	о том	2	17
12	и не	12	16
13	а не	16	16
14	может быть	13	15
15	в данном	5	14
16	в области	3	14
17	как в	5	13
18	можно было	2	13
19	не в	8	12
20	в тексте	8	12
21	в этой	4	11
22	самом деле	2	11
23	точки зрения	6	11
24	что он	5	10
25	но и	17	10
26	но в	3	10
27	только в	8	10
28	с другой	3	9
29	в то	5	9
30	как и	6	9
31	того что	6	9
32	также и	3	9
33	так и	4	9
34	в его	7	9
35	например в	3	8
36	все же	4	8
37	из них	4	8
38	не может	5	8
39	и его	4	8
40	это не	4	8
41	с точки	2	8
42	я не	7	7
43	прежде всего	11	7
44	по поводу	2	7
45	в самом	3	7
46	таким образом	3	7
47	этом отношении	2	7
48	потому что	3	6
49	из этих	2	6
50	для него	2	6
51	в своей	4	6
52	в повестях	3	6
53	данном случае	4	6
54	со стороны	4	6
55	во всяком	3	6
56	дело в	3	6
57	хотя бы	2	6
58	всяком случае	2	6
59	не менее	7	5
60	никогда не	4	5
61	самого пушкина	3	5
62	вплоть до	2	5
63	в нем	2	5
64	в целом	8	5
65	жизни и	3	5
66	евгения онегина	2	5
67	той же	3	5
68	то же	5	5
69	и даже	3	5
70	в слове	2	5
71	и то	2	5
72	тем что	2	5
73	могут быть	2	5
74	все эти	2	5
75	в частности	15	4
76	столь же	4	4
77	же время	5	4
78	тем более	2	4
79	в качестве	17	4
80	же и	3	4
81	как раз	4	4
82	как бы	7	4
83	дело не	2	4
84	в россии	2	4
85	не было	3	4
86	во втором	2	4
87	как будто	2	4
88	как это	8	4
89	в основе	3	3
90	по этому	2	3
91	для себя	5	3
92	и я	6	3
93	с этой	5	3
94	не является	2	3
95	в конце	4	3
96	должна быть	2	3
97	же это	2	3
98	да и	3	3
99	но не	4	3
100	того же	2	3
101	еще не	4	3
102	что не	2	3
103	своего рода	11	3
104	общего с	2	3
105	даже в	2	3
106	должен быть	2	3
107	и тем	4	3
108	то это	2	3
109	отношению к	2	3
110	по отношению	3	3
111	и только	2	3
112	что для	2	3
113	с одной	2	3
114	лишь в	4	3
115	тем же	3	3
116	и вполне	2	3
117	культуры в	4	3
118	в другом	2	3
119	во многих	2	3
120	между тем	2	3
121	уже в	5	2
122	бы не	3	2
123	а как	2	2
124	в случае	4	2
125	в своем	11	2
126	превращается в	2	2
127	ли не	3	2
128	литературной и	2	2
129	чуть ли	2	2
130	в москве	2	2
131	при этом	19	2
132	одной стороны	2	2
133	и сам	6	2
134	несмотря на	3	2
135	в сущности	2	2
136	за пределы	2	2
137	а также	5	2
138	тем не	2	2
139	такого рода	10	2
140	для этого	4	2
141	еще и	3	2
142	а потому	2	2
143	из того	2	2
144	тем самым	5	2
145	так или	8	2
146	более чем	3	2
147	или иначе	9	2
148	в своих	4	2
149	у него	3	2
150	одно из	3	2
151	в себе	7	2
152	в сознании	2	2
153	по своей	3	2
154	как правило	2	2
155	в равной	2	2
156	его в	3	2
157	то есть	6	2
